is_concurrent, repetition, pop_size, num_species, ms_step_mean
0,0,1024,1,0.288527
0,0,1024,2,0.556254
0,0,1024,3,0.824988
0,0,1024,4,1.15052
0,0,1024,5,1.35831
0,0,1024,6,1.62881
0,0,1024,7,1.89679
0,0,1024,8,2.16592
0,0,1024,9,2.43558
0,0,1024,10,2.70443
0,0,1024,11,2.97468
0,0,1024,12,3.24246
0,0,1024,13,3.51375
0,0,1024,14,3.78761
0,0,1024,15,4.07254
0,0,1024,16,4.38126
0,0,1024,17,4.65243
0,0,1024,18,4.8764
0,0,1024,19,5.12354
0,0,1024,20,5.44749
0,0,1024,21,5.6591
0,0,1024,22,5.92787
0,0,1024,23,6.19421
0,0,1024,24,6.58372
0,0,1024,25,6.73283
0,0,1024,26,6.99959
0,0,1024,27,7.26573
0,0,1024,28,7.53381
0,0,1024,29,7.83697
0,0,1024,30,8.07207
0,0,1024,31,8.38633
0,0,1024,32,8.60404
0,0,2048,1,0.530104
0,0,2048,2,1.03746
0,0,2048,3,1.54654
0,0,2048,4,2.05601
0,0,2048,5,2.56496
0,0,2048,6,3.07245
0,0,2048,7,3.58662
0,0,2048,8,4.09349
0,0,2048,9,4.60374
0,0,2048,10,5.11395
0,0,2048,11,5.62391
0,0,2048,12,6.1339
0,0,2048,13,6.64708
0,0,2048,14,7.28199
0,0,2048,15,7.67414
0,0,2048,16,8.18152
0,0,2048,17,8.68785
0,0,2048,18,9.18892
0,0,2048,19,9.69672
0,0,2048,20,10.2049
0,0,2048,21,10.7086
0,0,2048,22,11.2221
0,0,2048,23,11.7457
0,0,2048,24,12.2546
0,0,2048,25,12.7653
0,0,2048,26,13.2815
0,0,2048,27,13.8144
0,0,2048,28,14.3446
0,0,2048,29,14.8979
0,0,2048,30,15.4474
0,0,2048,31,15.9982
0,0,2048,32,16.5568
0,0,3072,1,0.770371
0,0,3072,2,1.52226
0,0,3072,3,2.271
0,0,3072,4,3.02162
0,0,3072,5,3.77103
0,0,3072,6,4.51737
0,0,3072,7,5.27116
0,0,3072,8,6.20898
0,0,3072,9,6.77057
0,0,3072,10,7.52531
0,0,3072,11,8.27492
0,0,3072,12,9.03003
0,0,3072,13,9.77586
0,0,3072,14,10.5313
0,0,3072,15,11.2882
0,0,3072,16,12.047
0,0,3072,17,12.8882
0,0,3072,18,13.5579
0,0,3072,19,14.3233
0,0,3072,20,15.0976
0,0,3072,21,15.943
0,0,3072,22,16.7429
0,0,3072,23,17.538
0,0,3072,24,18.3172
0,0,3072,25,19.0926
0,0,3072,26,19.8643
0,0,3072,27,20.7059
0,0,3072,28,21.5297
0,0,3072,29,22.3689
0,0,3072,30,23.0986
0,0,3072,31,23.9514
0,0,3072,32,24.7082
0,0,4096,1,1.01153
0,0,4096,2,2.00268
0,0,4096,3,2.99757
0,0,4096,4,3.98111
0,0,4096,5,4.97733
0,0,4096,6,5.96328
0,0,4096,7,6.95816
0,0,4096,8,7.95342
0,0,4096,9,8.94327
0,0,4096,10,10.185
0,0,4096,11,10.9354
0,0,4096,12,11.9404
0,0,4096,13,12.932
0,0,4096,14,14.0656
0,0,4096,15,15.0046
0,0,4096,16,16.0128
0,0,4096,17,17.0553
0,0,4096,18,18.0981
0,0,4096,19,19.2049
0,0,4096,20,20.1936
0,0,4096,21,21.2701
0,0,4096,22,22.3224
0,0,4096,23,23.358
0,0,4096,24,24.4527
0,0,4096,25,25.547
0,0,4096,26,26.5804
0,0,4096,27,27.6165
0,0,4096,28,28.5839
0,0,4096,29,29.6771
0,0,4096,30,30.7005
0,0,4096,31,31.7953
0,0,4096,32,32.9074
0,0,5120,1,1.25504
0,0,5120,2,2.48445
0,0,5120,3,3.71619
0,0,5120,4,4.94406
0,0,5120,5,6.18843
0,0,5120,6,7.41892
0,0,5120,7,8.64935
0,0,5120,8,9.88501
0,0,5120,9,11.1032
0,0,5120,10,12.3442
0,0,5120,11,13.6296
0,0,5120,12,14.8546
0,0,5120,13,16.1275
0,0,5120,14,17.4449
0,0,5120,15,18.7828
0,0,5120,16,20.0587
0,0,5120,17,21.408
0,0,5120,18,22.7125
0,0,5120,19,24.0041
0,0,5120,20,25.2753
0,0,5120,21,26.5782
0,0,5120,22,27.9416
0,0,5120,23,29.2081
0,0,5120,24,30.4191
0,0,5120,25,31.8279
0,0,5120,26,33.1124
0,0,5120,27,34.5362
0,0,5120,28,35.8527
0,0,5120,29,36.9123
0,0,5120,30,38.2796
0,0,5120,31,39.5594
0,0,5120,32,41.1233
0,0,6144,1,1.49972
0,0,6144,2,2.9954
0,0,6144,3,4.47861
0,0,6144,4,5.96769
0,0,6144,5,7.44208
0,0,6144,6,8.9267
0,0,6144,7,10.38
0,0,6144,8,11.8853
0,0,6144,9,13.3811
0,0,6144,10,14.9474
0,0,6144,11,16.4718
0,0,6144,12,17.9799
0,0,6144,13,19.6955
0,0,6144,14,21.2178
0,0,6144,15,22.7915
0,0,6144,16,24.4949
0,0,6144,17,25.9564
0,0,6144,18,27.5709
0,0,6144,19,29.112
0,0,6144,20,30.5405
0,0,6144,21,32.1757
0,0,6144,22,33.7088
0,0,6144,23,35.1677
0,0,6144,24,36.8145
0,0,6144,25,38.382
0,0,6144,26,39.7753
0,0,6144,27,41.3427
0,0,6144,28,43.0789
0,0,6144,29,44.5744
0,0,6144,30,46.1152
0,0,6144,31,47.687
0,0,6144,32,49.097
0,0,7168,1,1.7417
0,0,7168,2,3.4634
0,0,7168,3,5.20052
0,0,7168,4,6.91464
0,0,7168,5,8.64449
0,0,7168,6,10.3553
0,0,7168,7,12.1348
0,0,7168,8,13.8845
0,0,7168,9,15.6297
0,0,7168,10,17.5559
0,0,7168,11,19.4833
0,0,7168,12,21.2729
0,0,7168,13,23.0259
0,0,7168,14,24.8553
0,0,7168,15,26.5558
0,0,7168,16,28.4984
0,0,7168,17,30.3584
0,0,7168,18,32.0617
0,0,7168,19,34.0021
0,0,7168,20,35.6957
0,0,7168,21,37.6814
0,0,7168,22,39.4598
0,0,7168,23,41.2246
0,0,7168,24,42.9652
0,0,7168,25,44.6721
0,0,7168,26,46.7381
0,0,7168,27,48.4598
0,0,7168,28,50.1063
0,0,7168,29,51.9339
0,0,7168,30,53.7445
0,0,7168,31,55.584
0,0,7168,32,57.3187
0,0,8192,1,1.99523
0,0,8192,2,3.93776
0,0,8192,3,5.9136
0,0,8192,4,7.86556
0,0,8192,5,9.82288
0,0,8192,6,11.7994
0,0,8192,7,13.7673
0,0,8192,8,15.781
0,0,8192,9,17.9437
0,0,8192,10,19.974
0,0,8192,11,22.1114
0,0,8192,12,24.095
0,0,8192,13,26.1472
0,0,8192,14,28.4138
0,0,8192,15,30.4807
0,0,8192,16,32.6079
0,0,8192,17,34.5322
0,0,8192,18,36.5027
0,0,8192,19,38.6212
0,0,8192,20,40.8062
0,0,8192,21,42.7499
0,0,8192,22,44.761
0,0,8192,23,46.9139
0,0,8192,24,48.7771
0,0,8192,25,50.9183
0,0,8192,26,52.9146
0,0,8192,27,55.0708
0,0,8192,28,56.9928
0,0,8192,29,59.0666
0,0,8192,30,61.0912
0,0,8192,31,63.3085
0,0,8192,32,65.1506
0,1,1024,1,0.288687
0,1,1024,2,0.556854
0,1,1024,3,0.8251
0,1,1024,4,1.09149
0,1,1024,5,1.35875
0,1,1024,6,1.68921
0,1,1024,7,1.8965
0,1,1024,8,2.16661
0,1,1024,9,2.43545
0,1,1024,10,2.70559
0,1,1024,11,2.97411
0,1,1024,12,3.30545
0,1,1024,13,3.51474
0,1,1024,14,3.78251
0,1,1024,15,4.05326
0,1,1024,16,4.32208
0,1,1024,17,4.59037
0,1,1024,18,4.85571
0,1,1024,19,5.12374
0,1,1024,20,5.39271
0,1,1024,21,5.66
0,1,1024,22,5.92837
0,1,1024,23,6.19072
0,1,1024,24,6.46104
0,1,1024,25,6.7422
0,1,1024,26,6.99957
0,1,1024,27,7.26729
0,1,1024,28,7.59177
0,1,1024,29,7.91725
0,1,1024,30,8.10827
0,1,1024,31,8.33337
0,1,1024,32,8.60152
0,1,2048,1,0.530423
0,1,2048,2,1.03732
0,1,2048,3,1.54687
0,1,2048,4,2.05592
0,1,2048,5,2.56564
0,1,2048,6,3.0717
0,1,2048,7,3.58572
0,1,2048,8,4.09371
0,1,2048,9,4.60309
0,1,2048,10,5.11415
0,1,2048,11,5.62319
0,1,2048,12,6.13412
0,1,2048,13,6.64712
0,1,2048,14,7.16109
0,1,2048,15,7.79596
0,1,2048,16,8.17961
0,1,2048,17,8.68465
0,1,2048,18,9.19016
0,1,2048,19,9.70169
0,1,2048,20,10.2079
