is_concurrent, repetition, pop_size, num_species, ms_step_mean
0,0,8192,1,1.99651
0,0,8192,9,18.0368
0,0,8192,17,34.3987
0,0,8192,25,50.5967
0,0,8192,33,66.7752
0,0,8192,41,83.0911
0,0,8192,49,99.4643
0,0,8192,57,115.641
0,0,8192,65,131.924
0,0,8192,73,148.385
0,0,8192,81,164.69
0,0,8192,89,180.956
0,0,8192,97,197.255
0,0,8192,105,213.646
0,0,8192,113,230.023
0,0,8192,121,246.337
0,0,8192,129,262.489
1,0,8192,1,1.97271
1,0,8192,9,2.47168
1,0,8192,17,3.37686
1,0,8192,25,4.31269
1,0,8192,33,4.81527
1,0,8192,41,5.91837
1,0,8192,49,6.95244
1,0,8192,57,7.51521
1,0,8192,65,8.54436
1,0,8192,73,9.56604
1,0,8192,81,10.5473
1,0,8192,89,11.1938
1,0,8192,97,12.2176
1,0,8192,105,13.1929
1,0,8192,113,14.0581
1,0,8192,121,14.8889
1,0,8192,129,15.8855
