is_concurrent, repetition, pop_size, num_species, ms_step_mean
0,0,512,1,0.168255
0,0,512,2,1.70122
0,0,512,3,2.18689
0,0,512,4,2.70524
0,0,512,5,3.08319
0,0,512,6,3.33442
0,0,512,7,4.25996
0,0,512,8,4.27938
0,0,512,9,5.28973
0,0,512,10,5.85904
0,0,512,11,5.19674
0,0,512,12,6.85812
0,0,512,13,6.23312
0,0,512,14,8.00189
0,0,512,15,7.48159
0,0,512,16,7.77845
0,0,512,17,9.54847
0,0,512,18,8.79614
0,0,512,19,9.68206
0,0,512,20,9.9387
0,0,512,21,10.4003
0,0,512,22,10.8454
0,0,512,23,11.7189
0,0,512,24,12.4865
0,0,512,25,12.211
0,0,512,26,13.3343
0,0,512,27,13.1245
0,0,512,28,14.3652
0,0,512,29,15.0463
0,0,512,30,14.9495
0,0,512,31,16.1766
0,0,512,32,16.4085
0,1,512,1,1.18919
0,1,512,2,0.867281
0,1,512,3,2.10409
0,1,512,4,2.71647
0,1,512,5,3.22449
0,1,512,6,3.16755
0,1,512,7,4.26304
0,1,512,8,4.78336
0,1,512,9,4.42652
0,1,512,10,5.84712
0,1,512,11,6.33588
0,1,512,12,6.23015
0,1,512,13,7.55876
0,1,512,14,6.92439
0,1,512,15,8.43615
0,1,512,16,7.62519
0,1,512,17,8.55708
0,1,512,18,8.88929
0,1,512,19,9.29827
0,1,512,20,9.75995
0,1,512,21,11.1331
0,1,512,22,10.9421
0,1,512,23,12.0956
0,1,512,24,12.0261
0,1,512,25,13.198
0,1,512,26,13.7947
0,1,512,27,13.9972
0,1,512,28,14.6483
0,1,512,29,15.341
0,1,512,30,15.8481
0,1,512,31,16.2465
0,1,512,32,16.4519
0,2,512,1,1.19175
0,2,512,2,1.69143
0,2,512,3,2.22063
0,2,512,4,2.78222
0,2,512,5,3.14349
0,2,512,6,3.25295
0,2,512,7,4.34373
0,2,512,8,4.88123
0,2,512,9,4.1612
0,2,512,10,5.93494
0,2,512,11,5.40424
0,2,512,12,7.04923
0,2,512,13,7.13238
0,2,512,14,7.02803
0,2,512,15,7.60447
0,2,512,16,8.12119
0,2,512,17,9.23355
0,2,512,18,9.67374
0,2,512,19,10.2704
0,2,512,20,10.8513
0,2,512,21,11.3199
0,2,512,22,4.16423
0,2,512,23,2.95175
0,2,512,24,3.29838
0,2,512,25,3.4894
0,2,512,26,3.3763
0,2,512,27,3.50049
0,2,512,28,3.59113
0,2,512,29,3.79428
0,2,512,30,3.76273
0,2,512,31,4.00781
0,2,512,32,4.19542
1,0,512,1,0.150263
1,0,512,2,0.205989
1,0,512,3,0.258956
1,0,512,4,0.315865
1,0,512,5,0.396065
1,0,512,6,0.448155
1,0,512,7,0.504208
1,0,512,8,0.573733
1,0,512,9,0.646815
1,0,512,10,0.654464
1,0,512,11,0.75553
1,0,512,12,0.762065
1,0,512,13,0.860192
1,0,512,14,0.912834
1,0,512,15,1.01653
1,0,512,16,1.00349
1,0,512,17,1.05955
1,0,512,18,1.11567
1,0,512,19,1.23418
1,0,512,20,1.25536
1,0,512,21,1.36142
1,0,512,22,1.40237
1,0,512,23,1.42513
1,0,512,24,1.4494
1,0,512,25,1.54976
1,0,512,26,1.55723
1,0,512,27,1.6513
1,0,512,28,1.76291
1,0,512,29,1.78426
1,0,512,30,1.81513
1,0,512,31,1.89393
1,0,512,32,1.89842
1,1,512,1,0.150743
1,1,512,2,0.205571
1,1,512,3,0.261175
1,1,512,4,0.335051
1,1,512,5,0.370921
1,1,512,6,0.427782
1,1,512,7,0.479389
1,1,512,8,0.621021
1,1,512,9,0.594592
1,1,512,10,0.647556
1,1,512,11,0.706399
1,1,512,12,0.757811
1,1,512,13,0.857851
1,1,512,14,0.892143
1,1,512,15,0.943932
1,1,512,16,1.03357
1,1,512,17,1.08652
1,1,512,18,1.10704
1,1,512,19,1.21187
1,1,512,20,1.24625
1,1,512,21,1.33626
1,1,512,22,1.32351
1,1,512,23,1.40571
1,1,512,24,1.51827
1,1,512,25,1.58608
1,1,512,26,1.64793
1,1,512,27,1.69954
1,1,512,28,1.75532
1,1,512,29,1.78458
1,1,512,30,1.81742
1,1,512,31,1.87657
1,1,512,32,1.95316
1,2,512,1,0.150853
1,2,512,2,0.204911
1,2,512,3,0.258017
1,2,512,4,0.315221
1,2,512,5,0.395818
1,2,512,6,0.45001
1,2,512,7,0.571036
1,2,512,8,0.598394
1,2,512,9,0.587126
1,2,512,10,0.645502
1,2,512,11,0.715456
1,2,512,12,0.765549
1,2,512,13,0.871122
1,2,512,14,0.965655
1,2,512,15,0.930353
1,2,512,16,0.991181
1,2,512,17,1.04898
1,2,512,18,1.11003
1,2,512,19,1.19269
1,2,512,20,1.22849
1,2,512,21,1.34169
1,2,512,22,1.3562
1,2,512,23,1.44099
1,2,512,24,1.49735
1,2,512,25,1.53686
1,2,512,26,1.60319
1,2,512,27,1.65204
1,2,512,28,1.73662
1,2,512,29,1.79455
1,2,512,30,1.79045
1,2,512,31,1.86353
1,2,512,32,1.95871
