is_concurrent, repetition, pop_size, num_species, ms_step_mean
0,0,128,1,0.090533
0,0,128,2,0.159947
0,0,128,3,0.229484
0,0,128,4,0.304581
0,0,128,5,0.374119
0,0,128,6,0.439785
0,0,128,7,0.539423
0,0,128,8,0.610997
0,0,128,9,0.709361
0,0,128,10,0.780417
0,0,128,11,0.883637
0,0,128,12,0.905801
0,0,128,13,1.04129
0,0,128,14,1.06117
0,0,128,15,1.21938
0,0,128,16,1.23715
0,0,128,17,1.32863
0,0,128,18,1.39295
0,0,128,19,1.43385
0,0,128,20,1.54461
0,0,128,21,1.61511
0,0,128,22,1.68124
0,0,128,23,1.74533
0,0,128,24,1.82357
0,0,128,25,1.914
0,0,128,26,1.96448
0,0,128,27,2.05665
0,0,128,28,2.09766
0,0,128,29,2.17068
0,0,128,30,2.28816
0,0,128,31,2.29702
0,0,128,32,2.4193
0,0,256,1,0.112469
0,0,256,2,0.20141
0,0,256,3,0.31343
0,0,256,4,0.429844
0,0,256,5,0.525521
0,0,256,6,0.607424
0,0,256,7,0.730625
0,0,256,8,0.808148
0,0,256,9,0.940544
0,0,256,10,1.0043
0,0,256,11,1.15993
0,0,256,12,1.13865
0,0,256,13,1.35693
0,0,256,14,1.41227
0,0,256,15,1.44637
0,0,256,16,1.51683
0,0,256,17,1.76709
0,0,256,18,1.77065
0,0,256,19,1.82934
0,0,256,20,2.06327
0,0,256,21,2.0937
0,0,256,22,2.10016
0,0,256,23,2.17248
0,0,256,24,2.34322
0,0,256,25,2.39148
0,0,256,26,2.52613
0,0,256,27,2.63365
0,0,256,28,2.63489
0,0,256,29,2.94837
0,0,256,30,2.82977
0,0,256,31,3.00821
0,0,256,32,3.12327
0,0,384,1,0.131627
0,0,384,2,0.241958
0,0,384,3,0.484128
0,0,384,4,0.594013
0,0,384,5,0.636033
0,0,384,6,0.689124
0,0,384,7,0.801317
0,0,384,8,0.917326
0,0,384,9,1.02991
0,0,384,10,1.22056
0,0,384,11,1.26329
0,0,384,12,1.37296
0,0,384,13,1.49775
0,0,384,14,1.59788
0,0,384,15,1.73285
0,0,384,16,1.84105
0,0,384,17,2.06148
0,0,384,18,2.19904
0,0,384,19,2.18766
0,0,384,20,2.28203
0,0,384,21,2.50064
0,0,384,22,2.54171
0,0,384,23,2.62812
0,0,384,24,2.74658
0,0,384,25,3.09145
0,0,384,26,2.96658
0,0,384,27,3.09378
0,0,384,28,3.26012
0,0,384,29,3.4269
0,0,384,30,3.5228
0,0,384,31,3.57053
0,0,384,32,3.66717
0,0,512,1,0.157146
0,0,512,2,0.292272
0,0,512,3,0.429385
0,0,512,4,0.565583
0,0,512,5,0.699103
0,0,512,6,0.839074
0,0,512,7,1.07524
0,0,512,8,1.16394
0,0,512,9,1.26105
0,0,512,10,1.4154
