is_concurrent, repetition, pop_size, num_species, ms_step_mean
0,0,128,1,0.0762582
0,0,128,2,0.126484
0,0,128,3,0.178343
0,0,128,4,0.228806
0,0,128,5,0.277881
0,0,128,6,0.329454
0,0,128,7,0.379574
0,0,128,8,0.428674
0,0,128,9,0.480331
0,0,128,10,0.530113
0,0,128,11,0.585983
0,0,128,12,0.634094
0,0,128,13,0.686018
0,0,128,14,0.736034
0,0,128,15,0.784447
0,0,128,16,0.835519
0,0,128,17,0.888748
0,0,128,18,0.937375
0,0,128,19,0.984174
0,0,128,20,1.03828
0,0,128,21,1.08701
0,0,128,22,1.13975
0,0,128,23,1.19303
0,0,128,24,1.24159
0,0,128,25,1.29223
0,0,128,26,1.34456
0,0,128,27,1.38404
0,0,128,28,1.44697
0,0,128,29,1.48975
0,0,128,30,1.54162
0,0,128,31,1.59751
0,0,128,32,1.64759
0,0,256,1,0.103919
0,0,256,2,0.182998
0,0,256,3,0.264596
0,0,256,4,0.343241
0,0,256,5,0.421508
0,0,256,6,0.499818
0,0,256,7,0.574708
0,0,256,8,0.656376
0,0,256,9,0.735348
0,0,256,10,0.81549
0,0,256,11,0.901055
0,0,256,12,0.975089
0,0,256,13,1.05256
0,0,256,14,1.13241
0,0,256,15,1.21595
0,0,256,16,1.2942
0,0,256,17,1.36708
0,0,256,18,1.44823
0,0,256,19,1.52833
0,0,256,20,1.60515
0,0,256,21,1.68978
0,0,256,22,1.76301
0,0,256,23,1.84055
0,0,256,24,1.92255
0,0,256,25,1.99981
0,0,256,26,2.0865
0,0,256,27,2.1594
0,0,256,28,2.239
0,0,256,29,2.32249
0,0,256,30,2.3934
0,0,256,31,2.48267
0,0,256,32,2.56351
0,0,384,1,0.1353
0,0,384,2,0.243829
0,0,384,3,0.352537
0,0,384,4,0.459203
0,0,384,5,0.568854
0,0,384,6,0.67698
0,0,384,7,0.78444
0,0,384,8,0.892501
0,0,384,9,1.00109
0,0,384,10,1.1142
0,0,384,11,1.2267
0,0,384,12,1.33197
0,0,384,13,1.4386
0,0,384,14,1.54692
0,0,384,15,1.65789
0,0,384,16,1.7614
0,0,384,17,1.87436
0,0,384,18,1.97989
0,0,384,19,2.08831
0,0,384,20,2.1918
0,0,384,21,2.30207
