is_concurrent,pop_size,num_species,mean_ms_step_mean
0,1024,1,0.250
0,1024,2,0.471
0,1024,3,0.691
0,1024,4,0.942
0,1024,5,1.135
0,1024,6,1.356
0,1024,7,1.629
0,1024,8,1.921
0,1024,9,2.031
0,1024,10,2.301
0,1024,11,2.527
0,1024,12,2.736
0,1024,13,3.014
0,1024,14,3.327
0,1024,15,3.424
0,1024,16,3.636
0,1024,17,3.965
0,1024,18,4.035
0,1024,19,4.297
0,1024,20,4.535
0,1024,21,4.870
0,1024,22,5.082
0,1024,23,5.345
0,1024,24,5.404
0,1024,25,5.706
0,1024,26,6.072
0,1024,27,6.156
0,1024,28,6.312
0,1024,29,6.540
0,1024,30,6.893
0,1024,31,7.076
0,1024,32,7.392
0,2048,1,0.396
0,2048,2,0.768
0,2048,3,1.134
0,2048,4,1.503
0,2048,5,1.872
0,2048,6,2.270
0,2048,7,2.629
0,2048,8,2.982
0,2048,9,3.355
0,2048,10,3.721
0,2048,11,4.178
0,2048,12,4.464
0,2048,13,4.833
0,2048,14,5.202
0,2048,15,5.619
0,2048,16,6.035
0,2048,17,6.590
0,2048,18,6.835
0,2048,19,7.237
0,2048,20,7.507
0,2048,21,7.968
0,2048,22,8.211
0,2048,23,8.662
0,2048,24,8.946
0,2048,25,9.398
0,2048,26,9.658
0,2048,27,9.993
0,2048,28,10.738
0,2048,29,10.891
0,2048,30,11.105
0,2048,31,11.522
0,2048,32,12.129
0,3072,1,0.540
0,3072,2,1.046
0,3072,3,1.559
0,3072,4,2.068
0,3072,5,2.583
0,3072,6,3.090
0,3072,7,3.605
0,3072,8,4.110
0,3072,9,4.681
0,3072,10,5.182
0,3072,11,5.837
0,3072,12,6.168
0,3072,13,6.691
0,3072,14,7.218
0,3072,15,7.759
0,3072,16,8.237
0,3072,17,8.991
0,3072,18,9.276
0,3072,19,9.821
0,3072,20,10.412
0,3072,21,10.986
0,3072,22,11.451
0,3072,23,11.871
0,3072,24,12.441
0,3072,25,12.948
0,3072,26,13.432
0,3072,27,14.180
0,3072,28,14.598
0,3072,29,15.217
0,3072,30,15.711
0,3072,31,16.482
0,3072,32,16.687
0,4096,1,0.679
0,4096,2,1.364
0,4096,3,1.985
0,4096,4,2.636
0,4096,5,3.288
0,4096,6,3.938
0,4096,7,4.605
0,4096,8,5.248
0,4096,9,5.965
0,4096,10,6.561
0,4096,11,7.224
0,4096,12,7.879
0,4096,13,8.528
0,4096,14,9.181
0,4096,15,9.976
0,4096,16,10.604
0,4096,17,11.161
0,4096,18,11.905
0,4096,19,12.480
0,4096,20,13.349
0,4096,21,14.051
0,4096,22,14.459
0,4096,23,15.289
0,4096,24,15.978
0,4096,25,16.440
0,4096,26,17.423
0,4096,27,17.850
0,4096,28,18.425
0,4096,29,19.114
0,4096,30,19.816
0,4096,31,20.781
0,4096,32,21.194
0,5120,1,0.822
0,5120,2,1.614
0,5120,3,2.408
0,5120,4,3.200
0,5120,5,3.985
0,5120,6,4.777
0,5120,7,5.564
0,5120,8,6.371
0,5120,9,7.150
0,5120,10,7.986
0,5120,11,8.775
0,5120,12,9.588
0,5120,13,10.423
0,5120,14,11.279
0,5120,15,12.105
0,5120,16,12.973
0,5120,17,13.905
