is_concurrent,pop_size,num_species,mean_ms_step_mean
0,1024,1,0.289
0,1024,2,0.557
0,1024,3,0.825
0,1024,4,1.111
0,1024,5,1.359
0,1024,6,1.649
0,1024,7,1.897
0,1024,8,2.166
0,1024,9,2.436
0,1024,10,2.705
0,1024,11,2.994
0,1024,12,3.263
0,1024,13,3.514
0,1024,14,3.784
0,1024,15,4.059
0,1024,16,4.341
0,1024,17,4.611
0,1024,18,4.863
0,1024,19,5.124
0,1024,20,5.411
0,1024,21,5.680
0,1024,22,5.928
0,1024,23,6.194
0,1024,24,6.503
0,1024,25,6.749
0,1024,26,7.008
0,1024,27,7.268
0,1024,28,7.555
0,1024,29,7.875
0,1024,30,8.103
0,1024,31,8.353
0,1024,32,8.603
0,2048,1,0.530
0,2048,2,1.037
0,2048,3,1.547
0,2048,4,2.056
0,2048,5,2.565
0,2048,6,3.072
0,2048,7,3.586
0,2048,8,4.094
0,2048,9,4.604
0,2048,10,5.114
0,2048,11,5.664
0,2048,12,6.134
0,2048,13,6.647
0,2048,14,7.202
0,2048,15,7.715
0,2048,16,8.181
0,2048,17,8.687
0,2048,18,9.191
0,2048,19,9.699
0,2048,20,10.247
0,2048,21,10.711
0,2048,22,11.224
0,2048,23,11.748
0,2048,24,12.260
0,2048,25,12.769
0,2048,26,13.285
0,2048,27,13.824
0,2048,28,14.396
0,2048,29,14.901
0,2048,30,15.438
0,2048,31,15.994
0,2048,32,16.511
0,3072,1,0.770
0,3072,2,1.522
0,3072,3,2.271
0,3072,4,3.022
0,3072,5,3.771
0,3072,6,4.518
0,3072,7,5.271
0,3072,8,6.086
0,3072,9,6.771
0,3072,10,7.526
0,3072,11,8.275
0,3072,12,9.030
0,3072,13,9.784
0,3072,14,10.529
0,3072,15,11.288
0,3072,16,12.047
0,3072,17,12.822
0,3072,18,13.609
0,3072,19,14.323
0,3072,20,15.105
0,3072,21,15.924
0,3072,22,16.714
0,3072,23,17.525
0,3072,24,18.350
0,3072,25,19.109
0,3072,26,19.885
0,3072,27,20.702
0,3072,28,21.508
0,3072,29,22.325
0,3072,30,23.122
0,3072,31,23.960
