is_concurrent,pop_size,num_species,mean_ms_step_mean
0,2048,1,0.061
0,2048,9,0.473
0,2048,17,0.850
0,2048,25,1.254
0,2048,33,1.696
0,2048,41,2.118
0,2048,49,2.566
0,2048,57,2.947
0,2048,65,3.375
0,2048,73,3.774
0,2048,81,4.196
0,2048,89,4.627
0,2048,97,5.040
0,2048,105,5.478
0,2048,113,5.872
0,2048,121,6.307
0,2048,129,6.723
0,2048,137,7.168
0,2048,145,7.609
0,2048,153,8.062
0,2048,161,8.502
0,2048,169,8.960
0,2048,177,9.392
0,2048,185,9.834
0,2048,193,10.293
0,2048,201,10.736
0,2048,209,11.193
0,2048,217,11.648
0,2048,225,12.094
0,2048,233,12.578
0,2048,241,13.009
0,2048,249,13.457
0,2048,257,13.937
0,4096,1,0.103
0,4096,9,0.878
0,4096,17,1.691
0,4096,25,2.516
0,4096,33,3.314
0,4096,41,4.149
0,4096,49,4.973
0,4096,57,5.740
0,4096,65,6.564
0,4096,73,7.455
0,4096,81,8.322
0,4096,89,9.188
0,4096,97,10.020
0,4096,105,10.931
0,4096,113,11.807
0,4096,121,12.677
0,4096,129,13.553
0,4096,137,14.418
0,4096,145,15.289
0,4096,153,16.157
0,4096,161,17.025
0,4096,169,17.902
0,4096,177,18.780
0,4096,185,19.669
0,4096,193,20.526
0,4096,201,21.403
0,4096,209,22.273
0,4096,217,23.143
0,4096,225,24.021
0,4096,233,24.898
0,4096,241,25.775
0,4096,249,26.678
0,4096,257,27.552
0,6144,1,0.153
0,6144,9,1.337
0,6144,17,2.590
0,6144,25,3.829
0,6144,33,5.049
0,6144,41,6.285
0,6144,49,7.579
0,6144,57,8.888
0,6144,65,10.200
0,6144,73,11.521
0,6144,81,12.838
0,6144,89,14.151
0,6144,97,15.458
0,6144,105,16.782
0,6144,113,18.094
0,6144,121,19.412
0,6144,129,20.745
0,6144,137,22.062
0,6144,145,23.379
0,6144,153,24.715
0,6144,161,26.000
0,6144,169,27.336
0,6144,177,28.659
0,6144,185,29.977
0,6144,193,31.292
0,6144,201,32.610
0,6144,209,33.927
0,6144,217,35.266
0,6144,225,36.565
0,6144,233,37.906
0,6144,241,39.227
0,6144,249,40.554
0,6144,257,41.883
0,8192,1,0.200
0,8192,9,1.791
0,8192,17,3.450
0,8192,25,5.079
0,8192,33,6.721
0,8192,41,8.452
0,8192,49,10.207
0,8192,57,11.953
0,8192,65,13.697
0,8192,73,15.442
0,8192,81,17.185
0,8192,89,18.934
0,8192,97,20.683
0,8192,105,22.438
0,8192,113,24.194
0,8192,121,25.936
0,8192,129,27.682
0,8192,137,29.431
0,8192,145,31.179
0,8192,153,32.932
0,8192,161,34.675
0,8192,169,36.432
0,8192,177,38.181
0,8192,185,39.933
0,8192,193,41.681
0,8192,201,43.432
0,8192,209,45.187
0,8192,217,46.959
0,8192,225,48.692
0,8192,233,50.478
0,8192,241,52.212
0,8192,249,53.985
0,8192,257,55.721
1,2048,1,0.055
1,2048,9,0.073
1,2048,17,0.092
1,2048,25,0.117
1,2048,33,0.134
1,2048,41,0.154
1,2048,49,0.189
1,2048,57,0.205
1,2048,65,0.227
1,2048,73,0.249
1,2048,81,0.278
1,2048,89,0.300
1,2048,97,0.323
1,2048,105,0.352
1,2048,113,0.385
1,2048,121,0.402
1,2048,129,0.444
1,2048,137,0.501
1,2048,145,0.558
1,2048,153,0.604
1,2048,161,0.657
1,2048,169,0.719
1,2048,177,0.771
1,2048,185,0.835
1,2048,193,0.895
1,2048,201,0.953
1,2048,209,1.010
1,2048,217,1.073
1,2048,225,1.147
1,2048,233,1.209
1,2048,241,1.271
1,2048,249,1.346
1,2048,257,1.408
1,4096,1,0.103
1,4096,9,0.121
1,4096,17,0.153
1,4096,25,0.199
1,4096,33,0.229
1,4096,41,0.258
1,4096,49,0.321
1,4096,57,0.337
1,4096,65,0.403
1,4096,73,0.487
1,4096,81,0.577
1,4096,89,0.679
1,4096,97,0.771
1,4096,105,0.878
1,4096,113,0.975
1,4096,121,1.077
1,4096,129,1.176
1,4096,137,1.267
1,4096,145,1.379
1,4096,153,1.464
1,4096,161,1.576
1,4096,169,1.674
1,4096,177,1.768
1,4096,185,1.888
1,4096,193,1.981
1,4096,201,2.091
1,4096,209,2.184
1,4096,217,2.296
1,4096,225,2.401
1,4096,233,2.506
1,4096,241,2.618
1,4096,249,2.732
1,4096,257,2.852
1,6144,1,0.153
1,6144,9,0.196
1,6144,17,0.265
1,6144,25,0.297
1,6144,33,0.369
1,6144,41,0.412
