is_concurrent,pop_size,num_species,mean_ms_step_mean
0,512,1,0.157
0,512,2,0.291
0,512,3,0.428
0,512,4,0.566
0,512,5,0.702
0,512,6,0.906
0,512,7,0.994
0,512,8,1.203
0,512,9,1.320
0,512,10,1.408
0,512,11,1.587
0,512,12,1.681
0,512,13,1.808
0,512,14,1.976
0,512,15,2.174
0,512,16,2.266
0,512,17,2.372
0,512,18,2.691
0,512,19,2.663
0,512,20,2.908
0,512,21,3.021
0,512,22,3.167
0,512,23,3.324
0,512,24,3.404
0,512,25,3.514
0,512,26,3.798
0,512,27,3.907
0,512,28,3.944
0,512,29,4.162
0,512,30,4.273
0,512,31,4.427
0,512,32,4.525
1,512,1,0.158
1,512,2,0.250
1,512,3,0.282
1,512,4,0.343
1,512,5,0.396
1,512,6,0.500
1,512,7,0.563
1,512,8,0.628
1,512,9,0.672
1,512,10,0.707
1,512,11,0.806
1,512,12,0.879
1,512,13,0.935
1,512,14,0.975
1,512,15,1.066
1,512,16,1.110
1,512,17,1.199
1,512,18,1.244
1,512,19,1.274
1,512,20,1.366
1,512,21,1.411
1,512,22,1.481
1,512,23,1.568
1,512,24,1.621
1,512,25,1.693
1,512,26,1.760
1,512,27,1.827
1,512,28,1.890
1,512,29,1.943
1,512,30,1.993
1,512,31,2.077
1,512,32,2.122
