is_concurrent,pop_size,num_species,mean_ms_step_mean
0,128,1,0.094
0,128,2,0.157
0,128,3,0.223
0,128,4,0.288
0,128,5,0.359
0,128,6,0.457
0,128,7,0.514
0,128,8,0.553
0,128,9,0.633
0,128,10,0.710
0,128,11,0.778
0,128,12,0.837
0,128,13,0.889
0,128,14,0.976
0,128,15,1.058
0,128,16,1.128
0,128,17,1.193
0,128,18,1.263
0,128,19,1.304
0,128,20,1.418
0,128,21,1.457
0,128,22,1.519
0,128,23,1.607
0,128,24,1.704
0,128,25,1.722
0,128,26,1.828
0,128,27,1.910
0,128,28,1.911
0,128,29,1.997
0,128,30,2.121
0,128,31,2.170
0,128,32,2.229
0,256,1,0.110
0,256,2,0.192
0,256,3,0.277
0,256,4,0.361
0,256,5,0.444
0,256,6,0.532
0,256,7,0.633
0,256,8,0.711
0,256,9,0.814
0,256,10,0.873
0,256,11,0.963
0,256,12,1.069
0,256,13,1.141
0,256,14,1.219
0,256,15,1.335
0,256,16,1.396
0,256,17,1.496
0,256,18,1.630
0,256,19,1.661
0,256,20,1.729
0,256,21,1.852
0,256,22,1.988
0,256,23,2.016
0,256,24,2.125
0,256,25,2.227
0,256,26,2.330
0,256,27,2.393
0,256,28,2.465
0,256,29,2.631
0,256,30,2.620
0,256,31,2.751
0,256,32,2.835
0,384,1,0.129
0,384,2,0.233
0,384,3,0.332
0,384,4,0.431
0,384,5,0.537
0,384,6,0.635
0,384,7,0.768
0,384,8,0.870
0,384,9,0.961
0,384,10,1.084
0,384,11,1.153
0,384,12,1.300
0,384,13,1.421
0,384,14,1.469
0,384,15,1.578
0,384,16,1.716
0,384,17,1.790
0,384,18,1.878
0,384,19,2.023
0,384,20,2.167
0,384,21,2.246
0,384,22,2.306
0,384,23,2.431
0,384,24,2.574
0,384,25,2.718
0,384,26,2.793
0,384,27,2.904
0,384,28,2.982
0,384,29,3.078
0,384,30,3.200
0,384,31,3.292
0,384,32,3.369
0,512,1,0.182
0,512,2,0.305
0,512,3,0.397
0,512,4,0.530
0,512,5,0.645
0,512,6,0.773
0,512,7,0.896
0,512,8,1.024
0,512,9,1.156
0,512,10,1.318
0,512,11,1.437
0,512,12,1.526
0,512,13,1.673
0,512,14,1.798
0,512,15,1.934
0,512,16,2.038
0,512,17,2.302
0,512,18,2.312
0,512,19,2.465
0,512,20,2.589
0,512,21,2.751
0,512,22,2.885
0,512,23,3.037
0,512,24,3.200
0,512,25,3.259
0,512,26,3.421
0,512,27,3.582
0,512,28,3.640
0,512,29,3.733
0,512,30,3.875
0,512,31,3.988
0,512,32,4.153
0,640,1,0.178
0,640,2,0.333
0,640,3,0.505
0,640,4,0.651
0,640,5,0.827
0,640,6,0.927
0,640,7,1.112
0,640,8,1.283
0,640,9,1.393
0,640,10,1.653
0,640,11,1.776
0,640,12,1.863
0,640,13,2.076
0,640,14,2.204
0,640,15,2.313
0,640,16,2.456
0,640,17,2.727
0,640,18,2.793
0,640,19,3.022
0,640,20,3.209
0,640,21,3.287
0,640,22,3.425
0,640,23,3.627
0,640,24,3.814
0,640,25,3.878
0,640,26,4.055
0,640,27,4.272
0,640,28,4.349
0,640,29,4.486
0,640,30,4.588
0,640,31,4.822
0,640,32,5.085
0,768,1,0.197
0,768,2,0.366
0,768,3,0.536
0,768,4,0.740
0,768,5,0.889
0,768,6,1.045
0,768,7,1.210
0,768,8,1.486
0,768,9,1.606
0,768,10,1.794
0,768,11,1.930
0,768,12,2.143
0,768,13,2.280
0,768,14,2.466
0,768,15,2.589
0,768,16,2.789
0,768,17,2.923
0,768,18,3.176
0,768,19,3.297
0,768,20,3.501
0,768,21,3.767
0,768,22,3.780
0,768,23,4.014
0,768,24,4.120
0,768,25,4.335
0,768,26,4.486
0,768,27,4.794
0,768,28,4.902
0,768,29,5.057
0,768,30,5.303
0,768,31,5.455
0,768,32,5.638
0,896,1,0.216
0,896,2,0.428
0,896,3,0.640
0,896,4,0.811
0,896,5,1.062
0,896,6,1.154
0,896,7,1.380
0,896,8,1.553
0,896,9,1.753
0,896,10,1.988
0,896,11,2.114
0,896,12,2.311
0,896,13,2.565
0,896,14,2.697
0,896,15,2.900
0,896,16,3.077
0,896,17,3.266
0,896,18,3.535
0,896,19,3.741
0,896,20,3.843
0,896,21,4.082
0,896,22,4.375
0,896,23,4.443
0,896,24,4.652
0,896,25,4.866
0,896,26,5.014
0,896,27,5.241
0,896,28,5.372
0,896,29,5.789
0,896,30,5.765
0,896,31,6.005
0,896,32,6.188
0,1024,1,0.250
0,1024,2,0.470
0,1024,3,0.692
0,1024,4,0.975
0,1024,5,1.153
0,1024,6,1.411
0,1024,7,1.594
0,1024,8,1.812
0,1024,9,2.043
0,1024,10,2.344
0,1024,11,2.537
0,1024,12,2.766
0,1024,13,2.997
0,1024,14,3.215
0,1024,15,3.401
0,1024,16,3.687
0,1024,17,3.837
0,1024,18,4.068
0,1024,19,4.414
0,1024,20,4.663
0,1024,21,4.851
0,1024,22,5.004
0,1024,23,5.258
0,1024,24,5.538
0,1024,25,5.718
0,1024,26,6.045
0,1024,27,6.080
0,1024,28,6.508
0,1024,29,6.787
0,1024,30,6.928
0,1024,31,7.013
0,1024,32,7.327
1,128,1,0.090
1,128,2,0.140
1,128,3,0.184
