is_concurrent,pop_size,num_species,mean_ms_step_mean
0,128,1,0.077
0,128,2,0.128
0,128,3,0.178
0,128,4,0.229
0,128,5,0.278
0,128,6,0.329
0,128,7,0.379
0,128,8,0.429
0,128,9,0.480
0,128,10,0.530
0,128,11,0.584
0,128,12,0.634
0,128,13,0.686
0,128,14,0.736
0,128,15,0.786
0,128,16,0.835
0,128,17,0.888
0,128,18,0.938
0,128,19,0.986
0,128,20,1.036
0,128,21,1.085
0,128,22,1.142
0,128,23,1.189
0,128,24,1.241
0,128,25,1.291
0,128,26,1.343
0,128,27,1.390
0,128,28,1.446
0,128,29,1.493
0,128,30,1.544
0,128,31,1.594
0,128,32,1.648
0,256,1,0.105
0,256,2,0.184
0,256,3,0.263
0,256,4,0.344
0,256,5,0.422
0,256,6,0.499
0,256,7,0.578
0,256,8,0.659
0,256,9,0.736
0,256,10,0.816
0,256,11,0.900
0,256,12,0.975
0,256,13,1.052
0,256,14,1.131
0,256,15,1.215
0,256,16,1.295
0,256,17,1.370
0,256,18,1.449
0,256,19,1.529
0,256,20,1.604
0,256,21,1.686
0,256,22,1.764
0,256,23,1.846
0,256,24,1.923
0,256,25,2.000
0,256,26,2.084
0,256,27,2.160
0,256,28,2.237
0,256,29,2.317
0,256,30,2.394
0,256,31,2.476
0,256,32,2.558
0,384,1,0.135
0,384,2,0.244
0,384,3,0.354
0,384,4,0.461
0,384,5,0.568
0,384,6,0.679
0,384,7,0.785
0,384,8,0.891
0,384,9,1.002
0,384,10,1.113
0,384,11,1.224
0,384,12,1.333
0,384,13,1.440
0,384,14,1.548
0,384,15,1.657
0,384,16,1.764
0,384,17,1.873
0,384,18,1.977
0,384,19,2.089
0,384,20,2.196
0,384,21,2.303
0,384,22,2.408
0,384,23,2.522
0,384,24,2.625
0,384,25,2.740
0,384,26,2.842
0,384,27,2.960
0,384,28,3.062
0,384,29,3.169
0,384,30,3.281
0,384,31,3.384
0,384,32,3.495
0,512,1,0.164
0,512,2,0.300
0,512,3,0.438
0,512,4,0.574
0,512,5,0.710
0,512,6,0.848
0,512,7,0.981
0,512,8,1.119
0,512,9,1.259
0,512,10,1.395
0,512,11,1.531
0,512,12,1.671
0,512,13,1.809
0,512,14,1.943
0,512,15,2.081
0,512,16,2.213
0,512,17,2.353
0,512,18,2.485
0,512,19,2.624
0,512,20,2.765
0,512,21,2.895
0,512,22,3.027
0,512,23,3.165
0,512,24,3.308
0,512,25,3.448
0,512,26,3.581
0,512,27,3.719
0,512,28,3.848
0,512,29,3.986
0,512,30,4.123
0,512,31,4.260
0,512,32,4.395
0,640,1,0.199
0,640,2,0.370
0,640,3,0.542
0,640,4,0.713
