is_concurrent,pop_size,num_species,mean_ms_step_mean,speedup
0,1024,1,0.250,0.967
0,1024,2,0.471,1.269
0,1024,3,0.691,1.547
0,1024,4,0.942,1.932
0,1024,5,1.135,1.905
0,1024,6,1.356,2.142
0,1024,7,1.629,2.209
0,1024,8,1.921,2.404
0,1024,9,2.031,2.276
0,1024,10,2.301,2.346
0,1024,11,2.527,2.393
0,1024,12,2.736,2.249
0,1024,13,3.014,2.457
0,1024,14,3.327,2.472
0,1024,15,3.424,2.477
0,1024,16,3.636,2.438
0,1024,17,3.965,2.527
0,1024,18,4.035,2.460
0,1024,19,4.297,2.478
0,1024,20,4.535,2.578
0,1024,21,4.870,2.656
0,1024,22,5.082,2.585
0,1024,23,5.345,2.702
0,1024,24,5.404,2.577
0,1024,25,5.706,2.640
0,1024,26,6.072,2.614
0,1024,27,6.156,2.593
0,1024,28,6.312,2.533
0,1024,29,6.540,2.649
0,1024,30,6.893,2.611
0,1024,31,7.076,2.689
0,1024,32,7.392,2.640
0,2048,1,0.396,1.001
0,2048,2,0.768,1.605
0,2048,3,1.134,2.005
0,2048,4,1.503,2.316
0,2048,5,1.872,2.555
0,2048,6,2.270,2.694
0,2048,7,2.629,2.847
0,2048,8,2.982,3.015
0,2048,9,3.355,2.742
0,2048,10,3.721,3.227
0,2048,11,4.178,3.340
0,2048,12,4.464,3.067
0,2048,13,4.833,3.395
0,2048,14,5.202,3.309
0,2048,15,5.619,3.214
0,2048,16,6.035,3.598
0,2048,17,6.590,3.650
0,2048,18,6.835,3.674
0,2048,19,7.237,3.677
0,2048,20,7.507,3.703
0,2048,21,7.968,3.482
0,2048,22,8.211,3.550
0,2048,23,8.662,3.588
0,2048,24,8.946,3.519
0,2048,25,9.398,3.516
0,2048,26,9.658,3.727
0,2048,27,9.993,3.648
0,2048,28,10.738,3.844
0,2048,29,10.891,3.710
0,2048,30,11.105,3.819
0,2048,31,11.522,3.774
0,2048,32,12.129,3.964
0,3072,1,0.540,1.002
0,3072,2,1.046,1.678
0,3072,3,1.559,2.191
0,3072,4,2.068,2.593
0,3072,5,2.583,2.902
0,3072,6,3.090,3.180
0,3072,7,3.605,3.419
0,3072,8,4.110,3.588
0,3072,9,4.681,3.771
0,3072,10,5.182,3.824
0,3072,11,5.837,3.925
0,3072,12,6.168,4.079
0,3072,13,6.691,4.064
0,3072,14,7.218,4.276
0,3072,15,7.759,4.353
0,3072,16,8.237,4.419
0,3072,17,8.991,4.305
0,3072,18,9.276,4.105
0,3072,19,9.821,4.264
0,3072,20,10.412,4.458
0,3072,21,10.986,4.257
0,3072,22,11.451,4.399
0,3072,23,11.871,4.266
0,3072,24,12.441,4.522
0,3072,25,12.948,4.660
0,3072,26,13.432,4.556
0,3072,27,14.180,4.776
0,3072,28,14.598,4.599
0,3072,29,15.217,4.682
0,3072,30,15.711,4.734
0,3072,31,16.482,4.961
0,3072,32,16.687,4.638
0,4096,1,0.679,1.000
0,4096,2,1.364,1.780
0,4096,3,1.985,2.330
0,4096,4,2.636,2.480
0,4096,5,3.288,3.105
0,4096,6,3.938,3.526
0,4096,7,4.605,3.799
0,4096,8,5.248,3.370
0,4096,9,5.965,4.188
0,4096,10,6.561,4.415
0,4096,11,7.224,4.567
0,4096,12,7.879,4.209
0,4096,13,8.528,4.362
0,4096,14,9.181,4.484
0,4096,15,9.976,4.659
0,4096,16,10.604,4.769
0,4096,17,11.161,4.802
0,4096,18,11.905,4.921
0,4096,19,12.480,4.859
0,4096,20,13.349,4.933
0,4096,21,14.051,5.221
0,4096,22,14.459,5.187
0,4096,23,15.289,4.782
0,4096,24,15.978,4.730
0,4096,25,16.440,4.610
0,4096,26,17.423,4.832
0,4096,27,17.850,4.632
0,4096,28,18.425,4.649
0,4096,29,19.114,4.712
0,4096,30,19.816,4.771
0,4096,31,20.781,4.896
0,4096,32,21.194,4.714
0,5120,1,0.822,1.001
0,5120,2,1.614,1.777
0,5120,3,2.408,2.413
0,5120,4,3.200,2.947
0,5120,5,3.985,3.395
0,5120,6,4.777,3.569
0,5120,7,5.564,4.087
0,5120,8,6.371,4.372
0,5120,9,7.150,4.610
0,5120,10,7.986,4.850
0,5120,11,8.775,4.395
0,5120,12,9.588,4.603
0,5120,13,10.423,4.780
0,5120,14,11.279,4.978
0,5120,15,12.105,5.124
0,5120,16,12.973,5.273
0,5120,17,13.905,5.438
0,5120,18,14.747,5.559
0,5120,19,15.585,5.668
0,5120,20,16.800,5.911
0,5120,21,17.308,4.775
0,5120,22,18.162,4.894
0,5120,23,19.072,5.048
0,5120,24,19.856,4.945
0,5120,25,20.719,5.050
0,5120,26,21.592,5.307
0,5120,27,22.450,5.393
0,5120,28,23.287,5.372
0,5120,29,24.202,5.503
0,5120,30,24.960,5.532
