is_concurrent,pop_size,num_species,mean_ms_step_mean,speedup
0,1024,1,0.288,1.000
0,1024,2,0.549,1.772
0,1024,3,0.808,2.455
0,1024,4,1.069,3.049
0,1024,5,1.329,3.561
0,1024,6,1.583,4.006
0,1024,7,1.852,4.469
0,1024,8,2.103,4.836
0,1024,9,2.368,5.178
0,1024,10,2.631,5.511
0,1024,11,2.883,5.757
0,1024,12,3.142,6.049
0,1024,13,3.409,6.309
0,1024,14,3.664,6.510
0,1024,15,3.928,6.744
0,1024,16,4.183,6.942
0,1024,17,4.447,7.139
0,1024,18,4.698,7.279
0,1024,19,4.967,7.437
0,1024,20,5.213,7.564
0,1024,21,5.481,7.686
0,1024,22,5.740,7.788
0,1024,23,5.995,7.903
0,1024,24,6.246,8.037
0,1024,25,6.510,8.119
0,1024,26,6.754,8.241
0,1024,27,7.037,8.362
0,1024,28,7.288,8.441
0,1024,29,7.556,8.497
0,1024,30,7.789,8.525
0,1024,31,8.075,8.692
0,1024,32,8.333,8.774
0,2048,1,0.524,0.998
0,2048,2,1.020,1.871
0,2048,3,1.513,2.666
0,2048,4,2.009,3.428
0,2048,5,2.502,4.120
0,2048,6,2.991,4.747
0,2048,7,3.503,5.402
0,2048,8,3.983,5.901
0,2048,9,4.495,6.446
0,2048,10,4.979,6.991
0,2048,11,5.483,7.404
0,2048,12,5.971,7.824
0,2048,13,6.466,8.244
0,2048,14,6.965,8.623
0,2048,15,7.444,9.020
0,2048,16,7.949,9.374
0,2048,17,8.421,9.687
0,2048,18,8.948,10.039
0,2048,19,9.424,10.349
0,2048,20,9.915,10.605
0,2048,21,10.419,10.431
0,2048,22,10.926,10.723
0,2048,23,11.439,11.026
0,2048,24,11.941,11.309
0,2048,25,12.432,11.508
0,2048,26,12.940,11.761
0,2048,27,13.496,12.059
0,2048,28,14.024,12.313
0,2048,29,14.557,12.546
0,2048,30,15.089,12.778
0,2048,31,15.599,12.911
0,2048,32,16.176,13.193
0,3072,1,0.758,1.003
0,3072,2,1.492,1.908
0,3072,3,2.217,2.763
0,3072,4,2.953,3.590
0,3072,5,3.671,4.350
0,3072,6,4.412,5.110
0,3072,7,5.149,5.824
0,3072,8,5.871,6.461
0,3072,9,6.602,7.047
0,3072,10,7.339,7.662
0,3072,11,8.068,8.214
0,3072,12,8.802,8.842
0,3072,13,9.530,9.210
0,3072,14,10.264,9.847
0,3072,15,10.968,10.274
0,3072,16,11.734,10.836
0,3072,17,12.463,10.364
0,3072,18,13.239,10.721
0,3072,19,13.991,11.153
0,3072,20,14.814,11.585
0,3072,21,15.667,11.990
0,3072,22,16.430,12.363
0,3072,23,17.238,12.743
0,3072,24,18.026,13.126
0,3072,25,18.760,13.240
0,3072,26,19.667,13.544
0,3072,27,20.415,13.801
0,3072,28,21.178,14.113
0,3072,29,21.967,14.372
0,3072,30,22.746,14.794
0,3072,31,23.548,15.078
0,3072,32,24.339,15.424
0,4096,1,0.995,0.998
0,4096,2,1.965,1.930
0,4096,3,2.932,2.807
0,4096,4,3.893,3.667
0,4096,5,4.853,4.473
0,4096,6,5.831,5.195
0,4096,7,6.785,5.994
0,4096,8,7.761,6.757
0,4096,9,8.727,7.464
0,4096,10,9.703,7.981
0,4096,11,10.637,8.779
0,4096,12,11.659,8.809
0,4096,13,12.668,9.296
