is_concurrent,pop_size,num_species,mean_ms_step_mean,speedup
0,2048,1,0.054,0.999
0,2048,9,0.461,6.489
0,2048,17,0.868,9.747
0,2048,25,1.276,11.887
0,2048,33,1.709,13.005
0,2048,41,2.165,14.398
0,2048,49,2.597,15.349
0,2048,57,3.020,15.864
0,2048,65,3.443,16.194
0,2048,73,3.879,16.498
0,2048,81,4.306,16.270
0,2048,89,4.741,16.031
0,2048,97,5.173,15.599
0,2048,105,5.621,15.412
0,2048,113,6.077,15.227
0,2048,121,6.503,15.153
0,2048,129,6.926,14.630
0,2048,137,7.365,14.295
0,2048,145,7.805,14.109
0,2048,153,8.240,13.997
0,2048,161,8.699,13.990
0,2048,169,9.135,13.806
0,2048,177,9.560,13.597
0,2048,185,10.015,13.582
0,2048,193,10.437,13.498
0,2048,201,10.911,13.410
0,2048,209,11.321,13.329
0,2048,217,11.772,13.278
0,2048,225,12.193,13.208
0,2048,233,12.636,13.159
0,2048,241,13.078,13.053
0,2048,249,13.531,12.961
0,2048,257,13.958,12.935
0,4096,1,0.102,1.000
0,4096,9,0.895,7.458
0,4096,17,1.704,10.837
0,4096,25,2.552,14.489
0,4096,33,3.378,14.661
0,4096,41,4.223,16.773
0,4096,49,5.048,18.369
0,4096,57,5.881,18.328
0,4096,65,6.719,19.145
0,4096,73,7.542,19.273
0,4096,81,8.375,19.419
0,4096,89,9.216,19.568
0,4096,97,10.048,19.378
0,4096,105,10.886,19.346
0,4096,113,11.749,19.351
0,4096,121,12.560,19.048
0,4096,129,13.395,18.985
0,4096,137,14.230,18.765
0,4096,145,15.077,18.658
0,4096,153,15.912,18.612
0,4096,161,16.779,18.576
0,4096,169,17.590,18.481
0,4096,177,18.438,18.382
0,4096,185,19.274,18.366
0,4096,193,20.139,18.290
0,4096,201,20.980,18.170
0,4096,209,21.801,18.088
0,4096,217,22.630,18.052
0,4096,225,23.464,18.007
0,4096,233,24.308,17.989
0,4096,241,25.153,17.913
0,4096,249,25.989,17.865
0,4096,257,26.855,17.870
0,6144,1,0.151,1.000
0,6144,9,1.341,7.876
0,6144,17,2.598,11.625
0,6144,25,3.889,13.573
0,6144,33,5.073,15.375
0,6144,41,6.323,16.033
0,6144,49,7.566,17.152
0,6144,57,8.793,18.460
0,6144,65,10.028,18.094
0,6144,73,11.274,19.135
0,6144,81,12.511,18.875
0,6144,89,13.751,19.332
0,6144,97,15.002,19.123
0,6144,105,16.238,19.275
0,6144,113,17.492,19.009
0,6144,121,18.736,18.987
0,6144,129,19.983,19.255
0,6144,137,21.233,18.981
0,6144,145,22.487,19.034
0,6144,153,23.736,18.982
0,6144,161,25.021,18.893
0,6144,169,26.231,18.853
0,6144,177,27.519,18.902
0,6144,185,28.718,18.812
0,6144,193,29.962,18.827
0,6144,201,31.229,18.819
0,6144,209,32.489,18.736
0,6144,217,33.715,18.726
0,6144,225,34.968,18.682
0,6144,233,36.257,18.774
0,6144,241,37.525,18.700
0,6144,249,38.747,18.292
0,6144,257,39.984,18.638
0,8192,1,0.200,1.000
0,8192,9,1.789,6.871
0,8192,17,3.447,9.233
0,8192,25,5.096,12.769
0,8192,33,6.724,13.333
0,8192,41,8.372,15.531
0,8192,49,10.004,15.464
0,8192,57,11.653,16.119
0,8192,65,13.281,16.776
0,8192,73,14.928,16.818
0,8192,81,16.572,17.265
0,8192,89,18.206,17.330
0,8192,97,19.858,17.435
0,8192,105,21.562,17.559
0,8192,113,23.162,17.503
0,8192,121,24.802,17.619
0,8192,129,26.502,17.625
0,8192,137,28.081,17.559
0,8192,145,29.720,17.560
0,8192,153,31.355,17.558
0,8192,161,33.010,17.604
0,8192,169,34.659,17.626
0,8192,177,36.314,17.613
0,8192,185,37.950,17.591
0,8192,193,39.592,17.559
0,8192,201,41.315,17.640
0,8192,209,42.901,17.581
0,8192,217,44.550,17.574
0,8192,225,46.196,17.593
0,8192,233,47.842,17.566
0,8192,241,49.496,17.582
0,8192,249,51.138,17.555
0,8192,257,52.855,17.579
