is_concurrent,pop_size,num_species,mean_ms_step_mean,speedup
0,512,1,0.850,5.642
0,512,2,1.420,6.910
0,512,3,2.171,8.368
0,512,4,2.735,8.491
0,512,5,3.150,8.128
0,512,6,3.252,7.357
0,512,7,4.289,8.276
0,512,8,4.648,7.776
0,512,9,4.626,7.589
0,512,10,5.880,9.058
0,512,11,5.646,7.779
0,512,12,6.712,8.811
0,512,13,6.975,8.081
0,512,14,7.318,7.924
0,512,15,7.841,8.137
0,512,16,7.842,7.768
0,512,17,9.113,8.557
0,512,18,9.120,8.209
0,512,19,9.750,8.039
0,512,20,10.183,8.190
0,512,21,10.951,8.133
0,512,22,8.651,6.357
0,512,23,8.922,6.266
0,512,24,9.270,6.229
0,512,25,9.633,6.185
0,512,26,10.168,6.344
0,512,27,10.207,6.121
0,512,28,10.868,6.205
0,512,29,11.394,6.373
0,512,30,11.520,6.373
0,512,31,12.144,6.466
0,512,32,12.352,6.378
