is_concurrent,pop_size,num_species,mean_ms_step_mean,speedup
0,512,1,0.163,0.999
0,512,2,0.301,1.636
0,512,3,0.439,2.154
0,512,4,0.576,2.557
0,512,5,0.710,2.879
0,512,6,0.846,3.148
0,512,7,0.982,3.411
0,512,8,1.123,3.631
0,512,9,1.257,3.818
0,512,10,1.394,3.993
0,512,11,1.535,4.155
0,512,12,1.674,4.271
0,512,13,1.811,4.393
0,512,14,1.950,4.515
0,512,15,2.083,4.619
0,512,16,2.216,4.706
0,512,17,2.354,4.768
0,512,18,2.493,4.855
0,512,19,2.629,4.913
0,512,20,2.761,4.975
0,512,21,2.893,5.014
0,512,22,3.033,5.071
0,512,23,3.171,5.125
0,512,24,3.310,5.180
0,512,25,3.440,5.210
0,512,26,3.574,5.242
0,512,27,3.718,5.284
0,512,28,3.852,5.298
0,512,29,3.988,5.327
0,512,30,4.128,5.350
0,512,31,4.271,5.392
0,512,32,4.398,5.421
