is_concurrent,pop_size,num_species,mean_ms_step_mean,speedup
0,128,1,0.094,1.043
0,128,2,0.157,1.126
0,128,3,0.223,1.212
0,128,4,0.288,1.253
0,128,5,0.359,1.281
0,128,6,0.457,1.427
0,128,7,0.514,1.429
0,128,8,0.553,1.373
0,128,9,0.633,1.419
0,128,10,0.710,1.456
0,128,11,0.778,1.436
0,128,12,0.837,1.431
0,128,13,0.889,1.429
0,128,14,0.976,1.435
0,128,15,1.058,1.477
0,128,16,1.128,1.496
0,128,17,1.193,1.477
0,128,18,1.263,1.496
0,128,19,1.304,1.455
0,128,20,1.418,1.505
0,128,21,1.457,1.487
0,128,22,1.519,1.477
0,128,23,1.607,1.495
0,128,24,1.704,1.537
0,128,25,1.722,1.487
0,128,26,1.828,1.517
0,128,27,1.910,1.517
0,128,28,1.911,1.474
0,128,29,1.997,1.494
0,128,30,2.121,1.533
0,128,31,2.170,1.511
0,128,32,2.229,1.506
0,256,1,0.110,1.002
0,256,2,0.192,1.253
0,256,3,0.277,1.385
0,256,4,0.361,1.419
0,256,5,0.444,1.476
0,256,6,0.532,1.461
0,256,7,0.633,1.542
0,256,8,0.711,1.531
0,256,9,0.814,1.644
0,256,10,0.873,1.650
0,256,11,0.963,1.650
0,256,12,1.069,1.648
0,256,13,1.141,1.649
0,256,14,1.219,1.704
0,256,15,1.335,1.736
0,256,16,1.396,1.711
0,256,17,1.496,1.717
0,256,18,1.630,1.779
0,256,19,1.661,1.711
0,256,20,1.729,1.721
0,256,21,1.852,1.740
0,256,22,1.988,1.788
0,256,23,2.016,1.741
0,256,24,2.125,1.768
0,256,25,2.227,1.776
0,256,26,2.330,1.793
0,256,27,2.393,1.770
0,256,28,2.465,1.756
0,256,29,2.631,1.830
0,256,30,2.620,1.752
0,256,31,2.751,1.779
0,256,32,2.835,1.780
0,384,1,0.129,1.001
0,384,2,0.233,1.252
0,384,3,0.332,1.419
0,384,4,0.431,1.528
0,384,5,0.537,1.678
0,384,6,0.635,1.717
0,384,7,0.768,1.698
0,384,8,0.870,1.757
0,384,9,0.961,1.795
0,384,10,1.084,1.880
0,384,11,1.153,1.815
0,384,12,1.300,1.913
0,384,13,1.421,1.841
0,384,14,1.469,1.852
0,384,15,1.578,1.928
0,384,16,1.716,1.905
0,384,17,1.790,1.897
0,384,18,1.878,1.877
0,384,19,2.023,1.975
0,384,20,2.167,1.992
0,384,21,2.246,1.965
0,384,22,2.306,1.907
0,384,23,2.431,1.965
0,384,24,2.574,2.006
0,384,25,2.718,2.000
0,384,26,2.793,2.008
0,384,27,2.904,2.019
0,384,28,2.982,1.992
0,384,29,3.078,2.012
0,384,30,3.200,1.982
0,384,31,3.292,2.009
0,384,32,3.369,1.964
0,512,1,0.182,1.214
0,512,2,0.305,1.488
0,512,3,0.397,1.530
0,512,4,0.530,1.620
0,512,5,0.645,1.741
0,512,6,0.773,1.815
0,512,7,0.896,1.736
0,512,8,1.024,1.867
0,512,9,1.156,1.864
0,512,10,1.318,1.865
0,512,11,1.437,1.964
0,512,12,1.526,1.931
0,512,13,1.673,2.020
0,512,14,1.798,1.935
0,512,15,1.934,1.984
0,512,16,2.038,2.044
0,512,17,2.302,2.134
0,512,18,2.312,2.037
0,512,19,2.465,2.093
0,512,20,2.589,2.089
0,512,21,2.751,2.104
0,512,22,2.885,2.100
0,512,23,3.037,2.146
0,512,24,3.200,2.177
0,512,25,3.259,2.074
0,512,26,3.421,2.139
0,512,27,3.582,2.176
0,512,28,3.640,2.114
0,512,29,3.733,2.105
0,512,30,3.875,2.089
