is_concurrent,pop_size,num_species,mean_ms_step_mean,speedup
0,128,1,0.077,1.006
0,128,2,0.128,1.324
0,128,3,0.178,1.529
0,128,4,0.229,1.672
0,128,5,0.278,1.773
0,128,6,0.329,1.856
0,128,7,0.379,1.931
0,128,8,0.429,1.973
0,128,9,0.480,2.026
0,128,10,0.530,2.054
0,128,11,0.584,2.097
0,128,12,0.634,2.127
0,128,13,0.686,2.159
0,128,14,0.736,2.173
0,128,15,0.786,2.198
0,128,16,0.835,2.213
0,128,17,0.888,2.223
0,128,18,0.938,2.247
0,128,19,0.986,2.241
0,128,20,1.036,2.255
0,128,21,1.085,2.256
0,128,22,1.142,2.273
0,128,23,1.189,2.282
0,128,24,1.241,2.288
0,128,25,1.291,2.287
0,128,26,1.343,2.290
0,128,27,1.390,2.291
0,128,28,1.446,2.303
0,128,29,1.493,2.303
0,128,30,1.544,2.309
0,128,31,1.594,2.318
0,128,32,1.648,2.323
0,256,1,0.105,1.000
0,256,2,0.184,1.465
0,256,3,0.263,1.802
0,256,4,0.344,2.061
0,256,5,0.422,2.248
0,256,6,0.499,2.408
0,256,7,0.578,2.554
0,256,8,0.659,2.664
0,256,9,0.736,2.749
0,256,10,0.816,2.837
0,256,11,0.900,2.917
0,256,12,0.975,2.964
0,256,13,1.052,3.016
0,256,14,1.131,3.067
0,256,15,1.215,3.125
0,256,16,1.295,3.184
0,256,17,1.370,3.185
0,256,18,1.449,3.215
0,256,19,1.529,3.248
0,256,20,1.604,3.265
0,256,21,1.686,3.295
0,256,22,1.764,3.309
0,256,23,1.846,3.328
0,256,24,1.923,3.358
0,256,25,2.000,3.359
0,256,26,2.084,3.372
0,256,27,2.160,3.383
0,256,28,2.237,3.386
0,256,29,2.317,3.401
0,256,30,2.394,3.413
0,256,31,2.476,3.419
0,256,32,2.558,3.431
0,384,1,0.135,1.000
0,384,2,0.244,1.546
0,384,3,0.354,1.999
0,384,4,0.461,2.333
0,384,5,0.568,2.599
0,384,6,0.679,2.834
0,384,7,0.785,3.015
0,384,8,0.891,3.156
0,384,9,1.002,3.321
0,384,10,1.113,3.479
0,384,11,1.224,3.585
0,384,12,1.333,3.682
0,384,13,1.440,3.765
0,384,14,1.548,3.847
0,384,15,1.657,3.921
0,384,16,1.764,3.979
0,384,17,1.873,4.022
0,384,18,1.977,4.071
0,384,19,2.089,4.120
0,384,20,2.196,4.163
0,384,21,2.303,4.206
0,384,22,2.408,4.223
0,384,23,2.522,4.271
0,384,24,2.625,4.293
0,384,25,2.740,4.325
0,384,26,2.842,4.335
0,384,27,2.960,4.356
0,384,28,3.062,4.366
0,384,29,3.169,4.397
0,384,30,3.281,4.423
0,384,31,3.384,4.434
0,384,32,3.495,4.461
0,512,1,0.164,0.986
0,512,2,0.300,1.607
0,512,3,0.438,2.121
0,512,4,0.574,2.550
0,512,5,0.710,2.875
0,512,6,0.848,3.176
0,512,7,0.981,3.415
0,512,8,1.119,3.640
0,512,9,1.259,3.838
0,512,10,1.395,4.002
