is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,100000,1,0.0488399
0,0,100000,2,0.0976543
0,0,100000,3,0.146374
0,0,100000,4,0.195232
0,0,100000,5,0.244054
0,0,100000,6,0.292912
0,0,100000,7,0.341898
0,0,100000,8,0.390701
0,1,100000,1,0.0488214
0,1,100000,2,0.0976503
0,1,100000,3,0.14637
0,1,100000,4,0.195295
0,1,100000,5,0.244094
0,1,100000,6,0.292962
0,1,100000,7,0.341929
0,1,100000,8,0.390754
0,2,100000,1,0.0488474
0,2,100000,2,0.09767
0,2,100000,3,0.146431
0,2,100000,4,0.195294
0,2,100000,5,0.24408
0,2,100000,6,0.292991
0,2,100000,7,0.341882
0,2,100000,8,0.390761
1,0,100000,1,0.048837
1,0,100000,2,0.0875774
1,0,100000,3,0.124917
1,0,100000,4,0.14457
1,0,100000,5,0.190472
1,0,100000,6,0.216743
1,0,100000,7,0.260666
1,0,100000,8,0.284473
1,1,100000,1,0.0488346
1,1,100000,2,0.0876363
1,1,100000,3,0.124905
1,1,100000,4,0.144524
1,1,100000,5,0.190444
1,1,100000,6,0.216525
1,1,100000,7,0.260771
1,1,100000,8,0.284717
1,2,100000,1,0.0488205
1,2,100000,2,0.0876079
1,2,100000,3,0.124874
1,2,100000,4,0.144528
1,2,100000,5,0.190456
1,2,100000,6,0.216506
1,2,100000,7,0.260654
1,2,100000,8,0.284509
