is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,2048,1,0.00101105
0,0,2048,9,0.00782034
0,0,2048,17,0.0147406
0,0,2048,25,0.0216981
0,0,2048,33,0.0286366
0,0,2048,41,0.0355163
0,0,2048,49,0.0424351
0,0,2048,57,0.0494621
0,0,2048,65,0.056396
0,0,2048,73,0.0636251
0,0,2048,81,0.0705994
0,0,2048,89,0.0779816
0,0,2048,97,0.0850743
0,0,2048,105,0.0922834
0,0,2048,113,0.0995578
0,0,2048,121,0.106615
0,0,4096,1,0.00169139
0,0,4096,9,0.0149069
0,0,4096,17,0.0281577
0,0,4096,25,0.0413693
0,0,4096,33,0.0545868
0,0,4096,41,0.0677797
0,0,4096,49,0.0810117
0,0,4096,57,0.0942323
0,0,4096,65,0.107511
0,0,4096,73,0.120823
0,0,4096,81,0.134117
0,0,4096,89,0.147513
0,0,4096,97,0.160807
0,0,4096,105,0.174286
0,0,4096,113,0.187581
0,0,4096,121,0.200864
0,0,6144,1,0.00248567
0,0,6144,9,0.0220367
0,0,6144,17,0.0416278
0,0,6144,25,0.0611667
0,0,6144,33,0.0808148
0,0,6144,41,0.100332
0,0,6144,49,0.120143
0,0,6144,57,0.139778
0,0,6144,65,0.159401
0,0,6144,73,0.179077
0,0,6144,81,0.198854
0,0,6144,89,0.218551
0,0,6144,97,0.23833
0,0,6144,105,0.258343
0,0,6144,113,0.27802
0,0,6144,121,0.297758
0,0,8192,1,0.00324826
0,0,8192,9,0.0290167
0,0,8192,17,0.0547743
0,0,8192,25,0.080503
0,0,8192,33,0.106392
0,0,8192,41,0.132292
0,0,8192,49,0.158337
0,0,8192,57,0.185138
0,0,8192,65,0.212356
0,0,8192,73,0.239901
0,0,8192,81,0.266756
0,0,8192,89,0.29357
0,0,8192,97,0.320257
0,0,8192,105,0.346616
0,0,8192,113,0.373208
0,0,8192,121,0.399679
0,1,2048,1,0.000898447
0,1,2048,9,0.00783004
0,1,2048,17,0.0147449
0,1,2048,25,0.0217047
0,1,2048,33,0.0286525
0,1,2048,41,0.035563
0,1,2048,49,0.0431198
0,1,2048,57,0.0501269
0,1,2048,65,0.0570398
0,1,2048,73,0.0642366
0,1,2048,81,0.0712622
0,1,2048,89,0.0786518
0,1,2048,97,0.0857983
0,1,2048,105,0.0931201
0,1,2048,113,0.100407
0,1,2048,121,0.107293
0,1,4096,1,0.00169178
0,1,4096,9,0.0149094
0,1,4096,17,0.0281485
0,1,4096,25,0.0413581
0,1,4096,33,0.054611
0,1,4096,41,0.0677939
0,1,4096,49,0.0810049
0,1,4096,57,0.0942266
0,1,4096,65,0.107508
0,1,4096,73,0.120789
0,1,4096,81,0.134136
0,1,4096,89,0.147512
0,1,4096,97,0.160773
0,1,4096,105,0.174304
0,1,4096,113,0.187588
0,1,4096,121,0.200932
0,1,6144,1,0.00248459
0,1,6144,9,0.0220379
0,1,6144,17,0.0415995
0,1,6144,25,0.0611603
0,1,6144,33,0.0808356
0,1,6144,41,0.100438
0,1,6144,49,0.120128
0,1,6144,57,0.139777
0,1,6144,65,0.159361
0,1,6144,73,0.179075
0,1,6144,81,0.198863
0,1,6144,89,0.218558
0,1,6144,97,0.238355
0,1,6144,105,0.258241
0,1,6144,113,0.278193
0,1,6144,121,0.297706
0,1,8192,1,0.00324599
0,1,8192,9,0.0290193
0,1,8192,17,0.0547821
0,1,8192,25,0.0805543
0,1,8192,33,0.106332
0,1,8192,41,0.13225
0,1,8192,49,0.15852
0,1,8192,57,0.185258
0,1,8192,65,0.212451
0,1,8192,73,0.23994
0,1,8192,81,0.266709
0,1,8192,89,0.293565
0,1,8192,97,0.320058
0,1,8192,105,0.346745
0,1,8192,113,0.373293
0,1,8192,121,0.399573
0,2,2048,1,0.000900065
0,2,2048,9,0.00783331
0,2,2048,17,0.0147497
0,2,2048,25,0.0216898
0,2,2048,33,0.0286327
0,2,2048,41,0.0355234
0,2,2048,49,0.0424515
0,2,2048,57,0.0494065
0,2,2048,65,0.0564694
0,2,2048,73,0.0636515
0,2,2048,81,0.0705902
0,2,2048,89,0.0780375
0,2,2048,97,0.0851418
0,2,2048,105,0.0922665
0,2,2048,113,0.0997746
0,2,2048,121,0.106709
0,2,4096,1,0.00169026
0,2,4096,9,0.0149108
0,2,4096,17,0.0281489
0,2,4096,25,0.041373
0,2,4096,33,0.0545715
0,2,4096,41,0.06779
0,2,4096,49,0.08104
0,2,4096,57,0.0942384
0,2,4096,65,0.107541
0,2,4096,73,0.12083
0,2,4096,81,0.134141
0,2,4096,89,0.147542
0,2,4096,97,0.160753
0,2,4096,105,0.17411
0,2,4096,113,0.187525
0,2,4096,121,0.201021
0,2,6144,1,0.00248385
0,2,6144,9,0.0220391
0,2,6144,17,0.0416023
0,2,6144,25,0.0611691
0,2,6144,33,0.0808288
0,2,6144,41,0.100321
0,2,6144,49,0.120134
0,2,6144,57,0.139778
0,2,6144,65,0.159321
0,2,6144,73,0.179028
0,2,6144,81,0.198852
0,2,6144,89,0.21854
0,2,6144,97,0.238561
0,2,6144,105,0.258138
0,2,6144,113,0.278127
0,2,6144,121,0.299569
0,2,8192,1,0.00324924
0,2,8192,9,0.0290295
0,2,8192,17,0.0548418
0,2,8192,25,0.0805425
0,2,8192,33,0.106312
0,2,8192,41,0.132321
0,2,8192,49,0.158423
0,2,8192,57,0.185232
0,2,8192,65,0.212457
0,2,8192,73,0.239952
0,2,8192,81,0.266775
0,2,8192,89,0.293582
0,2,8192,97,0.320296
0,2,8192,105,0.346633
0,2,8192,113,0.373205
0,2,8192,121,0.399673
1,0,2048,1,0.000897792
1,0,2048,9,0.00168813
1,0,2048,17,0.00247811
1,0,2048,25,0.0032985
1,0,2048,33,0.0042996
1,0,2048,41,0.00509523
1,0,2048,49,0.0059782
1,0,2048,57,0.00718277
1,0,2048,65,0.00799621
1,0,2048,73,0.00891096
1,0,2048,81,0.00972472
1,0,2048,89,0.0105758
1,0,2048,97,0.0115435
1,0,2048,105,0.0124855
1,0,2048,113,0.0136125
1,0,2048,121,0.0146812
1,0,4096,1,0.00169277
1,0,4096,9,0.00254775
1,0,4096,17,0.00387702
1,0,4096,25,0.00475366
1,0,4096,33,0.00669552
1,0,4096,41,0.0077454
1,0,4096,49,0.00893288
1,0,4096,57,0.0101219
1,0,4096,65,0.0120182
1,0,4096,73,0.0133543
1,0,4096,81,0.0144657
1,0,4096,89,0.015734
1,0,4096,97,0.0177068
1,0,4096,105,0.018994
1,0,4096,113,0.0203989
1,0,4096,121,0.0216456
1,0,6144,1,0.00248493
1,0,6144,9,0.00346306
1,0,6144,17,0.00519348
1,0,6144,25,0.00810987
1,0,6144,33,0.00978144
1,0,6144,41,0.0111987
1,0,6144,49,0.0139563
1,0,6144,57,0.0160232
1,0,6144,65,0.0182998
1,0,6144,73,0.0199903
1,0,6144,81,0.0222298
1,0,6144,89,0.0248607
1,0,6144,97,0.0263838
1,0,6144,105,0.0286711
1,0,6144,113,0.0311225
1,0,6144,121,0.0335393
1,0,8192,1,0.00324504
1,0,8192,9,0.00520317
1,0,8192,17,0.00868301
1,0,8192,25,0.0107198
1,0,8192,33,0.0122982
1,0,8192,41,0.0157493
1,0,8192,49,0.0185225
1,0,8192,57,0.0217644
1,0,8192,65,0.024545
1,0,8192,73,0.02777
1,0,8192,81,0.0305026
1,0,8192,89,0.0338345
1,0,8192,97,0.036672
1,0,8192,105,0.039896
1,0,8192,113,0.0429061
1,0,8192,121,0.0460908
1,1,2048,1,0.000900004
1,1,2048,9,0.00169081
1,1,2048,17,0.00248793
1,1,2048,25,0.0032812
1,1,2048,33,0.00430049
1,1,2048,41,0.00512476
1,1,2048,49,0.00666019
1,1,2048,57,0.00734836
1,1,2048,65,0.00810392
1,1,2048,73,0.00914208
1,1,2048,81,0.00971769
1,1,2048,89,0.0106405
1,1,2048,97,0.0114667
1,1,2048,105,0.0125301
1,1,2048,113,0.0138731
1,1,2048,121,0.0146971
1,1,4096,1,0.00169167
1,1,4096,9,0.00253675
1,1,4096,17,0.00386991
1,1,4096,25,0.00475837
1,1,4096,33,0.00669168
1,1,4096,41,0.00779771
1,1,4096,49,0.00899611
1,1,4096,57,0.0100767
1,1,4096,65,0.0120011
1,1,4096,73,0.0133363
1,1,4096,81,0.0145602
1,1,4096,89,0.0157624
1,1,4096,97,0.0176702
1,1,4096,105,0.018891
1,1,4096,113,0.0203934
1,1,4096,121,0.0216113
1,1,6144,1,0.00248471
1,1,6144,9,0.00347461
1,1,6144,17,0.00519281
1,1,6144,25,0.00810699
1,1,6144,33,0.00982036
1,1,6144,41,0.0112476
1,1,6144,49,0.0139793
1,1,6144,57,0.0159037
1,1,6144,65,0.0183948
1,1,6144,73,0.0200698
1,1,6144,81,0.0223584
1,1,6144,89,0.0249003
1,1,6144,97,0.026396
1,1,6144,105,0.0286764
1,1,6144,113,0.0310825
1,1,6144,121,0.0334087
1,1,8192,1,0.00324783
1,1,8192,9,0.00521902
1,1,8192,17,0.00867394
1,1,8192,25,0.0107268
1,1,8192,33,0.0123084
1,1,8192,41,0.0157974
1,1,8192,49,0.0184472
1,1,8192,57,0.0217596
1,1,8192,65,0.0244787
1,1,8192,73,0.0277774
1,1,8192,81,0.0306172
1,1,8192,89,0.0338315
1,1,8192,97,0.0368348
1,1,8192,105,0.0399753
1,1,8192,113,0.0429065
1,1,8192,121,0.0459617
1,2,2048,1,0.000897444
1,2,2048,9,0.00168855
1,2,2048,17,0.00250779
1,2,2048,25,0.00328037
1,2,2048,33,0.00430259
1,2,2048,41,0.00511926
1,2,2048,49,0.00596927
1,2,2048,57,0.00718245
1,2,2048,65,0.0080127
1,2,2048,73,0.0088979
1,2,2048,81,0.00974499
1,2,2048,89,0.0106109
1,2,2048,97,0.0114817
1,2,2048,105,0.0124351
1,2,2048,113,0.0136396
1,2,2048,121,0.014746
1,2,4096,1,0.00169133
1,2,4096,9,0.00254289
1,2,4096,17,0.00387771
1,2,4096,25,0.00474863
1,2,4096,33,0.00672885
1,2,4096,41,0.00778301
1,2,4096,49,0.00899373
1,2,4096,57,0.0101094
1,2,4096,65,0.0119395
1,2,4096,73,0.013351
1,2,4096,81,0.0145763
1,2,4096,89,0.0157984
1,2,4096,97,0.0177051
1,2,4096,105,0.01885
1,2,4096,113,0.020432
1,2,4096,121,0.0216443
1,2,6144,1,0.00248411
1,2,6144,9,0.00347784
1,2,6144,17,0.00518528
1,2,6144,25,0.00811132
