is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,2048,1,0.000750766
0,0,2048,9,0.00649259
0,0,2048,17,0.0122358
0,0,2048,25,0.0179914
0,0,2048,33,0.0237414
0,0,2048,41,0.0294841
0,0,2048,49,0.0352504
0,0,2048,57,0.041001
0,0,2048,65,0.0467159
0,0,2048,73,0.0524554
0,0,2048,81,0.0582022
0,0,2048,89,0.0639532
0,0,2048,97,0.0697362
0,0,2048,105,0.0754899
0,0,2048,113,0.0812556
0,0,2048,121,0.0871346
0,0,4096,1,0.00145431
0,0,4096,9,0.0128232
0,0,4096,17,0.0242244
0,0,4096,25,0.035596
0,0,4096,33,0.0469864
0,0,4096,41,0.0583713
0,0,4096,49,0.06976
0,0,4096,57,0.081177
0,0,4096,65,0.0926677
0,0,4096,73,0.104101
0,0,4096,81,0.115791
0,0,4096,89,0.127652
0,0,4096,97,0.139473
0,0,4096,105,0.151644
0,0,4096,113,0.163553
0,0,4096,121,0.175315
0,0,6144,1,0.00215422
0,0,6144,9,0.0192016
0,0,6144,17,0.0362554
0,0,6144,25,0.0533237
0,0,6144,33,0.0703764
0,0,6144,41,0.0873975
0,0,6144,49,0.104566
0,0,6144,57,0.121894
0,0,6144,65,0.140301
0,0,6144,73,0.159392
0,0,6144,81,0.178845
0,0,6144,89,0.198486
0,0,6144,97,0.217691
0,0,6144,105,0.236483
0,0,6144,113,0.25529
0,0,6144,121,0.274019
0,0,8192,1,0.00286253
0,0,8192,9,0.0254971
0,0,8192,17,0.0481529
0,0,8192,25,0.0708202
0,0,8192,33,0.0934997
0,0,8192,41,0.116446
0,0,8192,49,0.139579
0,0,8192,57,0.163033
0,0,8192,65,0.18663
0,0,8192,73,0.209702
0,0,8192,81,0.232561
0,0,8192,89,0.255562
0,0,8192,97,0.27865
0,0,8192,105,0.301479
0,0,8192,113,0.32437
0,0,8192,121,0.347233
0,1,2048,1,0.000750971
0,1,2048,9,0.00649212
0,1,2048,17,0.0122432
0,1,2048,25,0.0179982
0,1,2048,33,0.0237403
0,1,2048,41,0.0294818
0,1,2048,49,0.0359679
0,1,2048,57,0.0417236
0,1,2048,65,0.0474518
0,1,2048,73,0.0532128
0,1,2048,81,0.0589423
0,1,2048,89,0.0646737
0,1,2048,97,0.070456
0,1,2048,105,0.0761961
0,1,2048,113,0.0820046
0,1,2048,121,0.0879879
0,1,4096,1,0.00145664
0,1,4096,9,0.012822
0,1,4096,17,0.0242243
0,1,4096,25,0.0355976
0,1,4096,33,0.0469862
0,1,4096,41,0.0583726
0,1,4096,49,0.0697649
0,1,4096,57,0.0811809
0,1,4096,65,0.0926774
0,1,4096,73,0.104111
0,1,4096,81,0.115824
0,1,4096,89,0.127649
0,1,4096,97,0.139492
0,1,4096,105,0.151633
0,1,4096,113,0.163439
0,1,4096,121,0.175465
0,1,6144,1,0.00215384
0,1,6144,9,0.0192052
0,1,6144,17,0.0362559
0,1,6144,25,0.0533194
0,1,6144,33,0.070323
0,1,6144,41,0.0873949
0,1,6144,49,0.104564
0,1,6144,57,0.12191
0,1,6144,65,0.14016
0,1,6144,73,0.159406
0,1,6144,81,0.178681
0,1,6144,89,0.198257
0,1,6144,97,0.217672
0,1,6144,105,0.236475
0,1,6144,113,0.255394
0,1,6144,121,0.274053
0,1,8192,1,0.00286172
0,1,8192,9,0.0255017
0,1,8192,17,0.0481438
0,1,8192,25,0.0708197
0,1,8192,33,0.093509
0,1,8192,41,0.116458
