is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,512,1,0.000287669
0,0,512,2,0.00052033
0,0,512,3,0.000763276
0,0,512,4,0.00101255
0,0,512,5,0.00126293
0,0,512,6,0.0015028
0,0,512,7,0.00176928
0,0,512,8,0.00200061
0,0,512,9,0.00225115
0,0,512,10,0.00248906
0,0,512,11,0.00273222
0,0,512,12,0.00297492
0,0,512,13,0.00321935
0,0,512,14,0.003464
0,0,512,15,0.00371455
0,0,512,16,0.00394875
0,0,512,17,0.00420116
0,0,512,18,0.00444911
0,0,512,19,0.00469469
0,0,512,20,0.00494219
0,0,512,21,0.00517986
0,0,512,22,0.00542472
0,0,512,23,0.00568102
0,0,512,24,0.00590954
0,0,512,25,0.00618425
0,0,512,26,0.00642011
0,0,512,27,0.00666026
0,0,512,28,0.00691156
0,0,512,29,0.00715501
0,0,512,30,0.00739258
0,0,512,31,0.00764096
0,0,512,32,0.00788016
0,1,512,1,0.00027169
0,1,512,2,0.000511265
0,1,512,3,0.000761436
0,1,512,4,0.00101132
0,1,512,5,0.00126017
0,1,512,6,0.0015
0,1,512,7,0.00175858
0,1,512,8,0.00200135
0,1,512,9,0.00224904
0,1,512,10,0.002478
0,1,512,11,0.00272783
0,1,512,12,0.00296916
0,1,512,13,0.00322186
0,1,512,14,0.00346146
0,1,512,15,0.0037115
0,1,512,16,0.00395371
0,1,512,17,0.0041932
0,1,512,18,0.00444793
0,1,512,19,0.00469075
0,1,512,20,0.00493761
0,1,512,21,0.00518937
0,1,512,22,0.00542901
0,1,512,23,0.00567707
0,1,512,24,0.00591114
0,1,512,25,0.0061764
0,1,512,26,0.00641182
0,1,512,27,0.00665858
0,1,512,28,0.006914
0,1,512,29,0.00715503
0,1,512,30,0.00739195
0,1,512,31,0.00764192
0,1,512,32,0.00788537
0,2,512,1,0.00027264
0,2,512,2,0.000520104
0,2,512,3,0.000764215
0,2,512,4,0.00101156
0,2,512,5,0.00126168
0,2,512,6,0.00149909
0,2,512,7,0.0017591
0,2,512,8,0.00200192
0,2,512,9,0.00224847
0,2,512,10,0.00248307
0,2,512,11,0.00272466
0,2,512,12,0.00297608
0,2,512,13,0.00321978
0,2,512,14,0.00346488
0,2,512,15,0.00371012
0,2,512,16,0.00395361
0,2,512,17,0.00419624
0,2,512,18,0.0044415
0,2,512,19,0.00469428
0,2,512,20,0.00493416
0,2,512,21,0.00518597
0,2,512,22,0.00542373
0,2,512,23,0.00568512
0,2,512,24,0.00591583
0,2,512,25,0.00617712
0,2,512,26,0.0064149
0,2,512,27,0.00666509
0,2,512,28,0.00691015
0,2,512,29,0.00713746
0,2,512,30,0.0073866
0,2,512,31,0.00764159
0,2,512,32,0.00788123
1,0,512,1,0.000268443
1,0,512,2,0.000326222
1,0,512,3,0.000382678
1,0,512,4,0.000450836
1,0,512,5,0.000509898
1,0,512,6,0.000569493
1,0,512,7,0.000637327
1,0,512,8,0.000702251
1,0,512,9,0.000767023
1,0,512,10,0.000826803
1,0,512,11,0.000895192
1,0,512,12,0.000961499
1,0,512,13,0.00102486
1,0,512,14,0.00110515
1,0,512,15,0.0011605
1,0,512,16,0.00122737
1,0,512,17,0.00130947
1,0,512,18,0.00134963
1,0,512,19,0.00141907
1,0,512,20,0.00147909
1,0,512,21,0.00157737
1,0,512,22,0.00164673
1,0,512,23,0.00170301
1,0,512,24,0.00173282
1,0,512,25,0.00185625
1,0,512,26,0.00189549
1,0,512,27,0.0019806
1,0,512,28,0.00201095
1,0,512,29,0.00208709
1,0,512,30,0.00213952
1,0,512,31,0.00221104
1,0,512,32,0.00227973
1,1,512,1,0.000272852
1,1,512,2,0.000325844
1,1,512,3,0.000383847
1,1,512,4,0.000440881
1,1,512,5,0.00051275
1,1,512,6,0.000578712
1,1,512,7,0.000652004
1,1,512,8,0.000704888
1,1,512,9,0.00078324
1,1,512,10,0.000833897
1,1,512,11,0.000910277
1,1,512,12,0.000973035
1,1,512,13,0.00104784
1,1,512,14,0.0011113
1,1,512,15,0.00118072
1,1,512,16,0.00124221
1,1,512,17,0.00130313
1,1,512,18,0.00137312
1,1,512,19,0.00142212
1,1,512,20,0.00150607
1,1,512,21,0.00156976
1,1,512,22,0.00161086
1,1,512,23,0.00167703
1,1,512,24,0.00176618
1,1,512,25,0.00185699
1,1,512,26,0.00191145
1,1,512,27,0.00195501
1,1,512,28,0.00201485
1,1,512,29,0.00209938
1,1,512,30,0.00217504
1,1,512,31,0.00225042
1,1,512,32,0.00231417
1,2,512,1,0.000269496
1,2,512,2,0.000326045
1,2,512,3,0.000388336
1,2,512,4,0.000446725
1,2,512,5,0.000508883
1,2,512,6,0.000566411
1,2,512,7,0.000642096
1,2,512,8,0.000701743
1,2,512,9,0.000779769
1,2,512,10,0.000831025
1,2,512,11,0.000894707
1,2,512,12,0.000966541
1,2,512,13,0.00104616
1,2,512,14,0.00109024
1,2,512,15,0.00116986
1,2,512,16,0.00124153
1,2,512,17,0.00128727
1,2,512,18,0.00136066
1,2,512,19,0.00142386
1,2,512,20,0.00151019
1,2,512,21,0.00155776
1,2,512,22,0.00161039
1,2,512,23,0.00169473
1,2,512,24,0.0017711
1,2,512,25,0.00180975
1,2,512,26,0.00190727
1,2,512,27,0.00196777
1,2,512,28,0.00202388
1,2,512,29,0.00207414
1,2,512,30,0.00214145
1,2,512,31,0.00221655
1,2,512,32,0.00229966
