is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,512,1,0.000210841
0,0,512,2,0.000375716
0,0,512,3,0.000551796
0,0,512,4,0.000725655
0,0,512,5,0.000903677
0,0,512,6,0.00108002
0,0,512,7,0.0012542
0,0,512,8,0.00143265
0,0,512,9,0.00160733
0,0,512,10,0.00178836
0,0,512,11,0.00196607
0,0,512,12,0.00214255
0,0,512,13,0.0023211
0,0,512,14,0.00249722
0,0,512,15,0.00267433
0,0,512,16,0.00285403
0,0,512,17,0.00302841
0,0,512,18,0.00320693
0,0,512,19,0.00338175
0,0,512,20,0.00355858
0,0,512,21,0.00373639
0,0,512,22,0.00394312
0,0,512,23,0.0040881
0,0,512,24,0.00426194
0,0,512,25,0.00444282
0,0,512,26,0.00462539
0,0,512,27,0.00480212
0,0,512,28,0.00497617
0,0,512,29,0.00515299
0,0,512,30,0.00532941
0,0,512,31,0.005507
0,0,512,32,0.0056923
0,1,512,1,0.000199181
0,1,512,2,0.000374574
0,1,512,3,0.000550755
0,1,512,4,0.00072609
0,1,512,5,0.000903495
0,1,512,6,0.00107833
0,1,512,7,0.00125704
0,1,512,8,0.00143565
0,1,512,9,0.00161046
0,1,512,10,0.00178882
0,1,512,11,0.00196522
0,1,512,12,0.0021421
0,1,512,13,0.00231949
0,1,512,14,0.00249826
0,1,512,15,0.00267548
0,1,512,16,0.00285416
0,1,512,17,0.00302798
0,1,512,18,0.00320614
0,1,512,19,0.003382
0,1,512,20,0.0035593
0,1,512,21,0.00373364
0,1,512,22,0.00390659
0,1,512,23,0.00409279
0,1,512,24,0.00426606
0,1,512,25,0.00444106
0,1,512,26,0.00462643
0,1,512,27,0.0048018
0,1,512,28,0.0049762
0,1,512,29,0.00515713
0,1,512,30,0.00533268
0,1,512,31,0.00550979
0,1,512,32,0.00568761
0,2,512,1,0.000198911
0,2,512,2,0.000376145
0,2,512,3,0.000551861
0,2,512,4,0.000728328
0,2,512,5,0.000902025
0,2,512,6,0.00107798
0,2,512,7,0.00125725
0,2,512,8,0.0014326
0,2,512,9,0.00161178
0,2,512,10,0.00178951
0,2,512,11,0.0019659
0,2,512,12,0.00214316
0,2,512,13,0.00231954
0,2,512,14,0.00249456
0,2,512,15,0.00267331
0,2,512,16,0.00285309
0,2,512,17,0.00303047
0,2,512,18,0.00320825
0,2,512,19,0.00338276
0,2,512,20,0.00356011
0,2,512,21,0.0037382
0,2,512,22,0.00391538
0,2,512,23,0.00409408
0,2,512,24,0.00426502
0,2,512,25,0.00444463
0,2,512,26,0.00462498
0,2,512,27,0.00479722
0,2,512,28,0.00497417
0,2,512,29,0.0051545
0,2,512,30,0.00533263
0,2,512,31,0.00550757
0,2,512,32,0.00568627
1,0,512,1,0.000199118
1,0,512,2,0.000213373
1,0,512,3,0.00022676
1,0,512,4,0.000244391
1,0,512,5,0.000258878
1,0,512,6,0.00027509
1,0,512,7,0.000286971
1,0,512,8,0.000304128
1,0,512,9,0.000320966
1,0,512,10,0.000336799
1,0,512,11,0.000361157
1,0,512,12,0.000373539
1,0,512,13,0.000390626
1,0,512,14,0.000403965
1,0,512,15,0.000419265
1,0,512,16,0.000435496
1,0,512,17,0.000455692
1,0,512,18,0.000477603
1,0,512,19,0.00049467
1,0,512,20,0.000511085
1,0,512,21,0.000516335
1,0,512,22,0.000541374
1,0,512,23,0.000559889
1,0,512,24,0.000560207
1,0,512,25,0.000580098
1,0,512,26,0.000594438
1,0,512,27,0.000615857
1,0,512,28,0.000628016
1,0,512,29,0.000644113
1,0,512,30,0.000661279
1,0,512,31,0.000693319
1,0,512,32,0.000696532
1,1,512,1,0.000199492
1,1,512,2,0.000213301
1,1,512,3,0.000226057
1,1,512,4,0.000242687
1,1,512,5,0.000261476
1,1,512,6,0.000274791
1,1,512,7,0.000291133
1,1,512,8,0.000301943
1,1,512,9,0.000319826
1,1,512,10,0.000335754
1,1,512,11,0.000358039
1,1,512,12,0.000373251
1,1,512,13,0.000396086
1,1,512,14,0.00040506
1,1,512,15,0.000418808
1,1,512,16,0.000433638
1,1,512,17,0.000459543
1,1,512,18,0.000469244
1,1,512,19,0.000491945
1,1,512,20,0.000499121
1,1,512,21,0.000516246
1,1,512,22,0.000537905
1,1,512,23,0.000545962
1,1,512,24,0.000562735
1,1,512,25,0.000581622
1,1,512,26,0.000595307
1,1,512,27,0.000619148
1,1,512,28,0.000644473
1,1,512,29,0.000643602
1,1,512,30,0.000656311
1,1,512,31,0.000684836
1,1,512,32,0.000692581
1,2,512,1,0.00019946
1,2,512,2,0.000211938
1,2,512,3,0.000225047
1,2,512,4,0.000245998
1,2,512,5,0.000259079
1,2,512,6,0.000274
1,2,512,7,0.000287667
1,2,512,8,0.000303769
1,2,512,9,0.000320101
1,2,512,10,0.000336033
1,2,512,11,0.000359705
1,2,512,12,0.000373708
1,2,512,13,0.000391862
1,2,512,14,0.000410428
1,2,512,15,0.000420478
1,2,512,16,0.000437666
1,2,512,17,0.000457586
1,2,512,18,0.000463084
1,2,512,19,0.000483895
1,2,512,20,0.000498656
1,2,512,21,0.000513632
1,2,512,22,0.000543005
1,2,512,23,0.000545456
1,2,512,24,0.000568629
1,2,512,25,0.000577799
1,2,512,26,0.000607915
1,2,512,27,0.000625874
1,2,512,28,0.000627645
1,2,512,29,0.000644712
1,2,512,30,0.000670859
1,2,512,31,0.000690915
1,2,512,32,0.000708007
