is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,128,1,7.71604e-05
0,0,128,2,0.000131702
0,0,128,3,0.000186014
0,0,128,4,0.000239443
0,0,128,5,0.000295282
0,0,128,6,0.000345935
0,0,128,7,0.00040155
0,0,128,8,0.000457188
0,0,128,9,0.000508937
0,0,128,10,0.000565733
0,0,128,11,0.000619924
0,0,128,12,0.000676206
0,0,128,13,0.0007284
0,0,128,14,0.000776328
0,0,128,15,0.000833753
0,0,128,16,0.000890152
0,0,128,17,0.000945449
0,0,128,18,0.00100122
0,0,128,19,0.00105663
0,0,128,20,0.00111467
0,0,128,21,0.00116945
0,0,128,22,0.00121388
0,0,128,23,0.00128003
0,0,128,24,0.00133202
0,0,128,25,0.00138576
0,0,128,26,0.00144473
0,0,128,27,0.00150021
0,0,128,28,0.00155378
0,0,128,29,0.00160864
0,0,128,30,0.00166815
0,0,128,31,0.00172142
0,0,128,32,0.00178236
0,0,256,1,0.000113414
0,0,256,2,0.000205508
0,0,256,3,0.000294523
0,0,256,4,0.000386748
0,0,256,5,0.000478213
0,0,256,6,0.000568863
0,0,256,7,0.000660548
0,0,256,8,0.00075172
0,0,256,9,0.000840966
0,0,256,10,0.000932113
0,0,256,11,0.0010258
0,0,256,12,0.00111544
0,0,256,13,0.0012117
0,0,256,14,0.00130128
0,0,256,15,0.0013956
0,0,256,16,0.00148563
0,0,256,17,0.00157888
0,0,256,18,0.0016708
0,0,256,19,0.00176523
0,0,256,20,0.00185625
0,0,256,21,0.00194684
0,0,256,22,0.00203842
0,0,256,23,0.00212855
0,0,256,24,0.00221813
0,0,256,25,0.00231174
0,0,256,26,0.00240685
0,0,256,27,0.0025023
0,0,256,28,0.00259291
0,0,256,29,0.00268303
0,0,256,30,0.00278042
0,0,256,31,0.00286585
0,0,256,32,0.00296148
0,0,384,1,0.000155001
0,0,384,2,0.000287355
0,0,384,3,0.000417331
0,0,384,4,0.000550136
0,0,384,5,0.000679577
0,0,384,6,0.000812047
