is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,100000,1,0.0473774
0,0,100000,2,0.0946896
0,0,100000,3,0.142058
0,0,100000,4,0.189875
0,0,100000,5,0.237426
0,0,100000,6,0.285002
0,0,100000,7,0.332545
0,0,100000,8,0.380134
0,1,100000,1,0.0474552
0,1,100000,2,0.0948742
0,1,100000,3,0.142337
0,1,100000,4,0.189865
0,1,100000,5,0.237459
0,1,100000,6,0.285068
0,1,100000,7,0.332627
0,1,100000,8,0.38019
0,2,100000,1,0.0474657
0,2,100000,2,0.0948841
0,2,100000,3,0.142374
0,2,100000,4,0.189925
0,2,100000,5,0.237445
0,2,100000,6,0.285041
0,2,100000,7,0.332554
0,2,100000,8,0.380161
1,0,100000,1,0.0474724
1,0,100000,2,0.0948632
1,0,100000,3,0.142281
1,0,100000,4,0.189801
1,0,100000,5,0.237319
1,0,100000,6,0.284796
1,0,100000,7,0.33234
1,0,100000,8,0.379969
1,1,100000,1,0.0474577
1,1,100000,2,0.0948411
1,1,100000,3,0.142282
1,1,100000,4,0.189786
1,1,100000,5,0.237335
1,1,100000,6,0.284899
1,1,100000,7,0.332406
1,1,100000,8,0.379909
1,2,100000,1,0.0474561
1,2,100000,2,0.0948582
1,2,100000,3,0.142272
1,2,100000,4,0.18979
1,2,100000,5,0.237348
1,2,100000,6,0.284845
1,2,100000,7,0.332297
1,2,100000,8,0.379851
