is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,1024,1,0.000512601
0,0,1024,2,0.000997983
0,0,1024,3,0.00148084
0,0,1024,4,0.00196176
0,0,1024,5,0.00245978
0,0,1024,6,0.00293893
0,0,1024,7,0.00342369
0,0,1024,8,0.0039146
0,0,1024,9,0.00438875
0,0,1024,10,0.00487369
0,0,1024,11,0.00535559
0,0,1024,12,0.00584556
0,0,1024,13,0.0063322
0,0,1024,14,0.00682197
0,0,1024,15,0.00731294
0,0,1024,16,0.00780804
0,0,1024,17,0.00829233
0,0,1024,18,0.00878788
0,0,1024,19,0.00928259
0,0,1024,20,0.00977403
0,0,1024,21,0.0102546
0,0,1024,22,0.0107623
0,0,1024,23,0.0112462
0,0,1024,24,0.0117366
0,0,1024,25,0.0122468
0,0,1024,26,0.0127082
0,0,1024,27,0.0131837
0,0,1024,28,0.0136904
0,0,1024,29,0.0141813
0,0,1024,30,0.0146829
0,0,1024,31,0.015168
0,0,1024,32,0.0156485
0,0,2048,1,0.000872879
0,0,2048,2,0.00171301
0,0,2048,3,0.00255707
0,0,2048,4,0.0034057
0,0,2048,5,0.00424341
0,0,2048,6,0.00509503
0,0,2048,7,0.00593391
0,0,2048,8,0.0067778
0,0,2048,9,0.00762609
0,0,2048,10,0.00846838
0,0,2048,11,0.00932169
0,0,2048,12,0.0101757
0,0,2048,13,0.0110198
0,0,2048,14,0.0118692
0,0,2048,15,0.012716
0,0,2048,16,0.0135595
0,0,2048,17,0.0143911
0,0,2048,18,0.0152621
0,0,2048,19,0.0160922
0,0,2048,20,0.0169326
0,0,2048,21,0.0177306
0,0,2048,22,0.0186058
0,0,2048,23,0.0194369
0,0,2048,24,0.0202753
0,0,2048,25,0.0210993
0,0,2048,26,0.021953
0,0,2048,27,0.0228156
0,0,2048,28,0.0236748
0,0,2048,29,0.0245564
0,0,2048,30,0.0253846
0,0,2048,31,0.0262479
0,0,2048,32,0.0271207
0,0,3072,1,0.00122876
0,0,3072,2,0.00242497
0,0,3072,3,0.00362715
0,0,3072,4,0.00481817
0,0,3072,5,0.00601331
0,0,3072,6,0.00722159
0,0,3072,7,0.00841688
0,0,3072,8,0.00961676
0,0,3072,9,0.0108202
0,0,3072,10,0.012019
0,0,3072,11,0.0132234
0,0,3072,12,0.014432
0,0,3072,13,0.0156286
0,0,3072,14,0.0168398
0,0,3072,15,0.0180393
0,0,3072,16,0.0192435
0,0,3072,17,0.0204551
0,0,3072,18,0.0216693
0,0,3072,19,0.0228777
0,0,3072,20,0.0240805
0,0,3072,21,0.0253025
0,0,3072,22,0.0264985
0,0,3072,23,0.0277131
0,0,3072,24,0.0289428
0,0,3072,25,0.0301469
0,0,3072,26,0.0313456
0,0,3072,27,0.0325599
0,0,3072,28,0.0337572
0,0,3072,29,0.0349961
0,0,3072,30,0.0362116
0,0,3072,31,0.0373994
0,0,3072,32,0.0386018
0,0,4096,1,0.00158228
0,0,4096,2,0.00313206
0,0,4096,3,0.00468471
0,0,4096,4,0.00623316
0,0,4096,5,0.00778946
0,0,4096,6,0.00933746
0,0,4096,7,0.0108928
0,0,4096,8,0.0124526
0,0,4096,9,0.014006
0,0,4096,10,0.0155708
0,0,4096,11,0.0171353
0,0,4096,12,0.0186811
0,0,4096,13,0.020256
0,0,4096,14,0.0218146
0,0,4096,15,0.0233886
0,0,4096,16,0.0249543
0,0,4096,17,0.0265099
0,0,4096,18,0.0280691
0,0,4096,19,0.0296497
0,0,4096,20,0.0312138
0,0,4096,21,0.0327865
0,0,4096,22,0.034349
0,0,4096,23,0.0359176
0,0,4096,24,0.0374795
0,0,4096,25,0.0390593
0,0,4096,26,0.0406197
0,0,4096,27,0.0421809
0,0,4096,28,0.0437176
0,0,4096,29,0.0453187
0,0,4096,30,0.0468668
0,0,4096,31,0.0484198
0,0,4096,32,0.0500119
0,0,5120,1,0.00202736
0,0,5120,2,0.00401806
0,0,5120,3,0.00600885
0,0,5120,4,0.00800038
0,0,5120,5,0.0099979
0,0,5120,6,0.0120059
0,0,5120,7,0.0140119
0,0,5120,8,0.0160123
0,0,5120,9,0.0180069
0,0,5120,10,0.0200222
0,0,5120,11,0.0220289
0,0,5120,12,0.0240161
0,0,5120,13,0.0260232
0,0,5120,14,0.0280547
0,0,5120,15,0.0300667
0,0,5120,16,0.0321049
0,0,5120,17,0.0340964
0,0,5120,18,0.0362358
0,0,5120,19,0.0382229
0,0,5120,20,0.0403082
0,0,5120,21,0.0423292
0,0,5120,22,0.0444126
0,0,5120,23,0.0465006
0,0,5120,24,0.0487137
0,0,5120,25,0.0507868
0,0,5120,26,0.0531724
0,0,5120,27,0.0554248
0,0,5120,28,0.0575668
0,0,5120,29,0.0598055
0,0,5120,30,0.0621001
0,0,5120,31,0.0641237
0,0,5120,32,0.0664741
0,0,6144,1,0.00238142
0,0,6144,2,0.0047283
0,0,6144,3,0.00708017
0,0,6144,4,0.00942212
0,0,6144,5,0.0117805
0,0,6144,6,0.0141351
0,0,6144,7,0.0164989
0,0,6144,8,0.0188549
0,0,6144,9,0.0212053
0,0,6144,10,0.0235685
0,0,6144,11,0.0259274
0,0,6144,12,0.0282956
0,0,6144,13,0.0306519
0,0,6144,14,0.033019
0,0,6144,15,0.0353872
0,0,6144,16,0.0377386
0,0,6144,17,0.0400979
0,0,6144,18,0.0424553
0,0,6144,19,0.0448037
0,0,6144,20,0.0471771
0,0,6144,21,0.0495291
0,0,6144,22,0.0519192
0,0,6144,23,0.054263
0,0,6144,24,0.0566399
0,0,6144,25,0.0590032
0,0,6144,26,0.0613647
0,0,6144,27,0.0637166
0,0,6144,28,0.0660938
0,0,6144,29,0.068445
0,0,6144,30,0.070826
0,0,6144,31,0.0731808
0,0,6144,32,0.0755299
0,0,7168,1,0.00273498
0,0,7168,2,0.00544155
0,0,7168,3,0.00813322
0,0,7168,4,0.010839
0,0,7168,5,0.0135675
0,0,7168,6,0.0162842
0,0,7168,7,0.0189973
0,0,7168,8,0.0217024
0,0,7168,9,0.0244187
0,0,7168,10,0.0271267
0,0,7168,11,0.0298336
