is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,1024,1,0.000374525
0,0,1024,2,0.000726536
0,0,1024,3,0.00107269
0,0,1024,4,0.00142042
0,0,1024,5,0.00176523
0,0,1024,6,0.00211615
0,0,1024,7,0.00246738
0,0,1024,8,0.00281691
0,0,1024,9,0.0031663
0,0,1024,10,0.00351835
0,0,1024,11,0.00386694
0,0,1024,12,0.00421376
0,0,1024,13,0.00456634
0,0,1024,14,0.004918
0,0,1024,15,0.00526067
0,0,1024,16,0.00561651
0,0,1024,17,0.00596226
0,0,1024,18,0.00631
0,0,1024,19,0.00666449
0,0,1024,20,0.00701301
0,0,1024,21,0.00736424
0,0,1024,22,0.00773025
0,0,1024,23,0.00806091
0,0,1024,24,0.00841016
0,0,1024,25,0.00875903
0,0,1024,26,0.00910296
0,0,1024,27,0.00946096
0,0,1024,28,0.0098095
0,0,1024,29,0.0101628
0,0,1024,30,0.0105102
0,0,1024,31,0.0108882
0,0,1024,32,0.0112235
0,0,2048,1,0.000690152
0,0,2048,2,0.00135685
0,0,2048,3,0.00202159
0,0,2048,4,0.00268768
0,0,2048,5,0.00335236
0,0,2048,6,0.00401903
0,0,2048,7,0.00468861
0,0,2048,8,0.00535314
0,0,2048,9,0.00602148
0,0,2048,10,0.00668896
0,0,2048,11,0.0073555
0,0,2048,12,0.00802308
0,0,2048,13,0.00868951
0,0,2048,14,0.00935415
0,0,2048,15,0.0100152
0,0,2048,16,0.0106933
0,0,2048,17,0.0113579
0,0,2048,18,0.0120357
0,0,2048,19,0.0126911
0,0,2048,20,0.0133623
0,0,2048,21,0.0140232
0,0,2048,22,0.014695
0,0,2048,23,0.0153693
0,0,2048,24,0.0160333
0,0,2048,25,0.0167146
0,0,2048,26,0.0174009
0,0,2048,27,0.0180645
0,0,2048,28,0.0187259
0,0,2048,29,0.0194057
0,0,2048,30,0.0200744
0,0,2048,31,0.0207567
0,0,2048,32,0.0214276
0,0,3072,1,0.00100671
0,0,3072,2,0.00199064
0,0,3072,3,0.00297105
0,0,3072,4,0.00395436
0,0,3072,5,0.00493435
0,0,3072,6,0.00591912
0,0,3072,7,0.00690421
0,0,3072,8,0.007887
0,0,3072,9,0.00887367
0,0,3072,10,0.0098533
0,0,3072,11,0.010838
0,0,3072,12,0.0118175
0,0,3072,13,0.012804
0,0,3072,14,0.0137849
0,0,3072,15,0.0147712
0,0,3072,16,0.0157547
0,0,3072,17,0.0167512
0,0,3072,18,0.0177379
0,0,3072,19,0.0187198
0,0,3072,20,0.0197237
0,0,3072,21,0.020697
0,0,3072,22,0.0216965
0,0,3072,23,0.0226864
0,0,3072,24,0.0236859
0,0,3072,25,0.0246783
0,0,3072,26,0.0256643
0,0,3072,27,0.0266597
0,0,3072,28,0.0276739
0,0,3072,29,0.028658
0,0,3072,30,0.0296562
0,0,3072,31,0.0306401
0,0,3072,32,0.0316726
0,0,4096,1,0.00132423
0,0,4096,2,0.0026249
0,0,4096,3,0.00392003
0,0,4096,4,0.0052179
0,0,4096,5,0.00651581
0,0,4096,6,0.00781697
0,0,4096,7,0.00911932
0,0,4096,8,0.0104174
0,0,4096,9,0.0117197
0,0,4096,10,0.0130192
0,0,4096,11,0.0143196
0,0,4096,12,0.0156182
0,0,4096,13,0.0169212
0,0,4096,14,0.0182234
0,0,4096,15,0.0195257
0,0,4096,16,0.0208325
0,0,4096,17,0.0221389
0,0,4096,18,0.0234435
0,0,4096,19,0.0247517
0,0,4096,20,0.0260663
0,0,4096,21,0.027374
0,0,4096,22,0.0286923
0,0,4096,23,0.0299932
0,0,4096,24,0.0313025
0,0,4096,25,0.032608
0,0,4096,26,0.0339286
0,0,4096,27,0.0352348
0,0,4096,28,0.0365488
0,0,4096,29,0.0378559
0,0,4096,30,0.0391552
0,0,4096,31,0.0404784
0,0,4096,32,0.0417993
0,0,5120,1,0.00164261
0,0,5120,2,0.00325813
0,0,5120,3,0.00487376
0,0,5120,4,0.00648832
0,0,5120,5,0.00810181
0,0,5120,6,0.00971716
0,0,5120,7,0.0113367
0,0,5120,8,0.0129642
0,0,5120,9,0.0145807
0,0,5120,10,0.016195
0,0,5120,11,0.0178151
0,0,5120,12,0.0194396
0,0,5120,13,0.0210861
0,0,5120,14,0.022712
0,0,5120,15,0.0243289
0,0,5120,16,0.0260002
0,0,5120,17,0.0276626
0,0,5120,18,0.0294617
0,0,5120,19,0.0311217
0,0,5120,20,0.0329425
0,0,5120,21,0.0345685
0,0,5120,22,0.0363022
0,0,5120,23,0.0381098
0,0,5120,24,0.0398634
0,0,5120,25,0.0416846
0,0,5120,26,0.0434925
0,0,5120,27,0.0452948
0,0,5120,28,0.046843
0,0,5120,29,0.0485446
0,0,5120,30,0.050138
0,0,5120,31,0.0518828
0,0,5120,32,0.0537241
0,0,6144,1,0.00195802
0,0,6144,2,0.00388937
0,0,6144,3,0.00582044
0,0,6144,4,0.00775917
0,0,6144,5,0.00968624
0,0,6144,6,0.0116175
0,0,6144,7,0.0135502
0,0,6144,8,0.0154867
0,0,6144,9,0.017421
0,0,6144,10,0.019348
0,0,6144,11,0.0212971
0,0,6144,12,0.0232363
0,0,6144,13,0.0251797
0,0,6144,14,0.0271288
0,0,6144,15,0.0290552
0,0,6144,16,0.0310088
0,0,6144,17,0.0329507
0,0,6144,18,0.0348885
0,0,6144,19,0.0368352
0,0,6144,20,0.0387754
0,0,6144,21,0.040714
0,0,6144,22,0.0426638
0,0,6144,23,0.0445936
0,0,6144,24,0.0465278
0,0,6144,25,0.0484627
0,0,6144,26,0.0504137
0,0,6144,27,0.0523735
0,0,6144,28,0.0542836
0,0,6144,29,0.0562346
0,0,6144,30,0.0581916
0,0,6144,31,0.0601229
0,0,6144,32,0.0620647
0,0,7168,1,0.00227464
0,0,7168,2,0.00452531
0,0,7168,3,0.00677309
0,0,7168,4,0.00902548
0,0,7168,5,0.0112753
0,0,7168,6,0.0135174
0,0,7168,7,0.0157692
0,0,7168,8,0.0180176
0,0,7168,9,0.0202687
0,0,7168,10,0.0225274
0,0,7168,11,0.0247893
0,0,7168,12,0.0270448
0,0,7168,13,0.0293072
0,0,7168,14,0.0315614
0,0,7168,15,0.0338195
0,0,7168,16,0.0360742
0,0,7168,17,0.0383383
0,0,7168,18,0.0405881
0,0,7168,19,0.0428481
0,0,7168,20,0.0450998
0,0,7168,21,0.0473608
0,0,7168,22,0.0496159
0,0,7168,23,0.0518813
0,0,7168,24,0.0541396
0,0,7168,25,0.0563933
0,0,7168,26,0.0586496
0,0,7168,27,0.06091
0,0,7168,28,0.0631544
0,0,7168,29,0.0654103
0,0,7168,30,0.0676835
0,0,7168,31,0.069937
0,0,7168,32,0.0721897
0,0,8192,1,0.0025897
0,0,8192,2,0.00515804
0,0,8192,3,0.00771858
0,0,8192,4,0.0102825
0,0,8192,5,0.0128463
0,0,8192,6,0.0154111
0,0,8192,7,0.0179784
0,0,8192,8,0.0205507
0,0,8192,9,0.023121
0,0,8192,10,0.0256947
0,0,8192,11,0.0282732
0,0,8192,12,0.0308478
0,0,8192,13,0.0334447
0,0,8192,14,0.0360522
0,0,8192,15,0.0386727
0,0,8192,16,0.0413063
0,0,8192,17,0.0439106
0,0,8192,18,0.0465797
0,0,8192,19,0.049125
0,0,8192,20,0.0518348
0,0,8192,21,0.0544562
0,0,8192,22,0.0570615
0,0,8192,23,0.059651
0,0,8192,24,0.0622233
0,0,8192,25,0.0649425
0,0,8192,26,0.0675051
0,0,8192,27,0.0700883
0,0,8192,28,0.0727824
0,0,8192,29,0.0753416
0,0,8192,30,0.0780106
0,0,8192,31,0.080515
0,0,8192,32,0.0831784
0,1,1024,1,0.000375065
0,1,1024,2,0.000724404
0,1,1024,3,0.00107229
0,1,1024,4,0.0014185
0,1,1024,5,0.0017665
0,1,1024,6,0.00211352
0,1,1024,7,0.0024644
0,1,1024,8,0.00281679
0,1,1024,9,0.00316571
0,1,1024,10,0.00351639
0,1,1024,11,0.00386672
0,1,1024,12,0.00421541
0,1,1024,13,0.004566
0,1,1024,14,0.0049146
0,1,1024,15,0.00526592
0,1,1024,16,0.00561483
0,1,1024,17,0.00596077
0,1,1024,18,0.00631493
0,1,1024,19,0.00666025
0,1,1024,20,0.00701531
0,1,1024,21,0.00736537
0,1,1024,22,0.00770633
0,1,1024,23,0.00805419
0,1,1024,24,0.00841301
0,1,1024,25,0.00876123
0,1,1024,26,0.00910842
0,1,1024,27,0.00946244
0,1,1024,28,0.00981249
0,1,1024,29,0.01016
0,1,1024,30,0.0105077
0,1,1024,31,0.0108637
0,1,1024,32,0.0112205
0,1,2048,1,0.000691374
0,1,2048,2,0.00135761
0,1,2048,3,0.00202292
0,1,2048,4,0.00268777
0,1,2048,5,0.0033525
0,1,2048,6,0.00401756
0,1,2048,7,0.00468732
0,1,2048,8,0.00535385
0,1,2048,9,0.0060206
0,1,2048,10,0.00669358
0,1,2048,11,0.00735253
0,1,2048,12,0.00802253
0,1,2048,13,0.00868353
0,1,2048,14,0.00935479
0,1,2048,15,0.01002
0,1,2048,16,0.0106922
0,1,2048,17,0.0113543
0,1,2048,18,0.012018
0,1,2048,19,0.0126942
0,1,2048,20,0.0133595
0,1,2048,21,0.0140189
0,1,2048,22,0.0146951
0,1,2048,23,0.0153639
0,1,2048,24,0.0160297
0,1,2048,25,0.0167103
0,1,2048,26,0.0173767
0,1,2048,27,0.0180523
0,1,2048,28,0.0187177
0,1,2048,29,0.0193891
0,1,2048,30,0.0200685
0,1,2048,31,0.020741
0,1,2048,32,0.0214221
0,1,3072,1,0.00100627
0,1,3072,2,0.00199011
0,1,3072,3,0.00297172
0,1,3072,4,0.00395299
0,1,3072,5,0.00493544
0,1,3072,6,0.00591797
0,1,3072,7,0.00690153
0,1,3072,8,0.00788666
0,1,3072,9,0.00887164
0,1,3072,10,0.00985364
0,1,3072,11,0.010839
0,1,3072,12,0.0118173
0,1,3072,13,0.0128042
0,1,3072,14,0.0137863
0,1,3072,15,0.0147683
0,1,3072,16,0.0157533
0,1,3072,17,0.0167396
0,1,3072,18,0.017728
0,1,3072,19,0.0187154
0,1,3072,20,0.0197061
0,1,3072,21,0.0206867
0,1,3072,22,0.0216847
0,1,3072,23,0.0226703
0,1,3072,24,0.0236627
0,1,3072,25,0.0246602
0,1,3072,26,0.0256523
0,1,3072,27,0.0266465
0,1,3072,28,0.0276508
0,1,3072,29,0.0286378
0,1,3072,30,0.0296455
0,1,3072,31,0.0306406
0,1,3072,32,0.0316604
0,1,4096,1,0.00132471
0,1,4096,2,0.00262435
0,1,4096,3,0.00392124
0,1,4096,4,0.00521802
0,1,4096,5,0.00651651
0,1,4096,6,0.00781586
0,1,4096,7,0.00911712
0,1,4096,8,0.0104171
0,1,4096,9,0.01172
0,1,4096,10,0.0130192
0,1,4096,11,0.0143196
0,1,4096,12,0.0156186
0,1,4096,13,0.0169208
0,1,4096,14,0.0182259
0,1,4096,15,0.0195259
0,1,4096,16,0.0208296
0,1,4096,17,0.022136
0,1,4096,18,0.0234453
0,1,4096,19,0.02475
0,1,4096,20,0.026065
0,1,4096,21,0.0273696
0,1,4096,22,0.028683
0,1,4096,23,0.0299937
0,1,4096,24,0.0313021
0,1,4096,25,0.0326142
0,1,4096,26,0.0339226
0,1,4096,27,0.0352276
0,1,4096,28,0.0365458
0,1,4096,29,0.0378393
0,1,4096,30,0.0391484
0,1,4096,31,0.0404619
0,1,4096,32,0.0417685
0,1,5120,1,0.00164098
0,1,5120,2,0.00325767
0,1,5120,3,0.00487197
0,1,5120,4,0.00648753
0,1,5120,5,0.00810089
0,1,5120,6,0.00971778
0,1,5120,7,0.0113349
0,1,5120,8,0.0129536
0,1,5120,9,0.0145695
0,1,5120,10,0.0161889
0,1,5120,11,0.0178072
0,1,5120,12,0.0194335
0,1,5120,13,0.0210631
0,1,5120,14,0.0227133
0,1,5120,15,0.0243278
0,1,5120,16,0.0259714
0,1,5120,17,0.0276437
0,1,5120,18,0.0294192
0,1,5120,19,0.0311551
0,1,5120,20,0.0328764
0,1,5120,21,0.0346595
0,1,5120,22,0.0363394
0,1,5120,23,0.0381178
0,1,5120,24,0.0399663
0,1,5120,25,0.0416113
0,1,5120,26,0.0432795
0,1,5120,27,0.0450481
0,1,5120,28,0.0467242
0,1,5120,29,0.0486682
0,1,5120,30,0.0503321
0,1,5120,31,0.0520213
0,1,5120,32,0.053856
0,1,6144,1,0.00195752
0,1,6144,2,0.00389012
0,1,6144,3,0.00581979
0,1,6144,4,0.00775967
0,1,6144,5,0.00968673
0,1,6144,6,0.0116188
0,1,6144,7,0.0135496
0,1,6144,8,0.0154857
0,1,6144,9,0.0174195
0,1,6144,10,0.0193491
0,1,6144,11,0.0212944
0,1,6144,12,0.0232331
0,1,6144,13,0.0251783
0,1,6144,14,0.0271159
0,1,6144,15,0.0290508
0,1,6144,16,0.0309985
0,1,6144,17,0.0329386
0,1,6144,18,0.0348792
0,1,6144,19,0.0368244
0,1,6144,20,0.038768
0,1,6144,21,0.0407048
0,1,6144,22,0.042651
0,1,6144,23,0.044589
0,1,6144,24,0.046526
0,1,6144,25,0.048464
0,1,6144,26,0.0504134
0,1,6144,27,0.0523561
0,1,6144,28,0.0542815
0,1,6144,29,0.0562356
0,1,6144,30,0.0581668
0,1,6144,31,0.0601161
0,1,6144,32,0.0620508
0,1,7168,1,0.00227816
0,1,7168,2,0.00452272
0,1,7168,3,0.00677185
0,1,7168,4,0.0090209
0,1,7168,5,0.0112698
0,1,7168,6,0.0135191
0,1,7168,7,0.0157702
0,1,7168,8,0.0180172
0,1,7168,9,0.0202695
0,1,7168,10,0.022527
0,1,7168,11,0.0247878
0,1,7168,12,0.0270442
0,1,7168,13,0.0293032
0,1,7168,14,0.0315614
0,1,7168,15,0.0338216
0,1,7168,16,0.036079
0,1,7168,17,0.0383445
0,1,7168,18,0.0405951
0,1,7168,19,0.042851
0,1,7168,20,0.0451142
0,1,7168,21,0.0473677
0,1,7168,22,0.0496211
0,1,7168,23,0.0518801
0,1,7168,24,0.0541445
0,1,7168,25,0.0564033
0,1,7168,26,0.0586566
0,1,7168,27,0.0609149
0,1,7168,28,0.06316
0,1,7168,29,0.0654262
0,1,7168,30,0.0676757
0,1,7168,31,0.0699413
0,1,7168,32,0.0722047
0,1,8192,1,0.00259101
0,1,8192,2,0.00515522
0,1,8192,3,0.00772053
0,1,8192,4,0.0102855
0,1,8192,5,0.0128476
0,1,8192,6,0.0154119
0,1,8192,7,0.0179821
0,1,8192,8,0.0205566
0,1,8192,9,0.0231227
0,1,8192,10,0.0256983
0,1,8192,11,0.0282752
0,1,8192,12,0.0308469
0,1,8192,13,0.0334517
0,1,8192,14,0.036045
0,1,8192,15,0.0386897
0,1,8192,16,0.0413084
0,1,8192,17,0.0439319
0,1,8192,18,0.0465435
0,1,8192,19,0.0491376
0,1,8192,20,0.0517387
0,1,8192,21,0.0544764
0,1,8192,22,0.0570024
0,1,8192,23,0.0596073
0,1,8192,24,0.0623634
0,1,8192,25,0.0649934
0,1,8192,26,0.067536
0,1,8192,27,0.0701666
0,1,8192,28,0.0727369
0,1,8192,29,0.07536
0,1,8192,30,0.0779805
0,1,8192,31,0.0805797
0,1,8192,32,0.0831323
0,2,1024,1,0.000373652
0,2,1024,2,0.000725152
0,2,1024,3,0.00107169
0,2,1024,4,0.0014194
0,2,1024,5,0.00176386
0,2,1024,6,0.0021131
0,2,1024,7,0.00246383
0,2,1024,8,0.002817
0,2,1024,9,0.00316595
0,2,1024,10,0.00351495
0,2,1024,11,0.00386947
0,2,1024,12,0.00421713
0,2,1024,13,0.00456425
0,2,1024,14,0.00491875
0,2,1024,15,0.00526487
0,2,1024,16,0.00561679
0,2,1024,17,0.00596018
0,2,1024,18,0.00631414
0,2,1024,19,0.0066635
0,2,1024,20,0.00701275
0,2,1024,21,0.00735792
0,2,1024,22,0.00770716
0,2,1024,23,0.00805521
0,2,1024,24,0.00841263
0,2,1024,25,0.00875962
0,2,1024,26,0.00911025
