is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,512,1,0.000321023
0,0,512,2,0.000584327
0,0,512,3,0.000834065
0,0,512,4,0.00107932
0,0,512,5,0.0013572
0,0,512,6,0.00163269
0,0,512,7,0.0018673
0,0,512,8,0.00212502
0,0,512,9,0.00242093
0,0,512,10,0.00265964
0,0,512,11,0.00293345
0,0,512,12,0.00319259
0,0,512,13,0.00348526
0,0,512,14,0.00372745
0,0,512,15,0.00399788
0,0,512,16,0.00428831
0,0,512,17,0.00453407
0,0,512,18,0.00478268
0,0,512,19,0.00511161
0,0,512,20,0.00533687
0,0,512,21,0.00559763
0,0,512,22,0.00591129
0,0,512,23,0.00614945
0,0,512,24,0.00640507
0,0,512,25,0.00669906
0,0,512,26,0.00693716
0,0,512,27,0.00724879
0,0,512,28,0.00752461
0,0,512,29,0.00776253
0,0,512,30,0.00808782
0,0,512,31,0.00831494
0,0,512,32,0.00855473
0,1,512,1,0.00029111
0,1,512,2,0.000551198
0,1,512,3,0.000813157
0,1,512,4,0.00108737
0,1,512,5,0.00135716
0,1,512,6,0.00161948
0,1,512,7,0.00187443
0,1,512,8,0.00213588
0,1,512,9,0.00240426
0,1,512,10,0.002668
0,1,512,11,0.00294629
0,1,512,12,0.00319993
0,1,512,13,0.00347533
0,1,512,14,0.00374837
0,1,512,15,0.00401837
0,1,512,16,0.00427764
0,1,512,17,0.00454881
0,1,512,18,0.00481023
0,1,512,19,0.0050857
0,1,512,20,0.00535164
0,1,512,21,0.00561975
0,1,512,22,0.00589333
0,1,512,23,0.00616914
0,1,512,24,0.00643388
0,1,512,25,0.00670349
0,1,512,26,0.00696358
0,1,512,27,0.00723257
0,1,512,28,0.00748916
0,1,512,29,0.00776086
0,1,512,30,0.008056
0,1,512,31,0.00831343
0,1,512,32,0.00856414
0,2,512,1,0.000291484
0,2,512,2,0.000551689
0,2,512,3,0.000814376
0,2,512,4,0.00109509
0,2,512,5,0.00134012
0,2,512,6,0.0016152
0,2,512,7,0.00186625
0,2,512,8,0.00212895
0,2,512,9,0.00239911
0,2,512,10,0.00266229
0,2,512,11,0.00293258
0,2,512,12,0.0031998
0,2,512,13,0.00346014
0,2,512,14,0.00373761
0,2,512,15,0.00400408
0,2,512,16,0.00427474
0,2,512,17,0.0045413
0,2,512,18,0.00480692
0,2,512,19,0.00507409
0,2,512,20,0.00534439
0,2,512,21,0.00561841
0,2,512,22,0.00588024
0,2,512,23,0.00615142
0,2,512,24,0.00643226
0,2,512,25,0.00668055
0,2,512,26,0.00695514
0,2,512,27,0.00722912
0,2,512,28,0.00747894
0,2,512,29,0.00774575
0,2,512,30,0.00805114
0,2,512,31,0.0082907
0,2,512,32,0.00856202
1,0,512,1,0.0002925
1,0,512,2,0.000393676
1,0,512,3,0.000499904
1,0,512,4,0.000610156
1,0,512,5,0.000712635
1,0,512,6,0.000816342
1,0,512,7,0.000928931
1,0,512,8,0.00103671
1,0,512,9,0.00115561
1,0,512,10,0.00127504
1,0,512,11,0.0014237
1,0,512,12,0.00149873
1,0,512,13,0.00160939
1,0,512,14,0.00172458
1,0,512,15,0.0018362
1,0,512,16,0.0019515
1,0,512,17,0.00206761
1,0,512,18,0.00218898
1,0,512,19,0.00229997
1,0,512,20,0.00241427
1,0,512,21,0.00252647
1,0,512,22,0.00263733
1,0,512,23,0.00275452
1,0,512,24,0.00285814
1,0,512,25,0.00297862
1,0,512,26,0.00307551
1,0,512,27,0.00321543
1,0,512,28,0.00330908
1,0,512,29,0.00342405
1,0,512,30,0.0035676
1,0,512,31,0.00367822
1,0,512,32,0.00377164
1,1,512,1,0.000301413
1,1,512,2,0.000393947
1,1,512,3,0.000497694
1,1,512,4,0.000603496
1,1,512,5,0.000710791
1,1,512,6,0.000816491
1,1,512,7,0.000922113
1,1,512,8,0.00103577
1,1,512,9,0.00116215
1,1,512,10,0.00126991
1,1,512,11,0.00138583
1,1,512,12,0.00149546
1,1,512,13,0.00160644
1,1,512,14,0.00171952
1,1,512,15,0.00183953
1,1,512,16,0.00194243
1,1,512,17,0.00206137
1,1,512,18,0.0022089
1,1,512,19,0.00229196
1,1,512,20,0.00239317
1,1,512,21,0.00252696
1,1,512,22,0.00263266
1,1,512,23,0.00275761
1,1,512,24,0.00286843
1,1,512,25,0.00297867
1,1,512,26,0.00309548
1,1,512,27,0.00320663
1,1,512,28,0.00330028
1,1,512,29,0.00342564
1,1,512,30,0.00356884
1,1,512,31,0.00364845
1,1,512,32,0.00375928
1,2,512,1,0.000290746
1,2,512,2,0.000392143
1,2,512,3,0.000495537
1,2,512,4,0.000609622
1,2,512,5,0.000707123
1,2,512,6,0.000817369
1,2,512,7,0.000926562
1,2,512,8,0.00104051
1,2,512,9,0.0011576
1,2,512,10,0.00126946
1,2,512,11,0.00138454
1,2,512,12,0.00148698
1,2,512,13,0.00162117
1,2,512,14,0.00172804
1,2,512,15,0.00183835
1,2,512,16,0.00194383
1,2,512,17,0.00206795
1,2,512,18,0.00217425
1,2,512,19,0.00229728
1,2,512,20,0.00240999
1,2,512,21,0.00252221
1,2,512,22,0.0026401
1,2,512,23,0.00274805
1,2,512,24,0.00286335
1,2,512,25,0.00298762
1,2,512,26,0.00309164
1,2,512,27,0.00319956
1,2,512,28,0.00331518
1,2,512,29,0.00343322
1,2,512,30,0.00356255
1,2,512,31,0.00367311
1,2,512,32,0.00377572
