is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,512,1,0.000216218
0,0,512,2,0.000380874
0,0,512,3,0.000531037
0,0,512,4,0.000697058
0,0,512,5,0.000865041
0,0,512,6,0.00106404
0,0,512,7,0.00121633
0,0,512,8,0.001376
0,0,512,9,0.00154688
0,0,512,10,0.00175539
0,0,512,11,0.00188667
0,0,512,12,0.00205697
0,0,512,13,0.00222686
0,0,512,14,0.002395
0,0,512,15,0.00259202
0,0,512,16,0.00273447
0,0,512,17,0.00290172
0,0,512,18,0.00307218
0,0,512,19,0.00327938
0,0,512,20,0.00342667
0,0,512,21,0.00359334
0,0,512,22,0.00376765
0,0,512,23,0.00398238
0,0,512,24,0.00411664
0,0,512,25,0.00429402
0,0,512,26,0.00447129
0,0,512,27,0.00467258
0,0,512,28,0.00481272
0,0,512,29,0.00498249
0,0,512,30,0.00517591
0,0,512,31,0.00534565
0,0,512,32,0.00550111
0,1,512,1,0.000192732
0,1,512,2,0.000362521
0,1,512,3,0.000530718
0,1,512,4,0.000699249
0,1,512,5,0.000869117
0,1,512,6,0.00103646
0,1,512,7,0.00120863
0,1,512,8,0.00138226
0,1,512,9,0.00155276
0,1,512,10,0.00172678
0,1,512,11,0.00189376
0,1,512,12,0.00206056
0,1,512,13,0.00223706
0,1,512,14,0.00241157
0,1,512,15,0.00257504
0,1,512,16,0.00274862
0,1,512,17,0.00291981
0,1,512,18,0.00309087
0,1,512,19,0.00326473
0,1,512,20,0.00344173
0,1,512,21,0.00360583
0,1,512,22,0.00378028
0,1,512,23,0.00395768
0,1,512,24,0.00411564
0,1,512,25,0.00429649
0,1,512,26,0.00447487
0,1,512,27,0.00464124
0,1,512,28,0.00482062
0,1,512,29,0.00499175
0,1,512,30,0.00516068
0,1,512,31,0.00533873
0,1,512,32,0.0055115
0,2,512,1,0.000192846
0,2,512,2,0.000362883
0,2,512,3,0.000530967
0,2,512,4,0.000700652
0,2,512,5,0.000868776
0,2,512,6,0.00103766
0,2,512,7,0.00121067
0,2,512,8,0.00137983
0,2,512,9,0.00155568
0,2,512,10,0.00172567
0,2,512,11,0.00189425
0,2,512,12,0.00206569
0,2,512,13,0.00223762
0,2,512,14,0.0024037
0,2,512,15,0.00257737
0,2,512,16,0.00275012
0,2,512,17,0.00291621
0,2,512,18,0.00309766
0,2,512,19,0.00326382
0,2,512,20,0.00343801
0,2,512,21,0.00361075
0,2,512,22,0.00378221
0,2,512,23,0.00395474
0,2,512,24,0.00412353
0,2,512,25,0.00430032
0,2,512,26,0.00447965
0,2,512,27,0.00464702
0,2,512,28,0.00481651
0,2,512,29,0.00499205
0,2,512,30,0.00517458
0,2,512,31,0.00534138
0,2,512,32,0.00550558
1,0,512,1,0.000192995
1,0,512,2,0.000223918
1,0,512,3,0.000251913
1,0,512,4,0.000283089
1,0,512,5,0.000315684
1,0,512,6,0.000341663
1,0,512,7,0.000380137
1,0,512,8,0.000403742
1,0,512,9,0.000450039
1,0,512,10,0.000469525
1,0,512,11,0.000499075
1,0,512,12,0.000554927
1,0,512,13,0.000573771
1,0,512,14,0.000624397
1,0,512,15,0.000651602
1,0,512,16,0.000688552
1,0,512,17,0.000721288
1,0,512,18,0.000756782
1,0,512,19,0.000781562
1,0,512,20,0.000834622
1,0,512,21,0.000860703
1,0,512,22,0.000907117
1,0,512,23,0.000943233
1,0,512,24,0.000972965
1,0,512,25,0.000996995
1,0,512,26,0.00100857
1,0,512,27,0.00108681
1,0,512,28,0.0011126
1,0,512,29,0.00113531
1,0,512,30,0.00117152
1,0,512,31,0.00121542
1,0,512,32,0.00122756
1,1,512,1,0.000194364
1,1,512,2,0.000223858
1,1,512,3,0.000250746
1,1,512,4,0.000281648
1,1,512,5,0.000315377
1,1,512,6,0.000343755
1,1,512,7,0.000381079
1,1,512,8,0.000409045
1,1,512,9,0.000444335
1,1,512,10,0.000476707
1,1,512,11,0.000527373
1,1,512,12,0.000536524
1,1,512,13,0.000575768
1,1,512,14,0.000607007
1,1,512,15,0.000649819
1,1,512,16,0.000685616
1,1,512,17,0.000728932
1,1,512,18,0.000754468
1,1,512,19,0.000789053
1,1,512,20,0.000822583
1,1,512,21,0.000866544
1,1,512,22,0.000901468
1,1,512,23,0.00091984
1,1,512,24,0.000964566
1,1,512,25,0.00099887
1,1,512,26,0.00103267
1,1,512,27,0.00107048
1,1,512,28,0.00109111
1,1,512,29,0.00115405
1,1,512,30,0.00116115
1,1,512,31,0.00121872
1,1,512,32,0.00122766
1,2,512,1,0.000193205
1,2,512,2,0.000222993
1,2,512,3,0.000252111
1,2,512,4,0.000282343
1,2,512,5,0.000311457
1,2,512,6,0.000346185
1,2,512,7,0.000372196
1,2,512,8,0.000411833
1,2,512,9,0.000440634
1,2,512,10,0.000488549
1,2,512,11,0.000520695
1,2,512,12,0.000554172
1,2,512,13,0.000579524
1,2,512,14,0.000610874
1,2,512,15,0.000659508
1,2,512,16,0.000689673
1,2,512,17,0.000718272
1,2,512,18,0.000763848
1,2,512,19,0.000789703
1,2,512,20,0.000829598
1,2,512,21,0.000851529
1,2,512,22,0.000913403
1,2,512,23,0.000927735
1,2,512,24,0.000949327
1,2,512,25,0.000992603
1,2,512,26,0.0010271
1,2,512,27,0.00108522
1,2,512,28,0.00110028
1,2,512,29,0.00113833
1,2,512,30,0.00116853
1,2,512,31,0.00119169
1,2,512,32,0.00122479
