is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,128,1,0.000163665
0,0,128,2,0.000298797
0,0,128,3,0.000434143
0,0,128,4,0.000566737
0,0,128,5,0.00070608
0,0,128,6,0.000847773
0,0,128,7,0.000987471
0,0,128,8,0.0011157
0,0,128,9,0.00125593
0,0,128,10,0.00139864
0,0,128,11,0.00153757
0,0,128,12,0.00167732
0,0,128,13,0.00181953
0,0,128,14,0.00195975
0,0,128,15,0.00209724
0,0,128,16,0.00223605
0,0,128,17,0.00237745
0,0,128,18,0.00252097
0,0,128,19,0.00266314
0,0,128,20,0.00280515
0,0,128,21,0.00294154
0,0,128,22,0.0030964
0,0,128,23,0.00323144
0,0,128,24,0.00336242
0,0,128,25,0.00351771
0,0,128,26,0.00364876
0,0,128,27,0.00379039
0,0,128,28,0.00391899
0,0,128,29,0.00405293
0,0,128,30,0.00425116
0,0,128,31,0.00434644
0,0,128,32,0.00447995
0,0,256,1,0.00020484
0,0,256,2,0.000381778
0,0,256,3,0.000558129
0,0,256,4,0.000734289
0,0,256,5,0.000919772
0,0,256,6,0.00109674
0,0,256,7,0.00127473
0,0,256,8,0.00145308
0,0,256,9,0.00163664
0,0,256,10,0.001816
0,0,256,11,0.00199901
0,0,256,12,0.0021837
0,0,256,13,0.00236262
0,0,256,14,0.00254676
0,0,256,15,0.00272206
0,0,256,16,0.0029137
0,0,256,17,0.00309149
0,0,256,18,0.00327652
0,0,256,19,0.00346015
0,0,256,20,0.00364086
0,0,256,21,0.00382671
0,0,256,22,0.00400214
0,0,256,23,0.00419048
0,0,256,24,0.00437005
0,0,256,25,0.0045497
0,0,256,26,0.00473048
0,0,256,27,0.00491952
0,0,256,28,0.00509308
0,0,256,29,0.00527341
0,0,256,30,0.00546822
0,0,256,31,0.00564367
0,0,256,32,0.00581781
0,0,384,1,0.00024903
0,0,384,2,0.00046606
0,0,384,3,0.000685145
0,0,384,4,0.000908193
0,0,384,5,0.00112396
0,0,384,6,0.00134718
0,0,384,7,0.00157216
0,0,384,8,0.00178934
0,0,384,9,0.00201721
0,0,384,10,0.00223902
0,0,384,11,0.00246699
0,0,384,12,0.00268605
0,0,384,13,0.0029124
0,0,384,14,0.00313235
0,0,384,15,0.0033588
0,0,384,16,0.00358708
0,0,384,17,0.00380685
0,0,384,18,0.00403307
0,0,384,19,0.00425618
0,0,384,20,0.0044878
0,0,384,21,0.00470399
0,0,384,22,0.0049345
0,0,384,23,0.00515012
0,0,384,24,0.00538015
0,0,384,25,0.00561346
0,0,384,26,0.00582808
0,0,384,27,0.00606079
0,0,384,28,0.0062802
0,0,384,29,0.00649939
0,0,384,30,0.00675696
0,0,384,31,0.00696443
0,0,384,32,0.0071899
0,0,512,1,0.000291125
0,0,512,2,0.000552134
0,0,512,3,0.000815385
0,0,512,4,0.00107828
0,0,512,5,0.00133982
0,0,512,6,0.00161101
0,0,512,7,0.00187383
0,0,512,8,0.00213578
0,0,512,9,0.00239947
0,0,512,10,0.00266649
0,0,512,11,0.0029388
0,0,512,12,0.00320761
0,0,512,13,0.00347308
0,0,512,14,0.00373385
0,0,512,15,0.00400723
0,0,512,16,0.00427677
0,0,512,17,0.00455276
0,0,512,18,0.00481642
0,0,512,19,0.00508689
0,0,512,20,0.00534697
0,0,512,21,0.00560814
0,0,512,22,0.00588577
0,0,512,23,0.00616047
0,0,512,24,0.00642103
0,0,512,25,0.00668653
0,0,512,26,0.0069427
0,0,512,27,0.00722115
0,0,512,28,0.00748701
0,0,512,29,0.00776098
0,0,512,30,0.0080585
0,0,512,31,0.00831371
0,0,512,32,0.00855924
0,0,640,1,0.000363161
0,0,640,2,0.000698994
0,0,640,3,0.00103276
0,0,640,4,0.00136789
0,0,640,5,0.00170644
0,0,640,6,0.00204514
0,0,640,7,0.00238101
0,0,640,8,0.00271406
0,0,640,9,0.00306099
0,0,640,10,0.00339461
0,0,640,11,0.00373729
0,0,640,12,0.00407363
0,0,640,13,0.00441469
0,0,640,14,0.00475547
0,0,640,15,0.00509858
0,0,640,16,0.00543979
0,0,640,17,0.00577161
0,0,640,18,0.00611922
0,0,640,19,0.00646896
0,0,640,20,0.00679717
0,0,640,21,0.00714865
0,0,640,22,0.00749624
0,0,640,23,0.00780908
0,0,640,24,0.00814624
0,0,640,25,0.00851691
0,0,640,26,0.00884378
0,0,640,27,0.00918871
0,0,640,28,0.00951951
0,0,640,29,0.00985843
0,0,640,30,0.0102004
0,0,640,31,0.0105546
0,0,640,32,0.0108894
0,0,768,1,0.0004126
0,0,768,2,0.000796781
0,0,768,3,0.00117908
0,0,768,4,0.00156107
0,0,768,5,0.00194082
0,0,768,6,0.00232756
0,0,768,7,0.00271419
0,0,768,8,0.00309825
0,0,768,9,0.00349082
0,0,768,10,0.0038745
0,0,768,11,0.00426286
0,0,768,12,0.00465372
0,0,768,13,0.00503131
0,0,768,14,0.00542113
0,0,768,15,0.00582057
0,0,768,16,0.00621422
0,0,768,17,0.00660539
0,0,768,18,0.0069793
0,0,768,19,0.00737344
0,0,768,20,0.007756
