is_concurrent,pop_size,num_species,mean_s_step_mean
0,128,1,0.000
0,128,2,0.000
0,128,3,0.000
0,128,4,0.001
0,128,5,0.001
0,128,6,0.001
0,128,7,0.001
0,128,8,0.001
0,128,9,0.001
0,128,10,0.001
0,128,11,0.002
0,128,12,0.002
0,128,13,0.002
0,128,14,0.002
0,128,15,0.002
0,128,16,0.002
0,128,17,0.002
0,128,18,0.003
0,128,19,0.003
0,128,20,0.003
0,128,21,0.003
0,128,22,0.003
0,128,23,0.003
0,128,24,0.003
0,128,25,0.004
0,128,26,0.004
0,128,27,0.004
0,128,28,0.004
0,128,29,0.004
0,128,30,0.004
0,128,31,0.004
0,128,32,0.004
0,256,1,0.000
0,256,2,0.000
0,256,3,0.001
0,256,4,0.001
0,256,5,0.001
0,256,6,0.001
0,256,7,0.001
0,256,8,0.001
0,256,9,0.002
0,256,10,0.002
0,256,11,0.002
0,256,12,0.002
0,256,13,0.002
0,256,14,0.003
0,256,15,0.003
0,256,16,0.003
0,256,17,0.003
0,256,18,0.003
0,256,19,0.003
0,256,20,0.004
0,256,21,0.004
0,256,22,0.004
0,256,23,0.004
0,256,24,0.004
0,256,25,0.005
0,256,26,0.005
0,256,27,0.005
0,256,28,0.005
0,256,29,0.005
0,256,30,0.005
0,256,31,0.006
0,256,32,0.006
0,384,1,0.000
0,384,2,0.000
0,384,3,0.001
0,384,4,0.001
0,384,5,0.001
0,384,6,0.001
0,384,7,0.002
0,384,8,0.002
0,384,9,0.002
0,384,10,0.002
0,384,11,0.002
0,384,12,0.003
0,384,13,0.003
0,384,14,0.003
0,384,15,0.003
0,384,16,0.004
0,384,17,0.004
0,384,18,0.004
0,384,19,0.004
0,384,20,0.004
0,384,21,0.005
0,384,22,0.005
0,384,23,0.005
0,384,24,0.005
0,384,25,0.006
0,384,26,0.006
0,384,27,0.006
0,384,28,0.006
0,384,29,0.006
0,384,30,0.007
0,384,31,0.007
0,384,32,0.007
0,512,1,0.000
0,512,2,0.001
0,512,3,0.001
0,512,4,0.001
0,512,5,0.001
0,512,6,0.002
0,512,7,0.002
0,512,8,0.002
0,512,9,0.002
0,512,10,0.003
0,512,11,0.003
0,512,12,0.003
0,512,13,0.003
0,512,14,0.004
0,512,15,0.004
0,512,16,0.004
0,512,17,0.005
0,512,18,0.005
0,512,19,0.005
0,512,20,0.005
0,512,21,0.006
0,512,22,0.006
0,512,23,0.006
0,512,24,0.006
0,512,25,0.007
0,512,26,0.007
0,512,27,0.007
0,512,28,0.007
0,512,29,0.008
0,512,30,0.008
