is_concurrent,pop_size,num_species,mean_s_step_mean,speedup
0,1024,1,0.000,0.975
0,1024,2,0.001,1.786
0,1024,3,0.001,2.471
0,1024,4,0.001,3.057
0,1024,5,0.002,3.561
0,1024,6,0.002,4.046
0,1024,7,0.002,4.461
0,1024,8,0.003,4.839
0,1024,9,0.003,5.133
0,1024,10,0.004,5.433
0,1024,11,0.004,5.712
0,1024,12,0.004,5.951
0,1024,13,0.005,6.174
0,1024,14,0.005,6.360
0,1024,15,0.005,6.572
0,1024,16,0.006,6.625
0,1024,17,0.006,6.836
0,1024,18,0.006,6.964
0,1024,19,0.007,7.137
0,1024,20,0.007,7.126
0,1024,21,0.007,7.157
0,1024,22,0.008,7.318
0,1024,23,0.008,7.432
0,1024,24,0.008,7.497
0,1024,25,0.009,7.550
0,1024,26,0.009,7.571
0,1024,27,0.009,7.742
0,1024,28,0.010,7.803
0,1024,29,0.010,7.874
0,1024,30,0.011,7.951
0,1024,31,0.011,7.999
0,1024,32,0.011,8.112
0,2048,1,0.001,0.997
0,2048,2,0.001,1.876
0,2048,3,0.002,2.689
0,2048,4,0.003,3.437
0,2048,5,0.003,4.127
0,2048,6,0.004,4.784
0,2048,7,0.005,5.374
0,2048,8,0.005,5.932
0,2048,9,0.006,6.418
0,2048,10,0.007,6.948
0,2048,11,0.007,6.972
0,2048,12,0.008,7.440
0,2048,13,0.009,7.826
0,2048,14,0.009,8.198
0,2048,15,0.010,8.525
0,2048,16,0.011,8.836
0,2048,17,0.011,9.190
0,2048,18,0.012,9.402
0,2048,19,0.013,9.681
0,2048,20,0.013,9.970
0,2048,21,0.014,8.856
0,2048,22,0.015,9.039
0,2048,23,0.015,9.211
0,2048,24,0.016,9.347
0,2048,25,0.017,9.471
0,2048,26,0.017,9.608
0,2048,27,0.018,9.556
0,2048,28,0.019,9.651
0,2048,29,0.019,9.433
0,2048,30,0.020,9.191
0,2048,31,0.021,9.164
0,2048,32,0.021,8.898
0,3072,1,0.001,0.996
0,3072,2,0.002,1.913
0,3072,3,0.003,2.781
0,3072,4,0.004,3.601
0,3072,5,0.005,4.372
0,3072,6,0.006,5.124
0,3072,7,0.007,5.822
0,3072,8,0.008,6.462
0,3072,9,0.009,6.675
0,3072,10,0.010,7.162
0,3072,11,0.011,7.687
0,3072,12,0.012,8.293
0,3072,13,0.013,8.884
0,3072,14,0.014,9.332
0,3072,15,0.015,9.772
0,3072,16,0.016,10.209
0,3072,17,0.017,8.741
0,3072,18,0.018,8.930
0,3072,19,0.019,9.197
0,3072,20,0.020,9.357
0,3072,21,0.021,9.676
0,3072,22,0.022,9.706
0,3072,23,0.023,9.731
0,3072,24,0.024,9.385
0,3072,25,0.025,8.957
0,3072,26,0.026,8.809
0,3072,27,0.027,8.462
0,3072,28,0.028,8.223
0,3072,29,0.029,8.376
0,3072,30,0.030,8.000
0,3072,31,0.031,7.821
0,3072,32,0.032,7.589
0,4096,1,0.001,0.996
0,4096,2,0.003,1.930
0,4096,3,0.004,2.829
0,4096,4,0.005,3.689
0,4096,5,0.007,4.514
0,4096,6,0.008,5.004
0,4096,7,0.009,5.628
0,4096,8,0.010,6.296
0,4096,9,0.012,7.029
0,4096,10,0.013,7.590
0,4096,11,0.014,8.226
0,4096,12,0.016,7.080
0,4096,13,0.017,7.553
0,4096,14,0.018,7.896
0,4096,15,0.020,8.102
0,4096,16,0.021,8.356
0,4096,17,0.022,8.535
0,4096,18,0.023,8.423
0,4096,19,0.025,8.346
0,4096,20,0.026,8.428
0,4096,21,0.027,8.459
