is_concurrent,pop_size,num_species,mean_s_step_mean,speedup
0,512,1,0.000,1.021
0,512,2,0.001,1.430
0,512,3,0.001,1.649
0,512,4,0.001,1.789
0,512,5,0.001,1.903
0,512,6,0.002,1.987
0,512,7,0.002,2.019
0,512,8,0.002,2.053
0,512,9,0.002,2.079
0,512,10,0.003,2.095
0,512,11,0.003,2.101
0,512,12,0.003,2.141
0,512,13,0.003,2.154
0,512,14,0.004,2.168
0,512,15,0.004,2.180
0,512,16,0.004,2.200
0,512,17,0.005,2.199
0,512,18,0.005,2.191
0,512,19,0.005,2.217
0,512,20,0.005,2.221
0,512,21,0.006,2.222
0,512,22,0.006,2.236
0,512,23,0.006,2.236
0,512,24,0.006,2.243
0,512,25,0.007,2.245
0,512,26,0.007,2.252
0,512,27,0.007,2.256
0,512,28,0.007,2.266
0,512,29,0.008,2.263
0,512,30,0.008,2.261
0,512,31,0.008,2.265
0,512,32,0.009,2.271
