is_concurrent,pop_size,num_species,mean_s_step_mean,speedup
0,512,1,0.000,1.037
0,512,2,0.000,1.649
0,512,3,0.001,2.110
0,512,4,0.001,2.476
0,512,5,0.001,2.762
0,512,6,0.001,3.042
0,512,7,0.001,3.208
0,512,8,0.001,3.379
0,512,9,0.002,3.487
0,512,10,0.002,3.630
0,512,11,0.002,3.668
0,512,12,0.002,3.757
0,512,13,0.002,3.876
0,512,14,0.002,3.914
0,512,15,0.003,3.949
0,512,16,0.003,3.989
0,512,17,0.003,4.029
0,512,18,0.003,4.070
0,512,19,0.003,4.155
0,512,20,0.003,4.144
0,512,21,0.004,4.192
0,512,22,0.004,4.162
0,512,23,0.004,4.262
0,512,24,0.004,4.280
0,512,25,0.004,4.314
0,512,26,0.004,4.376
0,512,27,0.005,4.306
0,512,28,0.005,4.373
0,512,29,0.005,4.366
0,512,30,0.005,4.430
0,512,31,0.005,4.420
0,512,32,0.006,4.489
