is_concurrent,pop_size,num_species,mean_s_step_mean,speedup
0,128,1,0.000,1.004
0,128,2,0.000,1.150
0,128,3,0.000,1.235
0,128,4,0.001,1.274
0,128,5,0.001,1.309
0,128,6,0.001,1.327
0,128,7,0.001,1.337
0,128,8,0.001,1.331
0,128,9,0.001,1.334
0,128,10,0.001,1.342
0,128,11,0.002,1.344
0,128,12,0.002,1.345
0,128,13,0.002,1.346
0,128,14,0.002,1.352
0,128,15,0.002,1.343
0,128,16,0.002,1.349
0,128,17,0.002,1.347
0,128,18,0.003,1.350
0,128,19,0.003,1.348
0,128,20,0.003,1.350
0,128,21,0.003,1.349
0,128,22,0.003,1.346
0,128,23,0.003,1.349
0,128,24,0.003,1.350
0,128,25,0.004,1.352
0,128,26,0.004,1.352
0,128,27,0.004,1.352
0,128,28,0.004,1.352
0,128,29,0.004,1.347
0,128,30,0.004,1.358
0,128,31,0.004,1.355
0,128,32,0.004,1.348
0,256,1,0.000,1.002
0,256,2,0.000,1.276
0,256,3,0.001,1.413
0,256,4,0.001,1.495
0,256,5,0.001,1.558
0,256,6,0.001,1.598
0,256,7,0.001,1.619
0,256,8,0.001,1.636
0,256,9,0.002,1.643
0,256,10,0.002,1.655
0,256,11,0.002,1.655
0,256,12,0.002,1.673
0,256,13,0.002,1.671
0,256,14,0.003,1.681
0,256,15,0.003,1.680
0,256,16,0.003,1.688
0,256,17,0.003,1.686
0,256,18,0.003,1.694
0,256,19,0.003,1.695
0,256,20,0.004,1.704
0,256,21,0.004,1.704
0,256,22,0.004,1.701
0,256,23,0.004,1.696
0,256,24,0.004,1.707
0,256,25,0.005,1.704
0,256,26,0.005,1.707
0,256,27,0.005,1.706
0,256,28,0.005,1.707
0,256,29,0.005,1.710
0,256,30,0.005,1.702
0,256,31,0.006,1.711
0,256,32,0.006,1.699
0,384,1,0.000,1.001
0,384,2,0.000,1.348
0,384,3,0.001,1.538
0,384,4,0.001,1.658
0,384,5,0.001,1.738
0,384,6,0.001,1.793
0,384,7,0.002,1.836
0,384,8,0.002,1.845
0,384,9,0.002,1.877
0,384,10,0.002,1.906
0,384,11,0.002,1.908
0,384,12,0.003,1.928
0,384,13,0.003,1.939
0,384,14,0.003,1.940
0,384,15,0.003,1.944
0,384,16,0.004,1.962
0,384,17,0.004,1.966
0,384,18,0.004,1.966
0,384,19,0.004,1.976
0,384,20,0.004,1.979
0,384,21,0.005,1.982
0,384,22,0.005,1.982
0,384,23,0.005,1.984
0,384,24,0.005,1.992
0,384,25,0.006,2.001
0,384,26,0.006,2.000
0,384,27,0.006,2.005
0,384,28,0.006,2.009
0,384,29,0.006,2.004
0,384,30,0.007,2.005
0,384,31,0.007,2.006
0,384,32,0.007,2.016
0,512,1,0.000,1.004
0,512,2,0.001,1.408
0,512,3,0.001,1.635
0,512,4,0.001,1.781
0,512,5,0.001,1.889
0,512,6,0.002,1.969
0,512,7,0.002,2.017
0,512,8,0.002,2.051
0,512,9,0.002,2.073
0,512,10,0.003,2.107
0,512,11,0.003,2.120
0,512,12,0.003,2.142
0,512,13,0.003,2.166
0,512,14,0.004,2.172
0,512,15,0.004,2.194
0,512,16,0.004,2.197
0,512,17,0.005,2.209
0,512,18,0.005,2.214
0,512,19,0.005,2.223
0,512,20,0.005,2.225
0,512,21,0.006,2.227
0,512,22,0.006,2.229
0,512,23,0.006,2.244
0,512,24,0.006,2.251
0,512,25,0.007,2.249
0,512,26,0.007,2.253
0,512,27,0.007,2.259
0,512,28,0.007,2.269
0,512,29,0.008,2.269
0,512,30,0.008,2.265
0,512,31,0.008,2.273
0,512,32,0.009,2.285
0,640,1,0.000,1.002
0,640,2,0.001,1.476
0,640,3,0.001,1.791
0,640,4,0.001,1.999
0,640,5,0.002,2.144
0,640,6,0.002,2.246
0,640,7,0.002,2.322
0,640,8,0.003,2.361
0,640,9,0.003,2.435
0,640,10,0.003,2.488
0,640,11,0.004,2.509
0,640,12,0.004,2.540
0,640,13,0.004,2.564
0,640,14,0.005,2.596
0,640,15,0.005,2.610
0,640,16,0.005,2.612
0,640,17,0.006,2.633
0,640,18,0.006,2.653
0,640,19,0.006,2.646
0,640,20,0.007,2.679
0,640,21,0.007,2.682
0,640,22,0.007,2.702
0,640,23,0.008,2.697
0,640,24,0.008,2.726
0,640,25,0.008,2.721
0,640,26,0.009,2.736
0,640,27,0.009,2.745
0,640,28,0.010,2.745
0,640,29,0.010,2.755
0,640,30,0.010,2.742
0,640,31,0.011,2.752
0,640,32,0.011,2.763
0,768,1,0.000,1.004
0,768,2,0.001,1.526
0,768,3,0.001,1.867
0,768,4,0.002,2.090
0,768,5,0.002,2.252
0,768,6,0.002,2.390
0,768,7,0.003,2.495
0,768,8,0.003,2.550
0,768,9,0.003,2.612
0,768,10,0.004,2.676
0,768,11,0.004,2.706
0,768,12,0.005,2.754
0,768,13,0.005,2.788
0,768,14,0.005,2.815
0,768,15,0.006,2.844
0,768,16,0.006,2.829
0,768,17,0.007,2.828
0,768,18,0.007,2.838
0,768,19,0.007,2.865
0,768,20,0.008,2.871
0,768,21,0.008,2.885
0,768,22,0.009,2.907
0,768,23,0.009,2.920
0,768,24,0.009,2.938
0,768,25,0.010,2.948
0,768,26,0.010,2.944
0,768,27,0.011,2.966
0,768,28,0.011,2.966
0,768,29,0.011,2.986
0,768,30,0.012,2.969
0,768,31,0.012,3.005
0,768,32,0.012,3.000
0,896,1,0.000,1.012
0,896,2,0.001,1.536
0,896,3,0.001,1.925
0,896,4,0.002,2.182
0,896,5,0.002,2.382
0,896,6,0.003,2.522
0,896,7,0.003,2.613
0,896,8,0.003,2.724
0,896,9,0.004,2.797
0,896,10,0.004,2.851
0,896,11,0.005,2.901
0,896,12,0.005,2.919
0,896,13,0.006,2.991
0,896,14,0.006,3.025
0,896,15,0.007,3.061
0,896,16,0.007,3.080
0,896,17,0.007,3.108
0,896,18,0.008,3.133
0,896,19,0.008,3.145
0,896,20,0.009,3.167
0,896,21,0.009,3.179
0,896,22,0.010,3.200
0,896,23,0.010,3.192
0,896,24,0.010,3.212
0,896,25,0.011,3.227
0,896,26,0.011,3.244
0,896,27,0.012,3.256
0,896,28,0.012,3.261
0,896,29,0.013,3.272
0,896,30,0.013,3.279
0,896,31,0.013,3.287
0,896,32,0.014,3.294
0,1024,1,0.001,1.000
0,1024,2,0.001,1.568
0,1024,3,0.001,1.946
0,1024,4,0.002,2.215
0,1024,5,0.002,2.417
0,1024,6,0.003,2.571
0,1024,7,0.003,2.689
0,1024,8,0.004,2.778
0,1024,9,0.004,2.849
0,1024,10,0.005,2.925
0,1024,11,0.005,2.977
0,1024,12,0.006,3.030
0,1024,13,0.006,3.059
0,1024,14,0.007,3.096
0,1024,15,0.007,3.136
0,1024,16,0.008,3.157
0,1024,17,0.008,3.177
0,1024,18,0.009,3.199
0,1024,19,0.009,3.226
0,1024,20,0.010,3.243
0,1024,21,0.010,3.251
0,1024,22,0.011,3.274
0,1024,23,0.011,3.284
0,1024,24,0.012,3.304
0,1024,25,0.012,3.309
0,1024,26,0.013,3.334
0,1024,27,0.013,3.344
0,1024,28,0.014,3.359
0,1024,29,0.014,3.368
0,1024,30,0.015,3.361
0,1024,31,0.015,3.394
0,1024,32,0.016,3.405
