is_concurrent,pop_size,num_species,mean_s_step_mean,speedup
0,128,1,0.000,1.043
0,128,2,0.000,1.346
0,128,3,0.000,1.547
0,128,4,0.000,1.637
0,128,5,0.000,1.741
0,128,6,0.000,1.810
0,128,7,0.000,1.834
0,128,8,0.001,1.892
0,128,9,0.001,1.918
0,128,10,0.001,1.960
0,128,11,0.001,1.945
0,128,12,0.001,2.011
0,128,13,0.001,1.964
0,128,14,0.001,2.025
0,128,15,0.001,2.014
0,128,16,0.001,2.054
0,128,17,0.001,2.083
0,128,18,0.001,2.069
0,128,19,0.001,2.017
0,128,20,0.001,2.027
0,128,21,0.001,2.038
0,128,22,0.001,2.016
0,128,23,0.002,1.984
0,128,24,0.002,2.037
0,128,25,0.002,2.048
0,128,26,0.002,2.046
0,128,27,0.002,1.991
0,128,28,0.002,2.034
0,128,29,0.002,2.031
0,128,30,0.002,2.054
0,128,31,0.002,2.043
0,128,32,0.002,2.061
0,256,1,0.000,0.985
0,256,2,0.000,1.467
0,256,3,0.000,1.766
0,256,4,0.000,2.015
0,256,5,0.001,2.172
0,256,6,0.001,2.314
0,256,7,0.001,2.436
0,256,8,0.001,2.539
0,256,9,0.001,2.554
0,256,10,0.001,2.637
0,256,11,0.001,2.665
0,256,12,0.001,2.739
0,256,13,0.001,2.749
0,256,14,0.001,2.759
0,256,15,0.002,2.840
0,256,16,0.002,2.831
0,256,17,0.002,2.873
0,256,18,0.002,2.874
0,256,19,0.002,2.901
0,256,20,0.002,2.907
0,256,21,0.002,2.921
0,256,22,0.002,2.914
0,256,23,0.002,2.935
0,256,24,0.002,2.923
0,256,25,0.003,2.921
0,256,26,0.003,2.945
0,256,27,0.003,2.945
0,256,28,0.003,2.944
0,256,29,0.003,2.920
0,256,30,0.003,2.954
0,256,31,0.003,2.966
0,256,32,0.003,2.986
0,384,1,0.000,0.999
0,384,2,0.000,1.557
0,384,3,0.000,1.957
0,384,4,0.001,2.262
0,384,5,0.001,2.515
0,384,6,0.001,2.711
0,384,7,0.001,2.882
0,384,8,0.001,3.022
0,384,9,0.001,3.124
0,384,10,0.001,3.216
0,384,11,0.002,3.289
0,384,12,0.002,3.373
0,384,13,0.002,3.425
0,384,14,0.002,3.492
0,384,15,0.002,3.540
0,384,16,0.002,3.572
0,384,17,0.002,3.572
0,384,18,0.002,3.627
0,384,19,0.003,3.600
0,384,20,0.003,3.652
0,384,21,0.003,3.663
0,384,22,0.003,3.715
0,384,23,0.003,3.726
0,384,24,0.003,3.746
0,384,25,0.003,3.761
0,384,26,0.004,3.740
0,384,27,0.004,3.767
0,384,28,0.004,3.828
0,384,29,0.004,3.808
0,384,30,0.004,3.840
0,384,31,0.004,3.866
0,384,32,0.004,3.843
0,512,1,0.000,1.008
0,512,2,0.000,1.629
0,512,3,0.001,2.128
0,512,4,0.001,2.522
0,512,5,0.001,2.809
0,512,6,0.001,3.052
0,512,7,0.001,3.278
0,512,8,0.001,3.442
0,512,9,0.002,3.610
0,512,10,0.002,3.735
0,512,11,0.002,3.839
0,512,12,0.002,3.935
0,512,13,0.002,4.019
0,512,14,0.002,4.097
0,512,15,0.003,4.185
0,512,16,0.003,4.219
0,512,17,0.003,4.246
0,512,18,0.003,4.315
0,512,19,0.003,4.310
0,512,20,0.003,4.359
0,512,21,0.004,4.354
0,512,22,0.004,4.390
0,512,23,0.004,4.423
0,512,24,0.004,4.457
0,512,25,0.004,4.479
0,512,26,0.004,4.480
0,512,27,0.005,4.505
0,512,28,0.005,4.585
0,512,29,0.005,4.520
0,512,30,0.005,4.565
0,512,31,0.005,4.597
0,512,32,0.005,4.651
0,640,1,0.000,1.001
0,640,2,0.000,1.709
0,640,3,0.001,2.278
0,640,4,0.001,2.763
0,640,5,0.001,3.155
0,640,6,0.001,3.496
0,640,7,0.002,3.777
0,640,8,0.002,3.990
0,640,9,0.002,4.234
0,640,10,0.002,4.432
0,640,11,0.003,4.582
0,640,12,0.003,4.749
0,640,13,0.003,4.881
0,640,14,0.003,5.004
0,640,15,0.003,5.117
0,640,16,0.004,5.220
0,640,17,0.004,5.276
0,640,18,0.004,5.357
0,640,19,0.004,5.385
0,640,20,0.005,5.498
0,640,21,0.005,5.547
0,640,22,0.005,5.593
0,640,23,0.005,5.654
0,640,24,0.006,5.725
0,640,25,0.006,5.712
0,640,26,0.006,5.750
0,640,27,0.006,5.747
0,640,28,0.007,5.865
0,640,29,0.007,5.855
0,640,30,0.007,5.844
0,640,31,0.007,5.947
0,640,32,0.007,5.991
0,768,1,0.000,0.993
0,768,2,0.001,1.740
0,768,3,0.001,2.364
0,768,4,0.001,2.886
0,768,5,0.001,3.257
0,768,6,0.002,3.698
0,768,7,0.002,4.038
0,768,8,0.002,4.339
0,768,9,0.002,4.573
0,768,10,0.003,4.791
0,768,11,0.003,4.986
0,768,12,0.003,5.182
0,768,13,0.004,5.298
0,768,14,0.004,5.483
0,768,15,0.004,5.627
0,768,16,0.004,5.679
0,768,17,0.005,5.471
0,768,18,0.005,5.566
0,768,19,0.005,5.643
0,768,20,0.006,5.790
0,768,21,0.006,5.843
0,768,22,0.006,5.869
0,768,23,0.006,5.898
0,768,24,0.007,6.027
0,768,25,0.007,6.091
0,768,26,0.007,6.174
0,768,27,0.007,6.177
0,768,28,0.008,6.265
0,768,29,0.008,6.345
0,768,30,0.008,6.366
0,768,31,0.009,6.528
0,768,32,0.009,6.504
0,896,1,0.000,0.998
0,896,2,0.001,1.771
0,896,3,0.001,2.430
0,896,4,0.001,2.992
0,896,5,0.002,3.391
0,896,6,0.002,3.879
0,896,7,0.002,4.245
0,896,8,0.003,4.579
0,896,9,0.003,4.859
0,896,10,0.003,5.117
0,896,11,0.003,5.326
0,896,12,0.004,5.599
