is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,100000,1,0.0438166
0,0,100000,2,0.0877256
0,0,100000,3,0.131111
0,0,100000,4,0.174921
0,0,100000,5,0.218718
0,0,100000,6,0.262535
0,0,100000,7,0.306349
0,0,100000,8,0.350172
0,1,100000,1,0.0437173
0,1,100000,2,0.0873849
0,1,100000,3,0.131102
0,1,100000,4,0.174913
0,1,100000,5,0.21872
0,1,100000,6,0.262535
0,1,100000,7,0.306346
0,1,100000,8,0.350163
0,2,100000,1,0.0437146
0,2,100000,2,0.0873818
0,2,100000,3,0.131103
0,2,100000,4,0.17491
0,2,100000,5,0.219202
0,2,100000,6,0.263106
0,2,100000,7,0.307132
0,2,100000,8,0.351102
1,0,100000,1,0.0439154
1,0,100000,2,0.0876864
1,0,100000,3,0.131516
1,0,100000,4,0.174665
1,0,100000,5,0.218387
1,0,100000,6,0.262111
1,0,100000,7,0.305845
1,0,100000,8,0.350836
1,1,100000,1,0.0439191
1,1,100000,2,0.0876981
1,1,100000,3,0.130934
1,1,100000,4,0.174665
1,1,100000,5,0.218389
1,1,100000,6,0.262804
1,1,100000,7,0.306408
1,1,100000,8,0.351
1,2,100000,1,0.0439154
1,2,100000,2,0.0876906
1,2,100000,3,0.131502
1,2,100000,4,0.174664
1,2,100000,5,0.218382
1,2,100000,6,0.262111
1,2,100000,7,0.305845
1,2,100000,8,0.349589
