is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,1024,1,0.000463371
0,0,1024,2,0.000897541
0,0,1024,3,0.00132948
0,0,1024,4,0.0017628
0,0,1024,5,0.00219944
0,0,1024,6,0.0026405
0,0,1024,7,0.00307277
0,0,1024,8,0.00350883
0,0,1024,9,0.00394225
0,0,1024,10,0.00436778
0,0,1024,11,0.00480062
0,0,1024,12,0.00523765
0,0,1024,13,0.00567418
0,0,1024,14,0.00611295
0,0,1024,15,0.00654597
0,0,1024,16,0.00697972
0,0,1024,17,0.00743446
0,0,1024,18,0.0078623
0,0,1024,19,0.00830972
0,0,1024,20,0.00873437
0,0,1024,21,0.00917818
0,0,1024,22,0.00960946
0,0,1024,23,0.0100526
0,0,1024,24,0.0104866
0,0,1024,25,0.0109371
0,0,1024,26,0.0113698
0,0,1024,27,0.0117982
0,0,1024,28,0.01223
0,0,1024,29,0.0126653
0,0,1024,30,0.0130944
0,0,1024,31,0.0135389
0,0,1024,32,0.0139649
0,0,2048,1,0.00080725
0,0,2048,2,0.00158073
0,0,2048,3,0.00235694
0,0,2048,4,0.00313328
0,0,2048,5,0.0039085
0,0,2048,6,0.0046858
0,0,2048,7,0.00546249
0,0,2048,8,0.00624363
0,0,2048,9,0.00702142
0,0,2048,10,0.007797
0,0,2048,11,0.00857499
0,0,2048,12,0.00935966
0,0,2048,13,0.010129
0,0,2048,14,0.0109065
0,0,2048,15,0.0116876
0,0,2048,16,0.01245
0,0,2048,17,0.0132498
0,0,2048,18,0.014007
0,0,2048,19,0.0147385
0,0,2048,20,0.0155183
0,0,2048,21,0.0162904
0,0,2048,22,0.0170215
0,0,2048,23,0.0177951
0,0,2048,24,0.0185805
0,0,2048,25,0.019355
0,0,2048,26,0.0201432
0,0,2048,27,0.0209568
0,0,2048,28,0.0217474
0,0,2048,29,0.0225295
0,0,2048,30,0.0232752
0,0,2048,31,0.0240932
0,0,2048,32,0.0248649
0,0,3072,1,0.00114304
0,0,3072,2,0.00225596
0,0,3072,3,0.00337029
0,0,3072,4,0.00447865
0,0,3072,5,0.00559363
0,0,3072,6,0.00670935
0,0,3072,7,0.00781709
0,0,3072,8,0.00893728
0,0,3072,9,0.0100502
0,0,3072,10,0.0111552
0,0,3072,11,0.0122694
0,0,3072,12,0.0133976
0,0,3072,13,0.0145003
0,0,3072,14,0.0156046
0,0,3072,15,0.0167068
0,0,3072,16,0.0178272
0,0,3072,17,0.018963
0,0,3072,18,0.0200847
0,0,3072,19,0.0212083
0,0,3072,20,0.0223275
0,0,3072,21,0.0234519
0,0,3072,22,0.0245714
0,0,3072,23,0.0256924
0,0,3072,24,0.0268153
0,0,3072,25,0.0279384
0,0,3072,26,0.0290734
0,0,3072,27,0.0302195
0,0,3072,28,0.0313832
0,0,3072,29,0.0324165
0,0,3072,30,0.0335479
0,0,3072,31,0.0347088
0,0,3072,32,0.0357764
0,0,4096,1,0.00148281
0,0,4096,2,0.00293098
0,0,4096,3,0.00437605
0,0,4096,4,0.00582096
0,0,4096,5,0.00726793
0,0,4096,6,0.00871632
0,0,4096,7,0.0101723
0,0,4096,8,0.0116257
0,0,4096,9,0.0130769
0,0,4096,10,0.0145453
0,0,4096,11,0.0159978
0,0,4096,12,0.0174446
0,0,4096,13,0.0189058
0,0,4096,14,0.0203504
0,0,4096,15,0.0218073
0,0,4096,16,0.0232703
0,0,4096,17,0.0247465
0,0,4096,18,0.0261844
0,0,4096,19,0.0276474
0,0,4096,20,0.0291218
0,0,4096,21,0.0305945
0,0,4096,22,0.0320565
0,0,4096,23,0.0335019
0,0,4096,24,0.0349623
0,0,4096,25,0.036412
0,0,4096,26,0.0378669
0,0,4096,27,0.0393212
0,0,4096,28,0.0407943
0,0,4096,29,0.042236
0,0,4096,30,0.0436932
0,0,4096,31,0.0451506
0,0,4096,32,0.0466068
0,0,5120,1,0.0018668
0,0,5120,2,0.0036967
0,0,5120,3,0.00552849
0,0,5120,4,0.00735865
0,0,5120,5,0.00918926
0,0,5120,6,0.0110443
0,0,5120,7,0.0128906
0,0,5120,8,0.0147272
0,0,5120,9,0.0165666
0,0,5120,10,0.0184059
0,0,5120,11,0.0202467
0,0,5120,12,0.0220881
0,0,5120,13,0.0239365
0,0,5120,14,0.0257717
0,0,5120,15,0.0276325
0,0,5120,16,0.0294779
0,0,5120,17,0.0313311
0,0,5120,18,0.0331917
0,0,5120,19,0.0350561
0,0,5120,20,0.0370201
0,0,5120,21,0.0387893
0,0,5120,22,0.0407617
0,0,5120,23,0.0427209
0,0,5120,24,0.0446715
0,0,5120,25,0.0466884
0,0,5120,26,0.0486874
0,0,5120,27,0.0505949
0,0,5120,28,0.052603
0,0,5120,29,0.0547628
0,0,5120,30,0.0566785
0,0,5120,31,0.0587324
0,0,5120,32,0.0607156
0,0,6144,1,0.00220505
0,0,6144,2,0.00437015
0,0,6144,3,0.00654102
0,0,6144,4,0.00871084
0,0,6144,5,0.0108931
0,0,6144,6,0.0130572
0,0,6144,7,0.0152484
0,0,6144,8,0.0174148
0,0,6144,9,0.0195945
0,0,6144,10,0.0217773
0,0,6144,11,0.0239536
0,0,6144,12,0.0261256
0,0,6144,13,0.0283118
0,0,6144,14,0.0304794
0,0,6144,15,0.032662
0,0,6144,16,0.0348271
0,0,6144,17,0.0370141
0,0,6144,18,0.0391959
0,0,6144,19,0.0413749
0,0,6144,20,0.0435537
0,0,6144,21,0.0457097
0,0,6144,22,0.047906
0,0,6144,23,0.0500754
