is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,1024,1,0.000370064
0,0,1024,2,0.000711328
0,0,1024,3,0.00104825
0,0,1024,4,0.00138631
0,0,1024,5,0.00172544
0,0,1024,6,0.00206496
0,0,1024,7,0.00240645
0,0,1024,8,0.0027505
0,0,1024,9,0.0030917
0,0,1024,10,0.0034357
0,0,1024,11,0.00377833
0,0,1024,12,0.00411771
0,0,1024,13,0.00446298
0,0,1024,14,0.00480025
0,0,1024,15,0.00514361
0,0,1024,16,0.00548049
0,0,1024,17,0.00583501
0,0,1024,18,0.00616395
0,0,1024,19,0.00649837
0,0,1024,20,0.00685302
0,0,1024,21,0.00719745
0,0,1024,22,0.0075296
0,0,1024,23,0.0078678
0,0,1024,24,0.00820815
0,0,1024,25,0.00855555
0,0,1024,26,0.00890263
0,0,1024,27,0.00924133
0,0,1024,28,0.00958782
0,0,1024,29,0.00991808
0,0,1024,30,0.0102761
0,0,1024,31,0.0106079
0,0,1024,32,0.0109534
0,0,2048,1,0.000688027
0,0,2048,2,0.00134905
0,0,2048,3,0.00200785
0,0,2048,4,0.00266777
0,0,2048,5,0.00333096
0,0,2048,6,0.00398516
0,0,2048,7,0.00465137
0,0,2048,8,0.00531152
0,0,2048,9,0.00597887
0,0,2048,10,0.00663963
0,0,2048,11,0.00729619
0,0,2048,12,0.00796571
0,0,2048,13,0.00862115
0,0,2048,14,0.00928546
0,0,2048,15,0.00994625
0,0,2048,16,0.0106104
0,0,2048,17,0.0112686
0,0,2048,18,0.0119301
0,0,2048,19,0.0125918
0,0,2048,20,0.0132507
0,0,2048,21,0.0139177
0,0,2048,22,0.0145768
0,0,2048,23,0.0152426
0,0,2048,24,0.0159013
0,0,2048,25,0.0165674
0,0,2048,26,0.017236
0,0,2048,27,0.0179027
0,0,2048,28,0.0185625
0,0,2048,29,0.0192256
0,0,2048,30,0.0198932
0,0,2048,31,0.0205607
0,0,2048,32,0.0212276
0,0,3072,1,0.00100926
0,0,3072,2,0.00199122
0,0,3072,3,0.00297261
0,0,3072,4,0.00395222
0,0,3072,5,0.00493149
0,0,3072,6,0.00591467
0,0,3072,7,0.00689839
0,0,3072,8,0.00788111
0,0,3072,9,0.00886784
0,0,3072,10,0.00984872
0,0,3072,11,0.0108388
0,0,3072,12,0.0118146
0,0,3072,13,0.0128045
0,0,3072,14,0.0137805
0,0,3072,15,0.0147687
0,0,3072,16,0.0157514
0,0,3072,17,0.0167323
0,0,3072,18,0.0177298
0,0,3072,19,0.0187057
0,0,3072,20,0.0196975
0,0,3072,21,0.0206817
0,0,3072,22,0.0216914
0,0,3072,23,0.0227193
0,0,3072,24,0.0236618
0,0,3072,25,0.0247091
0,0,3072,26,0.0256495
0,0,3072,27,0.026713
0,0,3072,28,0.0277137
0,0,3072,29,0.0288591
0,0,3072,30,0.0298703
0,0,3072,31,0.030817
0,0,3072,32,0.0320127
0,0,4096,1,0.00133017
0,0,4096,2,0.00263285
0,0,4096,3,0.00393342
0,0,4096,4,0.0052356
0,0,4096,5,0.00653455
0,0,4096,6,0.00784212
0,0,4096,7,0.00914543
0,0,4096,8,0.0104444
0,0,4096,9,0.0117524
0,0,4096,10,0.0130603
0,0,4096,11,0.0143664
0,0,4096,12,0.0156703
0,0,4096,13,0.0169694
0,0,4096,14,0.018279
0,0,4096,15,0.0195842
0,0,4096,16,0.0208889
0,0,4096,17,0.0221948
0,0,4096,18,0.0235092
0,0,4096,19,0.0248245
0,0,4096,20,0.0261319
0,0,4096,21,0.0274505
0,0,4096,22,0.0287635
0,0,4096,23,0.0300737
0,0,4096,24,0.0313884
0,0,4096,25,0.032701
0,0,4096,26,0.0340148
0,0,4096,27,0.0353204
0,0,4096,28,0.0366396
0,0,4096,29,0.037952
0,0,4096,30,0.0392611
0,0,4096,31,0.0405822
0,0,4096,32,0.0418803
0,0,5120,1,0.00165179
0,0,5120,2,0.00327337
0,0,5120,3,0.0048969
0,0,5120,4,0.00651773
0,0,5120,5,0.00814035
0,0,5120,6,0.00976116
0,0,5120,7,0.0113846
0,0,5120,8,0.013015
0,0,5120,9,0.0146385
0,0,5120,10,0.0162688
0,0,5120,11,0.0178932
0,0,5120,12,0.0195234
0,0,5120,13,0.0211485
0,0,5120,14,0.0227774
0,0,5120,15,0.0244046
0,0,5120,16,0.0260347
0,0,5120,17,0.0276679
0,0,5120,18,0.0293001
0,0,5120,19,0.0309291
0,0,5120,20,0.0325653
0,0,5120,21,0.0341989
0,0,5120,22,0.0358333
0,0,5120,23,0.0374678
0,0,5120,24,0.0391053
0,0,5120,25,0.0407372
0,0,5120,26,0.0423657
0,0,5120,27,0.0440087
0,0,5120,28,0.0456334
0,0,5120,29,0.0472673
0,0,5120,30,0.048899
0,0,5120,31,0.0505246
0,0,5120,32,0.0521512
0,0,6144,1,0.00197172
0,0,6144,2,0.00391684
0,0,6144,3,0.00585661
0,0,6144,4,0.00781023
0,0,6144,5,0.00974818
0,0,6144,6,0.0116876
0,0,6144,7,0.0136323
0,0,6144,8,0.0155769
0,0,6144,9,0.0175285
0,0,6144,10,0.019473
0,0,6144,11,0.0214296
0,0,6144,12,0.0233793
0,0,6144,13,0.0253539
0,0,6144,14,0.0272949
0,0,6144,15,0.0292956
0,0,6144,16,0.0314087
0,0,6144,17,0.0335039
0,0,6144,18,0.0357603
0,0,6144,19,0.0378967
0,0,6144,20,0.0400309
0,0,6144,21,0.0420827
0,0,6144,22,0.0441681
0,0,6144,23,0.0465216
0,0,6144,24,0.0485942
0,0,6144,25,0.0506029
0,0,6144,26,0.0526527
0,0,6144,27,0.0546471
0,0,6144,28,0.0567667
0,0,6144,29,0.0586765
0,0,6144,30,0.0609238
0,0,6144,31,0.063021
0,0,6144,32,0.065048
0,0,7168,1,0.00229121
0,0,7168,2,0.00455637
0,0,7168,3,0.00681953
0,0,7168,4,0.00908553
0,0,7168,5,0.0113485
0,0,7168,6,0.0136129
0,0,7168,7,0.0158762
0,0,7168,8,0.0181369
0,0,7168,9,0.0204061
0,0,7168,10,0.0226847
0,0,7168,11,0.024959
0,0,7168,12,0.0272288
0,0,7168,13,0.0295001
0,0,7168,14,0.0317697
0,0,7168,15,0.0340439
0,0,7168,16,0.0363226
0,0,7168,17,0.0385975
0,0,7168,18,0.0408732
0,0,7168,19,0.0431437
0,0,7168,20,0.045414
0,0,7168,21,0.0476878
0,0,7168,22,0.0499601
0,0,7168,23,0.0522335
0,0,7168,24,0.0545106
0,0,7168,25,0.056782
0,0,7168,26,0.0590508
0,0,7168,27,0.0613155
0,0,7168,28,0.0635905
0,0,7168,29,0.0658604
0,0,7168,30,0.0681424
0,0,7168,31,0.0704151
