is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,2048,1,0.000852429
0,0,2048,9,0.00711616
0,0,2048,17,0.0134557
0,0,2048,25,0.0196597
0,0,2048,33,0.0260315
0,0,2048,41,0.0324
0,0,2048,49,0.0387358
0,0,2048,57,0.0450376
0,0,2048,65,0.0513689
0,0,2048,73,0.0577031
0,0,2048,81,0.0640921
0,0,2048,89,0.0703625
0,0,2048,97,0.0767425
0,0,2048,105,0.0827096
0,0,2048,113,0.0890553
0,0,2048,121,0.0953814
0,0,4096,1,0.00152755
0,0,4096,9,0.0132516
0,0,4096,17,0.0250127
0,0,4096,25,0.0368
0,0,4096,33,0.0486071
0,0,4096,41,0.0603693
0,0,4096,49,0.0721669
0,0,4096,57,0.0839307
0,0,4096,65,0.0959219
0,0,4096,73,0.108078
0,0,4096,81,0.120272
0,0,4096,89,0.132542
0,0,4096,97,0.144825
0,0,4096,105,0.157081
0,0,4096,113,0.169504
0,0,4096,121,0.181599
0,0,6144,1,0.00224882
0,0,6144,9,0.0198168
0,0,6144,17,0.0373857
0,0,6144,25,0.0550022
0,0,6144,33,0.0726018
0,0,6144,41,0.0902243
0,0,6144,49,0.108363
0,0,6144,57,0.12664
0,0,6144,65,0.145061
0,0,6144,73,0.16329
0,0,6144,81,0.181653
0,0,6144,89,0.20004
0,0,6144,97,0.218314
0,0,6144,105,0.236639
0,0,6144,113,0.255164
0,0,6144,121,0.273356
0,0,8192,1,0.00293009
0,0,8192,9,0.0259445
0,0,8192,17,0.0490277
0,0,8192,25,0.0724479
0,0,8192,33,0.0961087
0,0,8192,41,0.120234
0,0,8192,49,0.144481
0,0,8192,57,0.168724
0,0,8192,65,0.193065
0,0,8192,73,0.217175
0,0,8192,81,0.241483
0,0,8192,89,0.265722
0,0,8192,97,0.289914
0,0,8192,105,0.314193
0,0,8192,113,0.338465
0,0,8192,121,0.362719
0,1,2048,1,0.000846623
0,1,2048,9,0.00714473
0,1,2048,17,0.0134278
0,1,2048,25,0.0196073
0,1,2048,33,0.025957
0,1,2048,41,0.0322579
0,1,2048,49,0.0391704
0,1,2048,57,0.0454632
0,1,2048,65,0.0517912
0,1,2048,73,0.0581244
0,1,2048,81,0.064388
0,1,2048,89,0.0706848
0,1,2048,97,0.0770175
0,1,2048,105,0.0834002
0,1,2048,113,0.0897014
0,1,2048,121,0.0960373
0,1,4096,1,0.00152785
0,1,4096,9,0.0132467
0,1,4096,17,0.0250178
0,1,4096,25,0.0368107
0,1,4096,33,0.0485989
0,1,4096,41,0.0603906
0,1,4096,49,0.0721491
0,1,4096,57,0.0838999
0,1,4096,65,0.0958518
0,1,4096,73,0.108053
0,1,4096,81,0.120292
0,1,4096,89,0.132538
0,1,4096,97,0.144865
0,1,4096,105,0.157141
0,1,4096,113,0.169499
0,1,4096,121,0.181712
0,1,6144,1,0.00224807
0,1,6144,9,0.0198219
0,1,6144,17,0.0374211
0,1,6144,25,0.0550165
0,1,6144,33,0.0725922
0,1,6144,41,0.0902178
0,1,6144,49,0.108354
0,1,6144,57,0.126677
0,1,6144,65,0.144973
0,1,6144,73,0.163296
0,1,6144,81,0.181695
0,1,6144,89,0.20005
0,1,6144,97,0.218372
0,1,6144,105,0.236693
0,1,6144,113,0.255088
0,1,6144,121,0.273314
0,1,8192,1,0.00293367
0,1,8192,9,0.0259564
0,1,8192,17,0.0490296
0,1,8192,25,0.0724538
0,1,8192,33,0.096069
0,1,8192,41,0.120252
0,1,8192,49,0.14449
0,1,8192,57,0.168685
0,1,8192,65,0.192985
0,1,8192,73,0.217273
0,1,8192,81,0.241417
0,1,8192,89,0.265638
0,1,8192,97,0.289952
0,1,8192,105,0.314077
0,1,8192,113,0.338381
0,1,8192,121,0.362592
0,2,2048,1,0.000844851
0,2,2048,9,0.00713762
0,2,2048,17,0.0134505
0,2,2048,25,0.0196163
0,2,2048,33,0.0259459
0,2,2048,41,0.0322579
0,2,2048,49,0.0386032
0,2,2048,57,0.0448883
0,2,2048,65,0.0512111
0,2,2048,73,0.0575404
0,2,2048,81,0.0638453
0,2,2048,89,0.0700943
0,2,2048,97,0.0763509
0,2,2048,105,0.0827892
0,2,2048,113,0.0890386
0,2,2048,121,0.0954314
0,2,4096,1,0.00152792
0,2,4096,9,0.0132527
0,2,4096,17,0.0250181
0,2,4096,25,0.036819
0,2,4096,33,0.0485903
0,2,4096,41,0.0603388
0,2,4096,49,0.0721247
0,2,4096,57,0.0838532
0,2,4096,65,0.0957805
0,2,4096,73,0.107965
0,2,4096,81,0.120167
0,2,4096,89,0.132413
0,2,4096,97,0.144716
0,2,4096,105,0.156993
0,2,4096,113,0.169342
0,2,4096,121,0.181526
0,2,6144,1,0.00224684
0,2,6144,9,0.0198105
0,2,6144,17,0.0373819
0,2,6144,25,0.0549657
0,2,6144,33,0.0725319
0,2,6144,41,0.0901223
0,2,6144,49,0.108286
0,2,6144,57,0.126581
0,2,6144,65,0.144895
0,2,6144,73,0.163116
0,2,6144,81,0.181466
0,2,6144,89,0.199863
0,2,6144,97,0.218117
0,2,6144,105,0.236484
0,2,6144,113,0.254702
0,2,6144,121,0.274709
0,2,8192,1,0.00292744
0,2,8192,9,0.0259131
0,2,8192,17,0.0489422
0,2,8192,25,0.0723645
0,2,8192,33,0.0959832
0,2,8192,41,0.120073
0,2,8192,49,0.144286
0,2,8192,57,0.168483
0,2,8192,65,0.192711
