is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,2048,1,0.000732314
0,0,2048,9,0.00608749
0,0,2048,17,0.0114499
0,0,2048,25,0.0168143
0,0,2048,33,0.0222068
0,0,2048,41,0.0276454
0,0,2048,49,0.0331653
0,0,2048,57,0.0387001
0,0,2048,65,0.0441364
0,0,2048,73,0.0495793
0,0,2048,81,0.0550134
0,0,2048,89,0.0604573
0,0,2048,97,0.0658967
0,0,2048,105,0.0710437
0,0,2048,113,0.0764828
0,0,2048,121,0.0819148
0,0,4096,1,0.00137089
0,0,4096,9,0.0119283
0,0,4096,17,0.0225024
0,0,4096,25,0.0331143
0,0,4096,33,0.0437456
0,0,4096,41,0.0543852
0,0,4096,49,0.0649996
0,0,4096,57,0.075614
0,0,4096,65,0.0863818
0,0,4096,73,0.0973835
0,0,4096,81,0.108413
0,0,4096,89,0.119498
0,0,4096,97,0.130622
0,0,4096,105,0.141694
0,0,4096,113,0.152821
0,0,4096,121,0.163895
0,0,6144,1,0.00201741
0,0,6144,9,0.0177631
0,0,6144,17,0.034006
0,0,6144,25,0.0509477
0,0,6144,33,0.067738
0,0,6144,41,0.084411
0,0,6144,49,0.101521
0,0,6144,57,0.118849
0,0,6144,65,0.136193
0,0,6144,73,0.153366
0,0,6144,81,0.170602
0,0,6144,89,0.187962
0,0,6144,97,0.205149
0,0,6144,105,0.222435
0,0,6144,113,0.239749
0,0,6144,121,0.256924
0,0,8192,1,0.00266299
0,0,8192,9,0.023573
0,0,8192,17,0.0445593
0,0,8192,25,0.0655493
0,0,8192,33,0.0867276
0,0,8192,41,0.108574
0,0,8192,49,0.130547
0,0,8192,57,0.152525
0,0,8192,65,0.174496
0,0,8192,73,0.196402
0,0,8192,81,0.218389
0,0,8192,89,0.240341
0,0,8192,97,0.262374
0,0,8192,105,0.284284
0,0,8192,113,0.306237
0,0,8192,121,0.328254
0,1,2048,1,0.000732088
0,1,2048,9,0.00608925
0,1,2048,17,0.0114433
0,1,2048,25,0.0168199
0,1,2048,33,0.0222089
0,1,2048,41,0.0276404
0,1,2048,49,0.0337355
0,1,2048,57,0.0391673
0,1,2048,65,0.044609
0,1,2048,73,0.0500114
0,1,2048,81,0.0554292
0,1,2048,89,0.0608307
0,1,2048,97,0.0662701
0,1,2048,105,0.0716845
0,1,2048,113,0.0771049
0,1,2048,121,0.0826618
0,1,4096,1,0.00136989
0,1,4096,9,0.0119141
0,1,4096,17,0.0224728
0,1,4096,25,0.0330903
0,1,4096,33,0.0437052
0,1,4096,41,0.0543421
0,1,4096,49,0.0649405
0,1,4096,57,0.0755701
0,1,4096,65,0.0863205
0,1,4096,73,0.0973293
0,1,4096,81,0.108365
0,1,4096,89,0.119446
0,1,4096,97,0.130577
0,1,4096,105,0.141665
0,1,4096,113,0.152801
0,1,4096,121,0.163867
0,1,6144,1,0.00201767
0,1,6144,9,0.0177632
0,1,6144,17,0.0339817
0,1,6144,25,0.0511505
0,1,6144,33,0.0678984
0,1,6144,41,0.084488
0,1,6144,49,0.101725
0,1,6144,57,0.118883
0,1,6144,65,0.136185
0,1,6144,73,0.153391
0,1,6144,81,0.17065
0,1,6144,89,0.187974
0,1,6144,97,0.205155
0,1,6144,105,0.222446
0,1,6144,113,0.239732
0,1,6144,121,0.256932
0,1,8192,1,0.00266325
0,1,8192,9,0.0235711
0,1,8192,17,0.0445683
0,1,8192,25,0.0655527
0,1,8192,33,0.0867285
0,1,8192,41,0.108566
0,1,8192,49,0.130563
0,1,8192,57,0.152533
0,1,8192,65,0.174498
0,1,8192,73,0.196409
0,1,8192,81,0.218387
0,1,8192,89,0.240337
0,1,8192,97,0.262371
0,1,8192,105,0.284292
0,1,8192,113,0.306267
0,1,8192,121,0.328262
0,2,2048,1,0.00073218
0,2,2048,9,0.00608407
0,2,2048,17,0.0114467
0,2,2048,25,0.016812
0,2,2048,33,0.0222046
0,2,2048,41,0.0276551
0,2,2048,49,0.0330891
0,2,2048,57,0.0385478
0,2,2048,65,0.0439533
0,2,2048,73,0.0493752
0,2,2048,81,0.0547774
0,2,2048,89,0.0601945
0,2,2048,97,0.0656037
0,2,2048,105,0.0710382
0,2,2048,113,0.0764803
0,2,2048,121,0.0818758
0,2,4096,1,0.00137032
0,2,4096,9,0.0119227
0,2,4096,17,0.0224845
0,2,4096,25,0.0330916
0,2,4096,33,0.0437205
0,2,4096,41,0.05433
0,2,4096,49,0.0649483
0,2,4096,57,0.0755664
0,2,4096,65,0.0863178
0,2,4096,73,0.0973323
0,2,4096,81,0.108371
0,2,4096,89,0.119463
0,2,4096,97,0.130575
0,2,4096,105,0.141644
0,2,4096,113,0.152728
0,2,4096,121,0.163899
0,2,6144,1,0.00201739
0,2,6144,9,0.0177604
0,2,6144,17,0.0339939
0,2,6144,25,0.0513093
0,2,6144,33,0.0677751
0,2,6144,41,0.0844042
0,2,6144,49,0.10164
0,2,6144,57,0.118913
0,2,6144,65,0.136192
0,2,6144,73,0.153372
0,2,6144,81,0.170606
0,2,6144,89,0.187972
0,2,6144,97,0.205157
0,2,6144,105,0.222448
0,2,6144,113,0.239743
0,2,6144,121,0.258896
