is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,512,1,0.000194753
0,0,512,2,0.00035776
0,0,512,3,0.000519995
0,0,512,4,0.000684822
0,0,512,5,0.000850396
0,0,512,6,0.00101371
0,0,512,7,0.00118065
0,0,512,8,0.00134672
0,0,512,9,0.00151579
0,0,512,10,0.00168872
0,0,512,11,0.00185176
0,0,512,12,0.00201224
0,0,512,13,0.00217501
0,0,512,14,0.00234564
0,0,512,15,0.0025037
0,0,512,16,0.00266913
0,0,512,17,0.00283277
0,0,512,18,0.00300101
0,0,512,19,0.0031646
0,0,512,20,0.00333804
0,0,512,21,0.00350237
0,0,512,22,0.00366373
0,0,512,23,0.0038436
0,0,512,24,0.0039951
0,0,512,25,0.0041718
0,0,512,26,0.00433037
0,0,512,27,0.00450465
0,0,512,28,0.00466403
0,0,512,29,0.0048491
0,0,512,30,0.00499774
0,0,512,31,0.00516596
0,0,512,32,0.00533101
0,1,512,1,0.000193485
0,1,512,2,0.000358041
0,1,512,3,0.000520196
0,1,512,4,0.000684178
0,1,512,5,0.000844933
0,1,512,6,0.00101144
0,1,512,7,0.00117452
0,1,512,8,0.00134423
0,1,512,9,0.00151235
0,1,512,10,0.00168016
0,1,512,11,0.00184345
0,1,512,12,0.00201049
0,1,512,13,0.00217277
0,1,512,14,0.00234026
0,1,512,15,0.00251056
0,1,512,16,0.00267024
0,1,512,17,0.00283537
0,1,512,18,0.00300362
0,1,512,19,0.00316404
0,1,512,20,0.00333517
0,1,512,21,0.00349851
0,1,512,22,0.00366415
0,1,512,23,0.00384031
0,1,512,24,0.0039914
0,1,512,25,0.00417096
0,1,512,26,0.00432842
0,1,512,27,0.00450409
0,1,512,28,0.0046598
0,1,512,29,0.00484399
0,1,512,30,0.00499908
0,1,512,31,0.00516942
0,1,512,32,0.00533162
0,2,512,1,0.000193505
0,2,512,2,0.000357373
0,2,512,3,0.000520884
0,2,512,4,0.000683208
0,2,512,5,0.000845148
0,2,512,6,0.00101006
0,2,512,7,0.00117631
0,2,512,8,0.00134185
0,2,512,9,0.00151214
0,2,512,10,0.00168009
0,2,512,11,0.00184005
0,2,512,12,0.00200475
0,2,512,13,0.00217034
0,2,512,14,0.00234145
0,2,512,15,0.0025082
0,2,512,16,0.00267111
0,2,512,17,0.00283617
0,2,512,18,0.00300276
0,2,512,19,0.00316508
0,2,512,20,0.00333268
0,2,512,21,0.00349666
0,2,512,22,0.00366975
0,2,512,23,0.00383873
0,2,512,24,0.00399237
0,2,512,25,0.00417067
0,2,512,26,0.00432641
0,2,512,27,0.00450001
0,2,512,28,0.00466319
0,2,512,29,0.00484575
0,2,512,30,0.00499595
0,2,512,31,0.00517266
0,2,512,32,0.00532988
1,0,512,1,0.000193779
1,0,512,2,0.000207142
1,0,512,3,0.000223174
1,0,512,4,0.000237258
1,0,512,5,0.000256347
1,0,512,6,0.000268259
1,0,512,7,0.000289611
1,0,512,8,0.0003087
1,0,512,9,0.000333597
1,0,512,10,0.000355388
1,0,512,11,0.000369748
1,0,512,12,0.000393121
1,0,512,13,0.000402175
1,0,512,14,0.000437444
1,0,512,15,0.000459362
1,0,512,16,0.000472976
1,0,512,17,0.000481812
1,0,512,18,0.000483199
1,0,512,19,0.000526128
1,0,512,20,0.000547719
1,0,512,21,0.000563636
1,0,512,22,0.000581293
1,0,512,23,0.000594067
1,0,512,24,0.000621636
1,0,512,25,0.000645138
1,0,512,26,0.000659931
1,0,512,27,0.000692985
1,0,512,28,0.000701053
1,0,512,29,0.00072468
1,0,512,30,0.000731811
1,0,512,31,0.000754967
1,0,512,32,0.000773183
1,1,512,1,0.000193274
1,1,512,2,0.00020731
1,1,512,3,0.000222129
1,1,512,4,0.000239785
1,1,512,5,0.000257123
1,1,512,6,0.000272549
1,1,512,7,0.000289802
1,1,512,8,0.000317042
1,1,512,9,0.000347644
1,1,512,10,0.0003538
1,1,512,11,0.000382648
1,1,512,12,0.000387509
1,1,512,13,0.00041463
1,1,512,14,0.000433159
1,1,512,15,0.000447705
1,1,512,16,0.000472454
1,1,512,17,0.000484262
1,1,512,18,0.000504668
1,1,512,19,0.00053046
1,1,512,20,0.000540673
1,1,512,21,0.000585264
1,1,512,22,0.000582702
1,1,512,23,0.000607334
1,1,512,24,0.000611186
1,1,512,25,0.000641082
1,1,512,26,0.000667232
1,1,512,27,0.000684983
1,1,512,28,0.000703141
1,1,512,29,0.000719328
1,1,512,30,0.000751227
1,1,512,31,0.000763546
1,1,512,32,0.000774445
1,2,512,1,0.000193363
1,2,512,2,0.000206767
1,2,512,3,0.000222145
1,2,512,4,0.000238244
1,2,512,5,0.000254379
1,2,512,6,0.000278408
1,2,512,7,0.000291897
1,2,512,8,0.000316318
1,2,512,9,0.000334471
1,2,512,10,0.000353546
1,2,512,11,0.000381825
1,2,512,12,0.000396192
1,2,512,13,0.00038964
1,2,512,14,0.000437356
1,2,512,15,0.000456816
1,2,512,16,0.000472206
1,2,512,17,0.000487965
1,2,512,18,0.000506191
1,2,512,19,0.00053251
1,2,512,20,0.000547374
1,2,512,21,0.000574971
1,2,512,22,0.000587531
1,2,512,23,0.000597588
1,2,512,24,0.00062896
1,2,512,25,0.000638181
1,2,512,26,0.000661057
1,2,512,27,0.000688095
1,2,512,28,0.000701319
1,2,512,29,0.000715474
1,2,512,30,0.000758092
1,2,512,31,0.000758643
1,2,512,32,0.000752824
