is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,128,1,7.99795e-05
0,0,128,2,0.000131012
0,0,128,3,0.000182014
0,0,128,4,0.000230797
0,0,128,5,0.000282235
0,0,128,6,0.000333792
0,0,128,7,0.000384135
0,0,128,8,0.000445727
0,0,128,9,0.000494254
0,0,128,10,0.000553796
0,0,128,11,0.000604154
0,0,128,12,0.000650898
0,0,128,13,0.000707849
0,0,128,14,0.000754101
0,0,128,15,0.000797702
0,0,128,16,0.000863056
0,0,128,17,0.000912407
0,0,128,18,0.000961035
0,0,128,19,0.00101692
0,0,128,20,0.00106371
0,0,128,21,0.00111452
0,0,128,22,0.0011845
0,0,128,23,0.00122741
0,0,128,24,0.00128316
0,0,128,25,0.00133065
0,0,128,26,0.00138546
0,0,128,27,0.0014411
0,0,128,28,0.00149149
0,0,128,29,0.00155815
0,0,128,30,0.0016003
0,0,128,31,0.00164992
0,0,128,32,0.00170502
0,0,256,1,0.000113669
0,0,256,2,0.000197634
0,0,256,3,0.000280787
0,0,256,4,0.000363452
0,0,256,5,0.000446388
0,0,256,6,0.000533002
0,0,256,7,0.000614411
0,0,256,8,0.000702152
0,0,256,9,0.000788258
0,0,256,10,0.000878757
0,0,256,11,0.000963087
0,0,256,12,0.00105023
0,0,256,13,0.00113962
0,0,256,14,0.00121871
0,0,256,15,0.00130618
0,0,256,16,0.0013895
0,0,256,17,0.00147723
0,0,256,18,0.00155753
0,0,256,19,0.00164521
0,0,256,20,0.00172714
0,0,256,21,0.00181228
0,0,256,22,0.00190368
0,0,256,23,0.00200222
0,0,256,24,0.00207688
0,0,256,25,0.00216378
0,0,256,26,0.00225121
0,0,256,27,0.00234607
0,0,256,28,0.00242485
0,0,256,29,0.00250916
0,0,256,30,0.00260244
0,0,256,31,0.00267897
0,0,256,32,0.00276799
0,0,384,1,0.000151312
0,0,384,2,0.000273488
0,0,384,3,0.000394489
0,0,384,4,0.000516046
0,0,384,5,0.000637575
0,0,384,6,0.000758429
0,0,384,7,0.000880792
0,0,384,8,0.0010089
0,0,384,9,0.00113346
0,0,384,10,0.0012575
0,0,384,11,0.00137995
0,0,384,12,0.00150603
0,0,384,13,0.00162455
0,0,384,14,0.00175022
0,0,384,15,0.00187271
0,0,384,16,0.00199455
0,0,384,17,0.00211739
0,0,384,18,0.00223971
0,0,384,19,0.00236239
0,0,384,20,0.00248828
0,0,384,21,0.00262416
0,0,384,22,0.00273428
0,0,384,23,0.00285977
0,0,384,24,0.00298685
0,0,384,25,0.0031063
0,0,384,26,0.00323139
0,0,384,27,0.0033616
0,0,384,28,0.00347891
0,0,384,29,0.00361734
0,0,384,30,0.00372701
0,0,384,31,0.00385791
0,0,384,32,0.00397828
0,0,512,1,0.00019338
0,0,512,2,0.000357629
0,0,512,3,0.000519686
0,0,512,4,0.000682586
0,0,512,5,0.000847326
0,0,512,6,0.00100953
0,0,512,7,0.00117676
0,0,512,8,0.00134314
0,0,512,9,0.00151144
0,0,512,10,0.00167652
0,0,512,11,0.00184038
0,0,512,12,0.00200831
0,0,512,13,0.00217333
0,0,512,14,0.00233911
0,0,512,15,0.00250288
0,0,512,16,0.00267866
0,0,512,17,0.00283635
0,0,512,18,0.0030025
0,0,512,19,0.00317321
0,0,512,20,0.00332905
0,0,512,21,0.00349898
0,0,512,22,0.00366549
0,0,512,23,0.00383357
0,0,512,24,0.00399765
0,0,512,25,0.00416047
0,0,512,26,0.00433607
0,0,512,27,0.00449388
0,0,512,28,0.00466442
0,0,512,29,0.00483301
0,0,512,30,0.00500802
0,0,512,31,0.00516607
0,0,512,32,0.00534046
