is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,100000,1,0.0440205
0,0,100000,2,0.0880058
0,0,100000,3,0.131987
0,0,100000,4,0.175945
0,0,100000,5,0.219908
0,0,100000,6,0.263883
0,0,100000,7,0.307859
0,0,100000,8,0.351808
0,1,100000,1,0.044015
0,1,100000,2,0.0879939
0,1,100000,3,0.131967
0,1,100000,4,0.175951
0,1,100000,5,0.219902
0,1,100000,6,0.263887
0,1,100000,7,0.30787
0,1,100000,8,0.351845
0,2,100000,1,0.0440194
0,2,100000,2,0.0879947
0,2,100000,3,0.13198
0,2,100000,4,0.175947
0,2,100000,5,0.219927
0,2,100000,6,0.263897
0,2,100000,7,0.307862
0,2,100000,8,0.351814
1,0,100000,1,0.0440153
1,0,100000,2,0.0878887
1,0,100000,3,0.131786
1,0,100000,4,0.175653
1,0,100000,5,0.219535
1,0,100000,6,0.263436
1,0,100000,7,0.307332
1,0,100000,8,0.351224
1,1,100000,1,0.0440206
1,1,100000,2,0.0878913
1,1,100000,3,0.131787
1,1,100000,4,0.175665
1,1,100000,5,0.219544
1,1,100000,6,0.263433
1,1,100000,7,0.307326
1,1,100000,8,0.35122
1,2,100000,1,0.0440188
1,2,100000,2,0.0878905
1,2,100000,3,0.131792
1,2,100000,4,0.175667
1,2,100000,5,0.21955
1,2,100000,6,0.26345
1,2,100000,7,0.307336
1,2,100000,8,0.351224
