is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,1024,1,0.000366057
0,0,1024,2,0.000706622
0,0,1024,3,0.00104667
0,0,1024,4,0.00138327
0,0,1024,5,0.00172009
0,0,1024,6,0.00205775
0,0,1024,7,0.00239775
0,0,1024,8,0.00273971
0,0,1024,9,0.00308319
0,0,1024,10,0.0034265
0,0,1024,11,0.00376591
0,0,1024,12,0.00410466
0,0,1024,13,0.00444609
0,0,1024,14,0.00478753
0,0,1024,15,0.00512777
0,0,1024,16,0.00547016
0,0,1024,17,0.00581281
0,0,1024,18,0.00615138
0,0,1024,19,0.0064901
0,0,1024,20,0.00683189
0,0,1024,21,0.00716972
0,0,1024,22,0.00750461
0,0,1024,23,0.00784517
0,0,1024,24,0.00819459
0,0,1024,25,0.00852899
0,0,1024,26,0.00887672
0,0,1024,27,0.00922409
0,0,1024,28,0.00956742
0,0,1024,29,0.00990674
0,0,1024,30,0.0102521
0,0,1024,31,0.0105896
0,0,1024,32,0.0109283
0,0,2048,1,0.00068466
0,0,2048,2,0.00134429
0,0,2048,3,0.00200221
0,0,2048,4,0.00265747
0,0,2048,5,0.00331454
0,0,2048,6,0.00397105
0,0,2048,7,0.00463061
0,0,2048,8,0.00529729
0,0,2048,9,0.00595273
0,0,2048,10,0.00661577
0,0,2048,11,0.00727384
0,0,2048,12,0.00793073
0,0,2048,13,0.0085917
0,0,2048,14,0.00925244
0,0,2048,15,0.00990448
0,0,2048,16,0.0105725
0,0,2048,17,0.0112308
0,0,2048,18,0.0118891
0,0,2048,19,0.0125408
0,0,2048,20,0.0132138
0,0,2048,21,0.0138738
0,0,2048,22,0.0145324
0,0,2048,23,0.0151848
0,0,2048,24,0.0158526
0,0,2048,25,0.0165174
0,0,2048,26,0.0171711
0,0,2048,27,0.0178285
0,0,2048,28,0.0185047
0,0,2048,29,0.0191614
0,0,2048,30,0.0198383
0,0,2048,31,0.0204959
0,0,2048,32,0.0211645
0,0,3072,1,0.00100505
0,0,3072,2,0.00198534
0,0,3072,3,0.00296565
0,0,3072,4,0.00394312
0,0,3072,5,0.00492003
0,0,3072,6,0.00589671
0,0,3072,7,0.00687613
