is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,2048,1,0.000695337
0,0,2048,9,0.00602501
0,0,2048,17,0.0113599
0,0,2048,25,0.0167165
0,0,2048,33,0.022101
0,0,2048,41,0.0276159
0,0,2048,49,0.0331171
0,0,2048,57,0.038656
0,0,2048,65,0.0442315
0,0,2048,73,0.0498131
0,0,2048,81,0.055217
0,0,2048,89,0.0607128
0,0,2048,97,0.0663027
0,0,2048,105,0.071741
0,0,2048,113,0.0772147
0,0,2048,121,0.0827094
0,0,4096,1,0.00134289
0,0,4096,9,0.0118383
0,0,4096,17,0.0223544
0,0,4096,25,0.0329762
0,0,4096,33,0.0436244
0,0,4096,41,0.054259
0,0,4096,49,0.0649359
0,0,4096,57,0.0755898
0,0,4096,65,0.0862718
0,0,4096,73,0.0969315
0,0,4096,81,0.107645
0,0,4096,89,0.118187
0,0,4096,97,0.128894
0,0,4096,105,0.139562
0,0,4096,113,0.1502
0,0,4096,121,0.160867
0,0,6144,1,0.00198879
0,0,6144,9,0.0176448
0,0,6144,17,0.0337823
0,0,6144,25,0.0509685
0,0,6144,33,0.0675914
0,0,6144,41,0.0842671
0,0,6144,49,0.100725
0,0,6144,57,0.117339
0,0,6144,65,0.133792
0,0,6144,73,0.150347
0,0,6144,81,0.166855
0,0,6144,89,0.183347
0,0,6144,97,0.199833
0,0,6144,105,0.216439
0,0,6144,113,0.23296
0,0,6144,121,0.24932
0,0,8192,1,0.00263165
0,0,8192,9,0.023448
0,0,8192,17,0.04434
0,0,8192,25,0.0652519
0,0,8192,33,0.0862117
0,0,8192,41,0.10716
0,0,8192,49,0.128135
0,0,8192,57,0.149129
0,0,8192,65,0.170119
0,0,8192,73,0.191081
0,0,8192,81,0.212053
0,0,8192,89,0.233098
0,0,8192,97,0.253977
0,0,8192,105,0.274943
0,0,8192,113,0.295927
0,0,8192,121,0.316945
0,1,2048,1,0.000697108
0,1,2048,9,0.00602634
0,1,2048,17,0.0113606
0,1,2048,25,0.0167139
0,1,2048,33,0.0221453
0,1,2048,41,0.0275726
0,1,2048,49,0.0338549
0,1,2048,57,0.0393065
0,1,2048,65,0.0448251
0,1,2048,73,0.0503647
0,1,2048,81,0.055897
0,1,2048,89,0.0615754
0,1,2048,97,0.0668794
0,1,2048,105,0.0723392
0,1,2048,113,0.0778948
0,1,2048,121,0.0833477
0,1,4096,1,0.00141177
0,1,4096,9,0.0118385
0,1,4096,17,0.0223953
0,1,4096,25,0.0329404
0,1,4096,33,0.0435967
0,1,4096,41,0.0542472
0,1,4096,49,0.0649251
0,1,4096,57,0.075598
0,1,4096,65,0.0862379
0,1,4096,73,0.0969478
0,1,4096,81,0.10757
0,1,4096,89,0.118236
0,1,4096,97,0.1289
0,1,4096,105,0.139532
0,1,4096,113,0.150232
0,1,4096,121,0.160862
0,1,6144,1,0.00198903
0,1,6144,9,0.0176442
0,1,6144,17,0.0338724
0,1,6144,25,0.0509175
0,1,6144,33,0.0676479
0,1,6144,41,0.0842792
0,1,6144,49,0.100825
0,1,6144,57,0.117327
0,1,6144,65,0.133748
0,1,6144,73,0.150298
0,1,6144,81,0.1669
0,1,6144,89,0.183382
0,1,6144,97,0.199932
0,1,6144,105,0.216415
0,1,6144,113,0.232931
0,1,6144,121,0.249437
0,1,8192,1,0.00263105
0,1,8192,9,0.0234476
0,1,8192,17,0.0443402
0,1,8192,25,0.065258
0,1,8192,33,0.0862043
0,1,8192,41,0.107157
0,1,8192,49,0.128205
0,1,8192,57,0.149119
0,1,8192,65,0.170088
0,1,8192,73,0.191079
0,1,8192,81,0.21206
0,1,8192,89,0.233077
0,1,8192,97,0.254008
0,1,8192,105,0.274978
0,1,8192,113,0.295964
0,1,8192,121,0.316922
0,2,2048,1,0.000695931
0,2,2048,9,0.006024
0,2,2048,17,0.0114183
0,2,2048,25,0.0167129
0,2,2048,33,0.0221051
0,2,2048,41,0.0275969
0,2,2048,49,0.0331451
0,2,2048,57,0.0386435
0,2,2048,65,0.0441718
0,2,2048,73,0.0496908
0,2,2048,81,0.0552482
0,2,2048,89,0.0607416
0,2,2048,97,0.0662196
0,2,2048,105,0.0717197
0,2,2048,113,0.0772333
0,2,2048,121,0.0827298
0,2,4096,1,0.00134214
0,2,4096,9,0.0118389
0,2,4096,17,0.022387
0,2,4096,25,0.0329501
0,2,4096,33,0.0436012
0,2,4096,41,0.0542862
0,2,4096,49,0.064936
0,2,4096,57,0.0756154
0,2,4096,65,0.0862212
0,2,4096,73,0.096929
0,2,4096,81,0.107594
0,2,4096,89,0.11823
0,2,4096,97,0.128918
0,2,4096,105,0.139533
0,2,4096,113,0.15029
0,2,4096,121,0.160837
0,2,6144,1,0.0019885
0,2,6144,9,0.0176539
0,2,6144,17,0.0338072
0,2,6144,25,0.0508952
0,2,6144,33,0.067671
0,2,6144,41,0.0841584
0,2,6144,49,0.100737
0,2,6144,57,0.11724
0,2,6144,65,0.133775
0,2,6144,73,0.150341
0,2,6144,81,0.167043
0,2,6144,89,0.183383
0,2,6144,97,0.199927
0,2,6144,105,0.216376
0,2,6144,113,0.232933
0,2,6144,121,0.251341
0,2,8192,1,0.00263175
0,2,8192,9,0.0234463
0,2,8192,17,0.0443373
0,2,8192,25,0.0652535
0,2,8192,33,0.0861991
0,2,8192,41,0.107152
0,2,8192,49,0.128142
0,2,8192,57,0.149118
0,2,8192,65,0.170092
0,2,8192,73,0.191073
0,2,8192,81,0.212033
0,2,8192,89,0.233005
0,2,8192,97,0.254001
0,2,8192,105,0.274978
0,2,8192,113,0.295937
0,2,8192,121,0.316966
1,0,2048,1,0.000696934
1,0,2048,9,0.000863242
1,0,2048,17,0.00111433
1,0,2048,25,0.00129597
1,0,2048,33,0.00176734
1,0,2048,41,0.00220574
1,0,2048,49,0.00275593
1,0,2048,57,0.0034703
1,0,2048,65,0.00399771
1,0,2048,73,0.00425436
1,0,2048,81,0.00466294
