is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,512,1,0.00028227
0,0,512,2,0.000480204
0,0,512,3,0.000703954
0,0,512,4,0.000925226
0,0,512,5,0.00114678
0,0,512,6,0.00137844
0,0,512,7,0.00160414
0,0,512,8,0.00183002
0,0,512,9,0.00205735
0,0,512,10,0.00227596
0,0,512,11,0.00250043
0,0,512,12,0.00272833
0,0,512,13,0.00295203
0,0,512,14,0.00317267
0,0,512,15,0.00340928
0,0,512,16,0.00363361
0,0,512,17,0.00387109
0,0,512,18,0.00408512
0,0,512,19,0.00432252
0,0,512,20,0.00455262
0,0,512,21,0.00477081
0,0,512,22,0.00502144
0,0,512,23,0.00522757
0,0,512,24,0.00544718
0,0,512,25,0.00566848
0,0,512,26,0.00589685
0,0,512,27,0.00614776
0,0,512,28,0.00637432
0,0,512,29,0.00662305
0,0,512,30,0.00687389
0,0,512,31,0.00705379
0,0,512,32,0.0073071
0,1,512,1,0.000255949
0,1,512,2,0.000480845
0,1,512,3,0.000703849
0,1,512,4,0.00093145
0,1,512,5,0.00115141
0,1,512,6,0.00138127
0,1,512,7,0.00160612
0,1,512,8,0.00183064
0,1,512,9,0.00206276
0,1,512,10,0.00229679
0,1,512,11,0.00251475
0,1,512,12,0.00274412
0,1,512,13,0.00296898
0,1,512,14,0.00318231
0,1,512,15,0.00341507
0,1,512,16,0.00366752
0,1,512,17,0.00388371
0,1,512,18,0.00411764
0,1,512,19,0.00433782
0,1,512,20,0.00455886
0,1,512,21,0.00478737
0,1,512,22,0.00504243
0,1,512,23,0.00526932
0,1,512,24,0.00551067
0,1,512,25,0.00572412
0,1,512,26,0.005954
0,1,512,27,0.0062219
0,1,512,28,0.00645951
0,1,512,29,0.0066751
0,1,512,30,0.0069095
0,1,512,31,0.00713043
0,1,512,32,0.00737779
0,2,512,1,0.000253912
0,2,512,2,0.000481167
0,2,512,3,0.000709795
0,2,512,4,0.00094446
0,2,512,5,0.0011646
0,2,512,6,0.00138559
0,2,512,7,0.00161179
0,2,512,8,0.00183995
0,2,512,9,0.00207801
0,2,512,10,0.00231115
0,2,512,11,0.00252351
0,2,512,12,0.00276505
0,2,512,13,0.00298929
0,2,512,14,0.00323098
0,2,512,15,0.00342006
0,2,512,16,0.00364113
0,2,512,17,0.0038794
0,2,512,18,0.00413059
0,2,512,19,0.00433653
0,2,512,20,0.00454004
0,2,512,21,0.00478462
0,2,512,22,0.00498575
0,2,512,23,0.0052184
0,2,512,24,0.00544339
0,2,512,25,0.00566154
0,2,512,26,0.00590909
0,2,512,27,0.00614361
0,2,512,28,0.00636527
0,2,512,29,0.00660945
0,2,512,30,0.00683723
0,2,512,31,0.00702826
0,2,512,32,0.00726945
1,0,512,1,0.000252618
1,0,512,2,0.000314826
1,0,512,3,0.000383208
1,0,512,4,0.000449436
1,0,512,5,0.000516268
1,0,512,6,0.000588098
1,0,512,7,0.000654198
1,0,512,8,0.000733913
1,0,512,9,0.000806813
1,0,512,10,0.000885616
1,0,512,11,0.000942026
1,0,512,12,0.00103241
1,0,512,13,0.00110225
1,0,512,14,0.00119562
1,0,512,15,0.00126021
1,0,512,16,0.0013165
1,0,512,17,0.00141609
1,0,512,18,0.00148173
1,0,512,19,0.00155892
1,0,512,20,0.00163434
1,0,512,21,0.00175288
1,0,512,22,0.00183275
1,0,512,23,0.00189432
1,0,512,24,0.00200534
1,0,512,25,0.00205057
1,0,512,26,0.00221007
1,0,512,27,0.0022204
1,0,512,28,0.00233742
1,0,512,29,0.00237795
1,0,512,30,0.00245654
1,0,512,31,0.0025408
1,0,512,32,0.00263603
1,1,512,1,0.000254183
1,1,512,2,0.000322199
1,1,512,3,0.000399121
1,1,512,4,0.000473125
1,1,512,5,0.000550764
1,1,512,6,0.000626158
1,1,512,7,0.000704562
1,1,512,8,0.000773976
1,1,512,9,0.000862125
1,1,512,10,0.000942587
1,1,512,11,0.00102145
1,1,512,12,0.00108687
1,1,512,13,0.00116572
1,1,512,14,0.00123215
1,1,512,15,0.00131865
1,1,512,16,0.001391
1,1,512,17,0.00155729
1,1,512,18,0.00157321
1,1,512,19,0.00165973
1,1,512,20,0.00177209
1,1,512,21,0.00182511
1,1,512,22,0.00187416
1,1,512,23,0.00195465
1,1,512,24,0.00202507
1,1,512,25,0.00212655
1,1,512,26,0.00215503
1,1,512,27,0.00227318
1,1,512,28,0.00234257
1,1,512,29,0.00243715
1,1,512,30,0.0025119
1,1,512,31,0.00260079
1,1,512,32,0.00265569
1,2,512,1,0.000253619
1,2,512,2,0.000325792
1,2,512,3,0.000403957
1,2,512,4,0.0004923
1,2,512,5,0.000567857
1,2,512,6,0.000630554
1,2,512,7,0.00070779
1,2,512,8,0.000768657
1,2,512,9,0.000921951
1,2,512,10,0.000959204
1,2,512,11,0.00104604
1,2,512,12,0.00111557
1,2,512,13,0.00120121
1,2,512,14,0.00129458
1,2,512,15,0.00137455
1,2,512,16,0.00143484
1,2,512,17,0.0015416
1,2,512,18,0.00160577
1,2,512,19,0.0016907
1,2,512,20,0.0017845
1,2,512,21,0.00180628
1,2,512,22,0.00195434
1,2,512,23,0.00200782
1,2,512,24,0.0021202
1,2,512,25,0.00214363
1,2,512,26,0.00226044
1,2,512,27,0.00232478
1,2,512,28,0.0024231
1,2,512,29,0.00249453
1,2,512,30,0.00254957
1,2,512,31,0.0027101
1,2,512,32,0.00267851
