is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,512,1,0.000191641
0,0,512,2,0.00035609
0,0,512,3,0.000520052
0,0,512,4,0.000683797
0,0,512,5,0.000845638
0,0,512,6,0.00101093
0,0,512,7,0.00117537
0,0,512,8,0.00134104
0,0,512,9,0.00151194
0,0,512,10,0.00167712
0,0,512,11,0.00184111
0,0,512,12,0.00200302
0,0,512,13,0.00217255
0,0,512,14,0.00233759
0,0,512,15,0.00250421
0,0,512,16,0.00267445
0,0,512,17,0.00283034
0,0,512,18,0.00299871
0,0,512,19,0.00315911
0,0,512,20,0.00333218
0,0,512,21,0.00349328
0,0,512,22,0.0036619
0,0,512,23,0.00382272
0,0,512,24,0.00399727
0,0,512,25,0.00415947
0,0,512,26,0.00432802
0,0,512,27,0.00450153
0,0,512,28,0.00467154
0,0,512,29,0.00483137
0,0,512,30,0.00500828
0,0,512,31,0.00516572
0,0,512,32,0.00533189
0,1,512,1,0.00019089
0,1,512,2,0.000355472
0,1,512,3,0.000519356
0,1,512,4,0.000682685
0,1,512,5,0.000846406
0,1,512,6,0.00101017
0,1,512,7,0.0011735
0,1,512,8,0.00134175
0,1,512,9,0.00150904
0,1,512,10,0.00167418
0,1,512,11,0.00183905
0,1,512,12,0.00200377
0,1,512,13,0.00216724
0,1,512,14,0.00233277
0,1,512,15,0.00249938
0,1,512,16,0.00266994
0,1,512,17,0.0028347
0,1,512,18,0.00300301
0,1,512,19,0.00316657
0,1,512,20,0.00333098
0,1,512,21,0.00348905
0,1,512,22,0.00365363
0,1,512,23,0.00382835
0,1,512,24,0.0039969
0,1,512,25,0.00415447
0,1,512,26,0.00433297
0,1,512,27,0.0045016
0,1,512,28,0.00467399
0,1,512,29,0.00483015
0,1,512,30,0.00500566
0,1,512,31,0.00517537
0,1,512,32,0.00533457
0,2,512,1,0.000191322
0,2,512,2,0.000355657
0,2,512,3,0.000520141
0,2,512,4,0.000682155
0,2,512,5,0.000846479
0,2,512,6,0.00100876
0,2,512,7,0.00117599
0,2,512,8,0.00134086
0,2,512,9,0.00151064
0,2,512,10,0.00167705
0,2,512,11,0.00183901
0,2,512,12,0.00200717
0,2,512,13,0.00217054
0,2,512,14,0.00233614
0,2,512,15,0.00250132
0,2,512,16,0.00266482
0,2,512,17,0.00283428
0,2,512,18,0.00300511
0,2,512,19,0.00316146
0,2,512,20,0.00333364
0,2,512,21,0.00348742
0,2,512,22,0.00365995
0,2,512,23,0.00382815
0,2,512,24,0.00399519
0,2,512,25,0.00415456
0,2,512,26,0.00432979
0,2,512,27,0.00449991
0,2,512,28,0.00466995
0,2,512,29,0.0048377
0,2,512,30,0.00499472
0,2,512,31,0.00517559
0,2,512,32,0.00533035
1,0,512,1,0.000190818
1,0,512,2,0.000206266
1,0,512,3,0.000224697
1,0,512,4,0.00023849
1,0,512,5,0.000256536
1,0,512,6,0.000273007
1,0,512,7,0.000290627
1,0,512,8,0.000309317
1,0,512,9,0.000330559
1,0,512,10,0.000346556
1,0,512,11,0.000366977
1,0,512,12,0.000381909
1,0,512,13,0.000403373
1,0,512,14,0.000419184
1,0,512,15,0.000443548
1,0,512,16,0.000467004
1,0,512,17,0.000478658
1,0,512,18,0.000502156
1,0,512,19,0.000527613
1,0,512,20,0.00053829
1,0,512,21,0.000561779
1,0,512,22,0.000580303
1,0,512,23,0.000594736
1,0,512,24,0.000624016
1,0,512,25,0.000634494
1,0,512,26,0.000667665
1,0,512,27,0.000684244
1,0,512,28,0.000711683
1,0,512,29,0.000730194
1,0,512,30,0.000738552
1,0,512,31,0.000766187
1,0,512,32,0.00078979
1,1,512,1,0.000192868
1,1,512,2,0.000205562
1,1,512,3,0.000224007
1,1,512,4,0.00023821
1,1,512,5,0.00025682
1,1,512,6,0.000273714
1,1,512,7,0.000290841
1,1,512,8,0.000306905
1,1,512,9,0.00033163
1,1,512,10,0.00034741
1,1,512,11,0.000367213
1,1,512,12,0.000382348
1,1,512,13,0.000403595
1,1,512,14,0.000425944
1,1,512,15,0.000444348
1,1,512,16,0.000461515
1,1,512,17,0.000483738
1,1,512,18,0.000503952
1,1,512,19,0.000515959
1,1,512,20,0.000544606
1,1,512,21,0.000555025
1,1,512,22,0.000578176
1,1,512,23,0.00059662
1,1,512,24,0.000626209
1,1,512,25,0.000637991
1,1,512,26,0.000649059
1,1,512,27,0.000690758
1,1,512,28,0.000703928
1,1,512,29,0.00073033
1,1,512,30,0.000740108
1,1,512,31,0.000781473
1,1,512,32,0.000793033
1,2,512,1,0.000190958
1,2,512,2,0.000205817
1,2,512,3,0.000221648
1,2,512,4,0.000238057
1,2,512,5,0.000257316
1,2,512,6,0.000273527
1,2,512,7,0.000291906
1,2,512,8,0.00031161
1,2,512,9,0.000329321
1,2,512,10,0.000347964
1,2,512,11,0.000367342
1,2,512,12,0.00038385
1,2,512,13,0.000404687
1,2,512,14,0.000421712
1,2,512,15,0.00043727
1,2,512,16,0.000467145
1,2,512,17,0.000480112
1,2,512,18,0.000506879
1,2,512,19,0.000517207
1,2,512,20,0.00054696
1,2,512,21,0.000560988
1,2,512,22,0.000578399
1,2,512,23,0.000596285
1,2,512,24,0.000623843
1,2,512,25,0.000643776
1,2,512,26,0.00066851
1,2,512,27,0.000688184
1,2,512,28,0.000709419
1,2,512,29,0.00074052
1,2,512,30,0.000756695
1,2,512,31,0.000777105
1,2,512,32,0.000779514
