is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,128,1,0.00013187
0,0,128,2,0.000232542
0,0,128,3,0.000335197
0,0,128,4,0.000437108
0,0,128,5,0.000542186
0,0,128,6,0.00063587
0,0,128,7,0.000737035
0,0,128,8,0.00084867
0,0,128,9,0.000961749
0,0,128,10,0.00105286
0,0,128,11,0.00114923
0,0,128,12,0.00125847
0,0,128,13,0.00137002
0,0,128,14,0.00145345
0,0,128,15,0.00156458
0,0,128,16,0.0016548
0,0,128,17,0.00181705
0,0,128,18,0.00188632
0,0,128,19,0.00201819
0,0,128,20,0.00211776
0,0,128,21,0.00218543
0,0,128,22,0.00229861
0,0,128,23,0.0024396
0,0,128,24,0.00253587
0,0,128,25,0.00261637
0,0,128,26,0.0027224
0,0,128,27,0.00281735
0,0,128,28,0.00295782
0,0,128,29,0.00301685
0,0,128,30,0.00311587
0,0,128,31,0.00321819
0,0,128,32,0.00330706
0,0,256,1,0.000166783
0,0,256,2,0.000306713
0,0,256,3,0.000446075
0,0,256,4,0.000584456
0,0,256,5,0.000728783
0,0,256,6,0.000864297
0,0,256,7,0.00100935
0,0,256,8,0.00115342
0,0,256,9,0.00128761
0,0,256,10,0.00142898
0,0,256,11,0.00157151
0,0,256,12,0.00170389
0,0,256,13,0.00184858
0,0,256,14,0.00200699
0,0,256,15,0.00212784
0,0,256,16,0.00226086
0,0,256,17,0.00242171
0,0,256,18,0.00254561
0,0,256,19,0.00270376
0,0,256,20,0.00284524
0,0,256,21,0.00298028
0,0,256,22,0.00312158
0,0,256,23,0.00327244
0,0,256,24,0.00340798
0,0,256,25,0.00355887
0,0,256,26,0.00369606
0,0,256,27,0.00384146
0,0,256,28,0.00398944
0,0,256,29,0.00412495
0,0,256,30,0.0042525
0,0,256,31,0.00439692
0,0,256,32,0.00455079
0,0,384,1,0.000208266
0,0,384,2,0.000389045
0,0,384,3,0.000569375
0,0,384,4,0.000748793
0,0,384,5,0.000933217
0,0,384,6,0.00111061
0,0,384,7,0.00129804
0,0,384,8,0.00147342
0,0,384,9,0.00165739
0,0,384,10,0.00184027
0,0,384,11,0.00202226
0,0,384,12,0.00220291
0,0,384,13,0.00238556
0,0,384,14,0.00256471
0,0,384,15,0.00276023
0,0,384,16,0.00292581
0,0,384,17,0.00312217
0,0,384,18,0.00329541
0,0,384,19,0.00349122
0,0,384,20,0.00366967
0,0,384,21,0.00385682
0,0,384,22,0.0040394
0,0,384,23,0.00422335
0,0,384,24,0.00440109
0,0,384,25,0.00458814
0,0,384,26,0.00476305
0,0,384,27,0.00495168
0,0,384,28,0.00514282
0,0,384,29,0.00532291
0,0,384,30,0.00551415
0,0,384,31,0.00569333
0,0,384,32,0.0058799
0,0,512,1,0.00025157
0,0,512,2,0.000476063
0,0,512,3,0.000698744
0,0,512,4,0.000922772
0,0,512,5,0.0011455
0,0,512,6,0.00136979
0,0,512,7,0.0015947
0,0,512,8,0.00181773
0,0,512,9,0.00204327
0,0,512,10,0.00226761
0,0,512,11,0.00250026
0,0,512,12,0.00272009
0,0,512,13,0.00294474
0,0,512,14,0.00317916
0,0,512,15,0.00340274
0,0,512,16,0.00361486
0,0,512,17,0.00385466
0,0,512,18,0.00407656
0,0,512,19,0.0042985
0,0,512,20,0.00453126
0,0,512,21,0.00475881
0,0,512,22,0.00499164
0,0,512,23,0.00521529
0,0,512,24,0.0054414
0,0,512,25,0.00566532
0,0,512,26,0.00589178
0,0,512,27,0.00611444
0,0,512,28,0.00634867
0,0,512,29,0.00659694
0,0,512,30,0.00681963
0,0,512,31,0.00702614
0,0,512,32,0.00724791
0,0,640,1,0.000316485
0,0,640,2,0.000607388
0,0,640,3,0.000900119
0,0,640,4,0.0011863
0,0,640,5,0.0014808
0,0,640,6,0.0017677
0,0,640,7,0.0020587
0,0,640,8,0.00235034
0,0,640,9,0.00264703
0,0,640,10,0.002934
0,0,640,11,0.00322938
0,0,640,12,0.00351436
0,0,640,13,0.003808
0,0,640,14,0.00410647
0,0,640,15,0.00439396
0,0,640,16,0.00468184
0,0,640,17,0.00497896
0,0,640,18,0.00526883
0,0,640,19,0.00556469
0,0,640,20,0.00585345
0,0,640,21,0.00615289
0,0,640,22,0.0064438
0,0,640,23,0.00673212
0,0,640,24,0.00702972
