is_concurrent,repetition,pop_size,num_species,s_step_mean
0,0,2048,1,0.000830095
0,0,2048,9,0.00716155
0,0,2048,17,0.0134794
0,0,2048,25,0.0197445
0,0,2048,33,0.0261006
0,0,2048,41,0.0325438
0,0,2048,49,0.0389587
0,0,2048,57,0.0454578
0,0,2048,65,0.0518925
0,0,2048,73,0.0584635
0,0,2048,81,0.0649452
0,0,2048,89,0.0713627
0,0,2048,97,0.0778303
0,0,2048,105,0.084403
0,0,2048,113,0.0907697
0,0,2048,121,0.0972004
0,0,4096,1,0.00149935
0,0,4096,9,0.0132994
0,0,4096,17,0.0250802
0,0,4096,25,0.0369682
0,0,4096,33,0.0488929
0,0,4096,41,0.0608454
0,0,4096,49,0.072747
0,0,4096,57,0.0846807
0,0,4096,65,0.0966306
0,0,4096,73,0.108622
0,0,4096,81,0.12047
0,0,4096,89,0.132436
0,0,4096,97,0.144371
0,0,4096,105,0.156316
0,0,4096,113,0.168345
0,0,4096,121,0.18031
0,0,6144,1,0.00223428
0,0,6144,9,0.0198605
0,0,6144,17,0.0375268
0,0,6144,25,0.0552549
0,0,6144,33,0.0730099
0,0,6144,41,0.0907508
0,0,6144,49,0.10849
0,0,6144,57,0.126265
0,0,6144,65,0.143994
0,0,6144,73,0.161809
0,0,6144,81,0.179501
0,0,6144,89,0.197287
0,0,6144,97,0.215096
0,0,6144,105,0.232812
0,0,6144,113,0.250704
0,0,6144,121,0.268339
0,0,8192,1,0.00291191
0,0,8192,9,0.025991
0,0,8192,17,0.0491336
0,0,8192,25,0.0726591
0,0,8192,33,0.0960702
0,0,8192,41,0.119446
0,0,8192,49,0.142761
0,0,8192,57,0.166159
0,0,8192,65,0.189474
0,0,8192,73,0.212882
0,0,8192,81,0.236295
0,0,8192,89,0.259499
0,0,8192,97,0.283231
0,0,8192,105,0.306291
0,0,8192,113,0.329827
0,0,8192,121,0.352941
0,1,2048,1,0.000829348
0,1,2048,9,0.00715689
0,1,2048,17,0.0135049
0,1,2048,25,0.0197329
0,1,2048,33,0.0261003
0,1,2048,41,0.0325632
0,1,2048,49,0.039588
0,1,2048,57,0.0461519
0,1,2048,65,0.0524603
0,1,2048,73,0.058969
0,1,2048,81,0.0653496
0,1,2048,89,0.0718615
0,1,2048,97,0.0784596
0,1,2048,105,0.0847257
0,1,2048,113,0.0911941
0,1,2048,121,0.0976748
0,1,4096,1,0.00149897
