is_concurrent,pop_size,num_species,mean_s_step_mean
0,1024,1,0.000
0,1024,2,0.001
0,1024,3,0.001
0,1024,4,0.001
0,1024,5,0.002
0,1024,6,0.002
0,1024,7,0.002
0,1024,8,0.003
0,1024,9,0.003
0,1024,10,0.004
0,1024,11,0.004
0,1024,12,0.004
0,1024,13,0.005
0,1024,14,0.005
0,1024,15,0.005
0,1024,16,0.006
0,1024,17,0.006
0,1024,18,0.006
0,1024,19,0.007
0,1024,20,0.007
0,1024,21,0.007
0,1024,22,0.008
0,1024,23,0.008
0,1024,24,0.008
0,1024,25,0.009
0,1024,26,0.009
0,1024,27,0.009
0,1024,28,0.010
0,1024,29,0.010
0,1024,30,0.011
0,1024,31,0.011
0,1024,32,0.011
0,2048,1,0.001
0,2048,2,0.001
0,2048,3,0.002
0,2048,4,0.003
0,2048,5,0.003
0,2048,6,0.004
0,2048,7,0.005
0,2048,8,0.005
0,2048,9,0.006
0,2048,10,0.007
0,2048,11,0.007
0,2048,12,0.008
0,2048,13,0.009
0,2048,14,0.009
0,2048,15,0.010
0,2048,16,0.011
0,2048,17,0.011
0,2048,18,0.012
0,2048,19,0.013
0,2048,20,0.013
0,2048,21,0.014
0,2048,22,0.015
0,2048,23,0.015
0,2048,24,0.016
0,2048,25,0.017
0,2048,26,0.017
0,2048,27,0.018
0,2048,28,0.019
0,2048,29,0.019
0,2048,30,0.020
0,2048,31,0.021
0,2048,32,0.021
0,3072,1,0.001
0,3072,2,0.002
0,3072,3,0.003
0,3072,4,0.004
0,3072,5,0.005
0,3072,6,0.006
0,3072,7,0.007
0,3072,8,0.008
0,3072,9,0.009
0,3072,10,0.010
0,3072,11,0.011
0,3072,12,0.012
0,3072,13,0.013
0,3072,14,0.014
0,3072,15,0.015
0,3072,16,0.016
0,3072,17,0.017
0,3072,18,0.018
0,3072,19,0.019
0,3072,20,0.020
0,3072,21,0.021
0,3072,22,0.022
0,3072,23,0.023
0,3072,24,0.024
0,3072,25,0.025
0,3072,26,0.026
0,3072,27,0.027
0,3072,28,0.028
0,3072,29,0.029
0,3072,30,0.030
0,3072,31,0.031
0,3072,32,0.032
0,4096,1,0.001
0,4096,2,0.003
0,4096,3,0.004
0,4096,4,0.005
0,4096,5,0.007
0,4096,6,0.008
0,4096,7,0.009
0,4096,8,0.010
0,4096,9,0.012
0,4096,10,0.013
0,4096,11,0.014
0,4096,12,0.016
0,4096,13,0.017
0,4096,14,0.018
0,4096,15,0.020
0,4096,16,0.021
0,4096,17,0.022
0,4096,18,0.023
0,4096,19,0.025
0,4096,20,0.026
0,4096,21,0.027
0,4096,22,0.029
0,4096,23,0.030
0,4096,24,0.031
0,4096,25,0.033
0,4096,26,0.034
0,4096,27,0.035
0,4096,28,0.037
0,4096,29,0.038
0,4096,30,0.039
0,4096,31,0.040
0,4096,32,0.042
0,5120,1,0.002
0,5120,2,0.003
0,5120,3,0.005
0,5120,4,0.006
0,5120,5,0.008
0,5120,6,0.010
0,5120,7,0.011
0,5120,8,0.013
0,5120,9,0.015
0,5120,10,0.016
0,5120,11,0.018
0,5120,12,0.019
0,5120,13,0.021
0,5120,14,0.023
0,5120,15,0.024
0,5120,16,0.026
0,5120,17,0.028
0,5120,18,0.029
0,5120,19,0.031
0,5120,20,0.033
0,5120,21,0.035
0,5120,22,0.036
0,5120,23,0.038
0,5120,24,0.040
0,5120,25,0.042
0,5120,26,0.043
0,5120,27,0.045
0,5120,28,0.047
0,5120,29,0.049
0,5120,30,0.050
0,5120,31,0.052
0,5120,32,0.054
0,6144,1,0.002
0,6144,2,0.004
0,6144,3,0.006
0,6144,4,0.008
