is_concurrent,pop_size,num_species,mean_s_step_mean
0,2048,1,0.001
0,2048,9,0.008
0,2048,17,0.015
0,2048,25,0.021
0,2048,33,0.028
0,2048,41,0.035
0,2048,49,0.042
0,2048,57,0.049
0,2048,65,0.056
0,2048,73,0.062
0,2048,81,0.069
0,2048,89,0.076
0,2048,97,0.083
0,2048,105,0.090
0,2048,113,0.097
0,2048,121,0.104
0,4096,1,0.002
0,4096,9,0.014
0,4096,17,0.027
0,4096,25,0.039
0,4096,33,0.052
0,4096,41,0.065
0,4096,49,0.077
0,4096,57,0.090
0,4096,65,0.103
0,4096,73,0.116
0,4096,81,0.129
0,4096,89,0.142
0,4096,97,0.155
0,4096,105,0.168
0,4096,113,0.181
0,4096,121,0.194
0,6144,1,0.002
0,6144,9,0.021
0,6144,17,0.040
0,6144,25,0.060
0,6144,33,0.079
0,6144,41,0.098
0,6144,49,0.117
0,6144,57,0.137
0,6144,65,0.157
0,6144,73,0.176
0,6144,81,0.196
0,6144,89,0.216
0,6144,97,0.236
0,6144,105,0.256
0,6144,113,0.275
0,6144,121,0.296
0,8192,1,0.003
0,8192,9,0.028
0,8192,17,0.053
0,8192,25,0.078
0,8192,33,0.103
0,8192,41,0.128
0,8192,49,0.154
0,8192,57,0.180
0,8192,65,0.206
0,8192,73,0.232
0,8192,81,0.257
0,8192,89,0.284
0,8192,97,0.310
0,8192,105,0.336
0,8192,113,0.361
0,8192,121,0.387
1,2048,1,0.001
1,2048,9,0.002
1,2048,17,0.003
1,2048,25,0.004
1,2048,33,0.005
1,2048,41,0.007
1,2048,49,0.008
1,2048,57,0.009
1,2048,65,0.011
1,2048,73,0.012
1,2048,81,0.013
1,2048,89,0.015
1,2048,97,0.016
1,2048,105,0.017
1,2048,113,0.018
1,2048,121,0.019
1,4096,1,0.002
1,4096,9,0.003
1,4096,17,0.004
1,4096,25,0.007
1,4096,33,0.008
1,4096,41,0.010
1,4096,49,0.012
1,4096,57,0.014
1,4096,65,0.015
1,4096,73,0.018
1,4096,81,0.020
1,4096,89,0.022
1,4096,97,0.025
1,4096,105,0.027
1,4096,113,0.029
1,4096,121,0.032
1,6144,1,0.002
1,6144,9,0.005
1,6144,17,0.009
1,6144,25,0.012
1,6144,33,0.016
1,6144,41,0.019
1,6144,49,0.023
1,6144,57,0.026
1,6144,65,0.031
1,6144,73,0.034
1,6144,81,0.039
1,6144,89,0.043
1,6144,97,0.047
1,6144,105,0.051
1,6144,113,0.055
1,6144,121,0.059
1,8192,1,0.003
1,8192,9,0.006
1,8192,17,0.012
1,8192,25,0.017
1,8192,33,0.020
1,8192,41,0.027
1,8192,49,0.030
1,8192,57,0.036
1,8192,65,0.043
1,8192,73,0.046
1,8192,81,0.053
1,8192,89,0.059
1,8192,97,0.063
1,8192,105,0.069
1,8192,113,0.076
1,8192,121,0.079
