is_concurrent,pop_size,num_species,mean_s_step_mean
0,2048,1,0.001
0,2048,9,0.006
0,2048,17,0.012
0,2048,25,0.017
0,2048,33,0.022
0,2048,41,0.028
0,2048,49,0.034
0,2048,57,0.039
0,2048,65,0.044
0,2048,73,0.050
0,2048,81,0.055
0,2048,89,0.061
0,2048,97,0.067
0,2048,105,0.072
0,2048,113,0.077
0,2048,121,0.083
0,4096,1,0.001
0,4096,9,0.012
0,4096,17,0.022
0,4096,25,0.033
0,4096,33,0.044
0,4096,41,0.054
0,4096,49,0.065
0,4096,57,0.076
0,4096,65,0.086
0,4096,73,0.097
0,4096,81,0.108
0,4096,89,0.120
0,4096,97,0.131
0,4096,105,0.142
0,4096,113,0.153
0,4096,121,0.164
0,6144,1,0.002
0,6144,9,0.018
0,6144,17,0.033
0,6144,25,0.049
0,6144,33,0.065
0,6144,41,0.081
0,6144,49,0.097
0,6144,57,0.114
0,6144,65,0.130
0,6144,73,0.147
0,6144,81,0.163
0,6144,89,0.180
0,6144,97,0.196
0,6144,105,0.213
0,6144,113,0.229
0,6144,121,0.246
0,8192,1,0.003
0,8192,9,0.023
0,8192,17,0.045
0,8192,25,0.066
0,8192,33,0.087
0,8192,41,0.109
0,8192,49,0.131
0,8192,57,0.153
0,8192,65,0.175
0,8192,73,0.197
0,8192,81,0.219
0,8192,89,0.241
0,8192,97,0.263
0,8192,105,0.285
0,8192,113,0.307
0,8192,121,0.330
1,2048,1,0.001
1,2048,9,0.001
1,2048,17,0.001
1,2048,25,0.002
1,2048,33,0.003
1,2048,41,0.004
1,2048,49,0.004
1,2048,57,0.005
1,2048,65,0.005
1,2048,73,0.006
1,2048,81,0.006
1,2048,89,0.007
1,2048,97,0.007
1,2048,105,0.007
1,2048,113,0.008
1,2048,121,0.008
1,4096,1,0.001
1,4096,9,0.002
1,4096,17,0.003
1,4096,25,0.005
1,4096,33,0.006
1,4096,41,0.006
1,4096,49,0.008
1,4096,57,0.009
1,4096,65,0.010
1,4096,73,0.011
1,4096,81,0.012
1,4096,89,0.014
1,4096,97,0.015
1,4096,105,0.017
1,4096,113,0.018
1,4096,121,0.020
1,6144,1,0.002
1,6144,9,0.003
1,6144,17,0.006
1,6144,25,0.007
1,6144,33,0.009
1,6144,41,0.010
1,6144,49,0.013
1,6144,57,0.015
1,6144,65,0.018
1,6144,73,0.020
1,6144,81,0.022
1,6144,89,0.025
1,6144,97,0.027
1,6144,105,0.029
1,6144,113,0.032
1,6144,121,0.034
1,8192,1,0.003
1,8192,9,0.004
1,8192,17,0.008
1,8192,25,0.011
1,8192,33,0.013
1,8192,41,0.017
1,8192,49,0.020
1,8192,57,0.024
1,8192,65,0.028
1,8192,73,0.031
1,8192,81,0.035
1,8192,89,0.039
1,8192,97,0.042
1,8192,105,0.046
1,8192,113,0.050
1,8192,121,0.053
