is_concurrent,pop_size,num_species,mean_s_step_mean,speedup
0,1024,1,0.001,1.004
0,1024,2,0.001,1.589
0,1024,3,0.001,1.962
0,1024,4,0.002,2.214
0,1024,5,0.002,2.449
0,1024,6,0.003,2.603
0,1024,7,0.003,2.719
0,1024,8,0.004,2.816
0,1024,9,0.004,2.883
0,1024,10,0.005,2.950
0,1024,11,0.005,3.034
0,1024,12,0.006,3.069
0,1024,13,0.006,3.121
0,1024,14,0.007,3.150
0,1024,15,0.007,3.184
0,1024,16,0.008,3.221
0,1024,17,0.008,3.242
0,1024,18,0.009,3.272
0,1024,19,0.009,3.294
0,1024,20,0.010,3.318
0,1024,21,0.010,3.333
0,1024,22,0.011,3.349
0,1024,23,0.011,3.366
0,1024,24,0.012,3.381
0,1024,25,0.012,3.397
0,1024,26,0.013,3.421
0,1024,27,0.013,3.439
0,1024,28,0.014,3.452
0,1024,29,0.014,3.449
0,1024,30,0.015,3.463
0,1024,31,0.015,3.496
0,1024,32,0.016,3.503
0,2048,1,0.001,1.005
0,2048,2,0.002,1.722
0,2048,3,0.003,2.273
0,2048,4,0.003,2.708
0,2048,5,0.004,3.052
0,2048,6,0.005,3.360
0,2048,7,0.006,3.603
0,2048,8,0.007,3.792
0,2048,9,0.008,3.959
0,2048,10,0.008,4.116
0,2048,11,0.009,4.218
0,2048,12,0.010,4.340
0,2048,13,0.011,4.441
0,2048,14,0.012,4.543
0,2048,15,0.013,4.620
0,2048,16,0.014,4.706
0,2048,17,0.014,4.786
0,2048,18,0.015,4.852
0,2048,19,0.016,4.940
0,2048,20,0.017,5.014
0,2048,21,0.018,4.749
0,2048,22,0.019,4.840
0,2048,23,0.019,4.874
0,2048,24,0.020,4.934
0,2048,25,0.021,4.980
0,2048,26,0.022,5.044
0,2048,27,0.023,5.060
0,2048,28,0.024,5.094
0,2048,29,0.024,5.123
0,2048,30,0.025,5.158
0,2048,31,0.026,5.183
0,2048,32,0.027,5.204
0,3072,1,0.001,1.003
0,3072,2,0.002,1.789
0,3072,3,0.004,2.435
0,3072,4,0.005,2.978
0,3072,5,0.006,3.442
0,3072,6,0.007,3.830
0,3072,7,0.008,4.179
0,3072,8,0.010,4.447
0,3072,9,0.011,4.690
0,3072,10,0.012,4.918
0,3072,11,0.013,5.107
0,3072,12,0.014,5.302
0,3072,13,0.016,5.479
0,3072,14,0.017,5.631
0,3072,15,0.018,5.783
0,3072,16,0.019,5.909
0,3072,17,0.020,5.405
0,3072,18,0.022,5.528
0,3072,19,0.023,5.616
0,3072,20,0.024,5.733
0,3072,21,0.025,5.815
0,3072,22,0.026,5.906
0,3072,23,0.028,5.989
0,3072,24,0.029,6.087
0,3072,25,0.030,6.135
0,3072,26,0.031,6.214
0,3072,27,0.033,6.267
0,3072,28,0.034,6.336
0,3072,29,0.035,6.375
0,3072,30,0.036,6.442
0,3072,31,0.037,6.513
0,3072,32,0.039,6.556
0,4096,1,0.002,1.003
0,4096,2,0.003,1.830
0,4096,3,0.005,2.542
0,4096,4,0.006,3.154
0,4096,5,0.008,3.690
0,4096,6,0.009,4.142
0,4096,7,0.011,4.551
0,4096,8,0.012,4.910
0,4096,9,0.014,5.233
0,4096,10,0.016,5.536
0,4096,11,0.017,5.794
0,4096,12,0.019,5.155
0,4096,13,0.020,5.359
0,4096,14,0.022,5.571
0,4096,15,0.023,5.747
0,4096,16,0.025,5.945
0,4096,17,0.026,6.102
0,4096,18,0.028,6.222
0,4096,19,0.030,6.368
0,4096,20,0.031,6.507
0,4096,21,0.033,6.638
0,4096,22,0.034,6.757
0,4096,23,0.036,5.951
0,4096,24,0.037,5.875
0,4096,25,0.039,5.817
0,4096,26,0.041,5.661
0,4096,27,0.042,5.732
0,4096,28,0.044,5.817
0,4096,29,0.045,5.897
0,4096,30,0.047,5.979
