is_concurrent,pop_size,num_species,mean_s_step_mean,speedup
0,2048,1,0.001,1.068
0,2048,9,0.008,3.814
0,2048,17,0.015,4.628
0,2048,25,0.021,4.883
0,2048,33,0.028,5.114
0,2048,41,0.035,5.043
0,2048,49,0.042,5.167
0,2048,57,0.049,5.155
0,2048,65,0.056,5.284
0,2048,73,0.062,5.265
0,2048,81,0.069,5.382
0,2048,89,0.076,5.173
0,2048,97,0.083,5.215
0,2048,105,0.090,5.280
0,2048,113,0.097,5.304
0,2048,121,0.104,5.350
0,4096,1,0.002,1.004
0,4096,9,0.014,5.120
0,4096,17,0.027,6.018
0,4096,25,0.039,5.745
0,4096,33,0.052,6.163
0,4096,41,0.065,6.535
0,4096,49,0.077,6.212
0,4096,57,0.090,6.485
0,4096,65,0.103,6.672
0,4096,73,0.116,6.318
0,4096,81,0.129,6.368
0,4096,89,0.142,6.393
0,4096,97,0.155,6.165
0,4096,105,0.168,6.223
0,4096,113,0.181,6.254
0,4096,121,0.194,6.077
0,6144,1,0.002,1.001
0,6144,9,0.021,4.165
0,6144,17,0.040,4.339
0,6144,25,0.060,5.047
0,6144,33,0.079,4.921
0,6144,41,0.098,5.274
0,6144,49,0.117,5.088
0,6144,57,0.137,5.188
0,6144,65,0.157,5.047
0,6144,73,0.176,5.128
0,6144,81,0.196,5.029
0,6144,89,0.216,5.081
0,6144,97,0.236,4.996
0,6144,105,0.256,5.059
0,6144,113,0.275,4.984
0,6144,121,0.296,5.031
0,8192,1,0.003,1.002
0,8192,9,0.028,4.509
0,8192,17,0.053,4.436
0,8192,25,0.078,4.462
0,8192,33,0.103,5.127
0,8192,41,0.128,4.832
0,8192,49,0.154,5.172
0,8192,57,0.180,4.941
0,8192,65,0.206,4.786
0,8192,73,0.232,5.010
0,8192,81,0.257,4.867
0,8192,89,0.284,4.775
0,8192,97,0.310,4.928
0,8192,105,0.336,4.836
0,8192,113,0.361,4.766
0,8192,121,0.387,4.877
