is_concurrent,pop_size,num_species,mean_s_step_mean,speedup
0,2048,1,0.001,1.053
0,2048,9,0.006,5.772
0,2048,17,0.012,8.069
0,2048,25,0.017,8.728
0,2048,33,0.022,8.459
0,2048,41,0.028,7.840
0,2048,49,0.034,8.152
0,2048,57,0.039,8.622
0,2048,65,0.044,8.916
0,2048,73,0.050,8.996
0,2048,81,0.055,9.068
0,2048,89,0.061,9.264
0,2048,97,0.067,9.602
0,2048,105,0.072,9.655
0,2048,113,0.077,9.847
0,2048,121,0.083,10.000
0,4096,1,0.001,0.998
0,4096,9,0.012,6.792
0,4096,17,0.022,8.320
0,4096,25,0.033,6.842
0,4096,33,0.044,7.594
0,4096,41,0.054,8.446
0,4096,49,0.065,8.328
0,4096,57,0.076,8.796
0,4096,65,0.086,9.006
0,4096,73,0.097,8.790
0,4096,81,0.108,8.706
0,4096,89,0.120,8.648
0,4096,97,0.131,8.552
0,4096,105,0.142,8.412
0,4096,113,0.153,8.406
0,4096,121,0.164,8.374
0,6144,1,0.002,0.998
0,6144,9,0.018,5.696
0,6144,17,0.033,5.392
0,6144,25,0.049,7.022
0,6144,33,0.065,7.020
0,6144,41,0.081,7.710
0,6144,49,0.097,7.477
0,6144,57,0.114,7.579
0,6144,65,0.130,7.402
0,6144,73,0.147,7.413
0,6144,81,0.163,7.344
0,6144,89,0.180,7.325
0,6144,97,0.196,7.309
0,6144,105,0.213,7.245
0,6144,113,0.229,7.223
0,6144,121,0.246,7.182
0,8192,1,0.003,1.000
0,8192,9,0.023,5.801
0,8192,17,0.045,5.375
0,8192,25,0.066,5.768
0,8192,33,0.087,6.738
0,8192,41,0.109,6.281
0,8192,49,0.131,6.711
0,8192,57,0.153,6.372
0,8192,65,0.175,6.199
0,8192,73,0.197,6.440
0,8192,81,0.219,6.275
0,8192,89,0.241,6.184
0,8192,97,0.263,6.307
0,8192,105,0.285,6.222
0,8192,113,0.307,6.171
0,8192,121,0.330,6.250
